departing_port,arriving_port,airline,month,year_month,year,sectors_scheduled,sectors_flown,arrivals_on_time,arrivals_delayed,cancellations,cancellations_pct,delay_rate,is_high_delay
Melbourne,Sydney,Jetstar,2020-01-01,2020-01,2020,460.0,437.0,252.0,185.0,23.0,5.0,0.4233409610983982,1
Sydney,Melbourne,Jetstar,2020-01-01,2020-01,2020,462.0,440.0,280.0,160.0,22.0,4.761904761904762,0.36363636363636365,1
Melbourne,Sydney,Qantas,2020-01-01,2020-01,2020,916.0,847.0,565.0,282.0,69.0,7.532751091703056,0.33293978748524206,1
Sydney,Melbourne,Qantas,2020-01-01,2020-01,2020,914.0,847.0,576.0,271.0,67.0,7.330415754923414,0.31995277449822906,1
Melbourne,Sydney,Tigerair Australia,2020-01-01,2020-01,2020,267.0,242.0,142.0,100.0,25.0,9.363295880149813,0.4132231404958678,1
Sydney,Melbourne,Tigerair Australia,2020-01-01,2020-01,2020,268.0,243.0,143.0,100.0,25.0,9.328358208955224,0.411522633744856,1
Melbourne,Sydney,Virgin Australia,2020-01-01,2020-01,2020,694.0,659.0,443.0,216.0,35.0,5.043227665706052,0.3277693474962064,1
Sydney,Melbourne,Virgin Australia,2020-01-01,2020-01,2020,694.0,661.0,432.0,229.0,33.0,4.755043227665706,0.3464447806354009,1
Melbourne,Sydney,Jetstar,2020-02-01,2020-02,2020,395.0,356.0,208.0,148.0,39.0,9.873417721518987,0.4157303370786517,1
Sydney,Melbourne,Jetstar,2020-02-01,2020-02,2020,393.0,353.0,236.0,117.0,40.0,10.178117048346055,0.3314447592067989,1
Melbourne,Sydney,Qantas,2020-02-01,2020-02,2020,1052.0,938.0,657.0,281.0,114.0,10.836501901140684,0.2995735607675906,1
Sydney,Melbourne,Qantas,2020-02-01,2020-02,2020,1051.0,936.0,676.0,260.0,115.0,10.94196003805899,0.2777777777777778,1
Melbourne,Sydney,Tigerair Australia,2020-02-01,2020-02,2020,213.0,198.0,117.0,81.0,15.0,7.042253521126761,0.4090909090909091,1
Sydney,Melbourne,Tigerair Australia,2020-02-01,2020-02,2020,212.0,197.0,124.0,73.0,15.0,7.0754716981132075,0.37055837563451777,1
Melbourne,Sydney,Virgin Australia,2020-02-01,2020-02,2020,675.0,619.0,451.0,168.0,56.0,8.296296296296296,0.27140549273021003,1
Sydney,Melbourne,Virgin Australia,2020-02-01,2020-02,2020,672.0,619.0,459.0,160.0,53.0,7.886904761904762,0.25848142164781907,1
