departing_port,arriving_port,airline,month,year_month,year,sectors_scheduled,sectors_flown,arrivals_on_time,arrivals_delayed,cancellations,cancellations_pct,delay_rate,is_high_delay,avg_max_humidity_dep,avg_max_temp_dep,avg_min_humidity_dep,avg_min_temp_dep,avg_rainfall_on_rainy_days_dep,avg_rainfall_per_day_dep,avg_wind_speed_dep,days_above_35C_dep,days_high_humidity_dep,days_high_wind_dep,days_in_month_dep,extreme_weather_days_dep,heavy_rain_days_dep,max_daily_rainfall_dep,max_temperature_dep,max_wind_speed_dep,min_temperature_dep,rainy_days_dep,temp_range_mean_dep,temp_volatility_dep,wind_speed_std_dep,avg_max_humidity_arr,avg_max_temp_arr,avg_min_humidity_arr,avg_min_temp_arr,avg_rainfall_on_rainy_days_arr,avg_rainfall_per_day_arr,avg_wind_speed_arr,days_above_35C_arr,days_high_humidity_arr,days_high_wind_arr,days_in_month_arr,extreme_weather_days_arr,heavy_rain_days_arr,max_daily_rainfall_arr,max_temperature_arr,max_wind_speed_arr,min_temperature_arr,rainy_days_arr,temp_range_mean_arr,temp_volatility_arr,wind_speed_std_arr
Hobart,Melbourne,Jetstar,2010-01-01,2010-01,2010,131.0,131.0,104.0,27.0,0.0,0.0,0.20610687022900764,0,80.87096774193549,23.80322580645161,34.61290322580645,12.264516129032256,1.52,0.2451612903225806,5.320967741935483,2.0,0,0.0,31,2,0.0,5.2,36.0,7.53,7.2,5.0,11.538709677419355,4.28,0.985090029180784,86.45161290322581,27.003225806451617,32.32258064516129,13.922580645161291,5.359999999999999,0.8645161290322579,5.651290322580645,6.0,7,3.0,31,12,1.0,14.0,42.5,10.14,8.6,5.0,13.080645161290324,5.476666666666666,1.690102052018327
Hobart,Sydney,Jetstar,2010-01-01,2010-01,2010,59.0,59.0,51.0,8.0,0.0,0.0,0.13559322033898305,0,80.87096774193549,23.80322580645161,34.61290322580645,12.264516129032256,1.52,0.2451612903225806,5.320967741935483,2.0,0,0.0,31,2,0.0,5.2,36.0,7.53,7.2,5.0,11.538709677419355,4.28,0.985090029180784,89.70967741935483,27.958064516129035,52.41935483870968,20.58709677419355,3.3,0.8516129032258064,6.013225806451612,1.0,18,2.0,31,7,1.0,11.6,42.5,9.5,15.6,8.0,7.370967741935485,3.963333333333333,1.468147102295439
Melbourne,Hobart,Jetstar,2010-01-01,2010-01,2010,131.0,131.0,105.0,26.0,0.0,0.0,0.1984732824427481,0,86.45161290322581,27.003225806451617,32.32258064516129,13.922580645161291,5.359999999999999,0.8645161290322579,5.651290322580645,6.0,7,3.0,31,12,1.0,14.0,42.5,10.14,8.6,5.0,13.080645161290324,5.476666666666666,1.690102052018327,80.87096774193549,23.80322580645161,34.61290322580645,12.264516129032256,1.52,0.2451612903225806,5.320967741935483,2.0,0,0.0,31,2,0.0,5.2,36.0,7.53,7.2,5.0,11.538709677419355,4.28,0.985090029180784
Melbourne,Sydney,Jetstar,2010-01-01,2010-01,2010,150.0,147.0,110.0,37.0,3.0,2.0,0.25170068027210885,1,86.45161290322581,27.003225806451617,32.32258064516129,13.922580645161291,5.359999999999999,0.8645161290322579,5.651290322580645,6.0,7,3.0,31,12,1.0,14.0,42.5,10.14,8.6,5.0,13.080645161290324,5.476666666666666,1.690102052018327,89.70967741935483,27.958064516129035,52.41935483870968,20.58709677419355,3.3,0.8516129032258064,6.013225806451612,1.0,18,2.0,31,7,1.0,11.6,42.5,9.5,15.6,8.0,7.370967741935485,3.963333333333333,1.468147102295439
Sydney,Hobart,Jetstar,2010-01-01,2010-01,2010,59.0,59.0,53.0,6.0,0.0,0.0,0.1016949152542373,0,89.70967741935483,27.958064516129035,52.41935483870968,20.58709677419355,3.3,0.8516129032258064,6.013225806451612,1.0,18,2.0,31,7,1.0,11.6,42.5,9.5,15.6,8.0,7.370967741935485,3.963333333333333,1.468147102295439,80.87096774193549,23.80322580645161,34.61290322580645,12.264516129032256,1.52,0.2451612903225806,5.320967741935483,2.0,0,0.0,31,2,0.0,5.2,36.0,7.53,7.2,5.0,11.538709677419355,4.28,0.985090029180784
Sydney,Melbourne,Jetstar,2010-01-01,2010-01,2010,146.0,144.0,122.0,22.0,2.0,1.36986301369863,0.1527777777777778,0,89.70967741935483,27.958064516129035,52.41935483870968,20.58709677419355,3.3,0.8516129032258064,6.013225806451612,1.0,18,2.0,31,7,1.0,11.6,42.5,9.5,15.6,8.0,7.370967741935485,3.963333333333333,1.468147102295439,86.45161290322581,27.003225806451617,32.32258064516129,13.922580645161291,5.359999999999999,0.8645161290322579,5.651290322580645,6.0,7,3.0,31,12,1.0,14.0,42.5,10.14,8.6,5.0,13.080645161290324,5.476666666666666,1.690102052018327
Hobart,Melbourne,Qantas,2010-01-01,2010-01,2010,65.0,65.0,58.0,7.0,0.0,0.0,0.1076923076923077,0,80.87096774193549,23.80322580645161,34.61290322580645,12.264516129032256,1.52,0.2451612903225806,5.320967741935483,2.0,0,0.0,31,2,0.0,5.2,36.0,7.53,7.2,5.0,11.538709677419355,4.28,0.985090029180784,86.45161290322581,27.003225806451617,32.32258064516129,13.922580645161291,5.359999999999999,0.8645161290322579,5.651290322580645,6.0,7,3.0,31,12,1.0,14.0,42.5,10.14,8.6,5.0,13.080645161290324,5.476666666666666,1.690102052018327
Hobart,Sydney,Qantas,2010-01-01,2010-01,2010,35.0,35.0,30.0,5.0,0.0,0.0,0.14285714285714285,0,80.87096774193549,23.80322580645161,34.61290322580645,12.264516129032256,1.52,0.2451612903225806,5.320967741935483,2.0,0,0.0,31,2,0.0,5.2,36.0,7.53,7.2,5.0,11.538709677419355,4.28,0.985090029180784,89.70967741935483,27.958064516129035,52.41935483870968,20.58709677419355,3.3,0.8516129032258064,6.013225806451612,1.0,18,2.0,31,7,1.0,11.6,42.5,9.5,15.6,8.0,7.370967741935485,3.963333333333333,1.468147102295439
Melbourne,Hobart,Qantas,2010-01-01,2010-01,2010,65.0,65.0,51.0,14.0,0.0,0.0,0.2153846153846154,0,86.45161290322581,27.003225806451617,32.32258064516129,13.922580645161291,5.359999999999999,0.8645161290322579,5.651290322580645,6.0,7,3.0,31,12,1.0,14.0,42.5,10.14,8.6,5.0,13.080645161290324,5.476666666666666,1.690102052018327,80.87096774193549,23.80322580645161,34.61290322580645,12.264516129032256,1.52,0.2451612903225806,5.320967741935483,2.0,0,0.0,31,2,0.0,5.2,36.0,7.53,7.2,5.0,11.538709677419355,4.28,0.985090029180784
Melbourne,Sydney,Qantas,2010-01-01,2010-01,2010,767.0,758.0,662.0,96.0,9.0,1.1734028683181226,0.1266490765171504,0,86.45161290322581,27.003225806451617,32.32258064516129,13.922580645161291,5.359999999999999,0.8645161290322579,5.651290322580645,6.0,7,3.0,31,12,1.0,14.0,42.5,10.14,8.6,5.0,13.080645161290324,5.476666666666666,1.690102052018327,89.70967741935483,27.958064516129035,52.41935483870968,20.58709677419355,3.3,0.8516129032258064,6.013225806451612,1.0,18,2.0,31,7,1.0,11.6,42.5,9.5,15.6,8.0,7.370967741935485,3.963333333333333,1.468147102295439
