departing_port,arriving_port,airline,month,year_month,year,sectors_scheduled,sectors_flown,arrivals_on_time,arrivals_delayed,cancellations,cancellations_pct,delay_rate,is_high_delay,avg_max_humidity_dep,avg_max_temp_dep,avg_min_humidity_dep,avg_min_temp_dep,avg_rainfall_on_rainy_days_dep,avg_rainfall_per_day_dep,avg_wind_speed_dep,days_above_35C_dep,days_high_humidity_dep,days_high_wind_dep,days_in_month_dep,extreme_weather_days_dep,heavy_rain_days_dep,max_daily_rainfall_dep,max_temperature_dep,max_wind_speed_dep,min_temperature_dep,rainy_days_dep,temp_range_mean_dep,temp_volatility_dep,wind_speed_std_dep,avg_max_humidity_arr,avg_max_temp_arr,avg_min_humidity_arr,avg_min_temp_arr,avg_rainfall_on_rainy_days_arr,avg_rainfall_per_day_arr,avg_wind_speed_arr,days_above_35C_arr,days_high_humidity_arr,days_high_wind_arr,days_in_month_arr,extreme_weather_days_arr,heavy_rain_days_arr,max_daily_rainfall_arr,max_temperature_arr,max_wind_speed_arr,min_temperature_arr,rainy_days_arr,temp_range_mean_arr,temp_volatility_arr,wind_speed_std_arr,month_num,n_public_holidays_act,n_public_holidays_nsw,n_public_holidays_nt,n_public_holidays_qld,n_public_holidays_sa,n_public_holidays_tas,n_public_holidays_vic,n_public_holidays_wa,n_public_holidays_national,n_public_holidays_total,has_major_holiday,school_holiday_days,pct_school_holiday
Melbourne,Sydney,Jetstar,2010-01-01,2010-01,2010,150.0,147.0,110.0,37.0,3.0,2.0,0.2517006802721088,1,86.45161290322581,27.003225806451617,32.32258064516129,13.922580645161291,5.359999999999999,0.8645161290322579,5.651290322580645,6.0,7,3.0,31,12,1.0,14.0,42.5,10.14,8.6,5.0,13.080645161290324,5.476666666666666,1.690102052018327,89.70967741935483,27.958064516129035,52.41935483870968,20.58709677419355,3.3,0.8516129032258064,6.013225806451612,1.0,18,2.0,31,7,1.0,11.6,42.5,9.5,15.6,8.0,7.370967741935485,3.963333333333333,1.468147102295439,1,2,2,2,2,2,2,2,2,2,2,0,28,0.9032
Sydney,Melbourne,Jetstar,2010-01-01,2010-01,2010,146.0,144.0,122.0,22.0,2.0,1.36986301369863,0.1527777777777778,0,89.70967741935483,27.958064516129035,52.41935483870968,20.58709677419355,3.3,0.8516129032258064,6.013225806451612,1.0,18,2.0,31,7,1.0,11.6,42.5,9.5,15.6,8.0,7.370967741935485,3.963333333333333,1.468147102295439,86.45161290322581,27.003225806451617,32.32258064516129,13.922580645161291,5.359999999999999,0.8645161290322579,5.651290322580645,6.0,7,3.0,31,12,1.0,14.0,42.5,10.14,8.6,5.0,13.080645161290324,5.476666666666666,1.690102052018327,1,2,2,2,2,2,2,2,2,2,2,0,28,0.9032
Melbourne,Sydney,Qantas,2010-01-01,2010-01,2010,767.0,758.0,662.0,96.0,9.0,1.1734028683181226,0.1266490765171504,0,86.45161290322581,27.003225806451617,32.32258064516129,13.922580645161291,5.359999999999999,0.8645161290322579,5.651290322580645,6.0,7,3.0,31,12,1.0,14.0,42.5,10.14,8.6,5.0,13.080645161290324,5.476666666666666,1.690102052018327,89.70967741935483,27.958064516129035,52.41935483870968,20.58709677419355,3.3,0.8516129032258064,6.013225806451612,1.0,18,2.0,31,7,1.0,11.6,42.5,9.5,15.6,8.0,7.370967741935485,3.963333333333333,1.468147102295439,1,2,2,2,2,2,2,2,2,2,2,0,28,0.9032
Sydney,Melbourne,Qantas,2010-01-01,2010-01,2010,766.0,761.0,651.0,110.0,5.0,0.6527415143603132,0.1445466491458607,0,89.70967741935483,27.958064516129035,52.41935483870968,20.58709677419355,3.3,0.8516129032258064,6.013225806451612,1.0,18,2.0,31,7,1.0,11.6,42.5,9.5,15.6,8.0,7.370967741935485,3.963333333333333,1.468147102295439,86.45161290322581,27.003225806451617,32.32258064516129,13.922580645161291,5.359999999999999,0.8645161290322579,5.651290322580645,6.0,7,3.0,31,12,1.0,14.0,42.5,10.14,8.6,5.0,13.080645161290324,5.476666666666666,1.690102052018327,1,2,2,2,2,2,2,2,2,2,2,0,28,0.9032
Melbourne,Sydney,Tigerair Australia,2010-01-01,2010-01,2010,205.0,197.0,170.0,27.0,8.0,3.902439024390244,0.1370558375634517,0,86.45161290322581,27.003225806451617,32.32258064516129,13.922580645161291,5.359999999999999,0.8645161290322579,5.651290322580645,6.0,7,3.0,31,12,1.0,14.0,42.5,10.14,8.6,5.0,13.080645161290324,5.476666666666666,1.690102052018327,89.70967741935483,27.958064516129035,52.41935483870968,20.58709677419355,3.3,0.8516129032258064,6.013225806451612,1.0,18,2.0,31,7,1.0,11.6,42.5,9.5,15.6,8.0,7.370967741935485,3.963333333333333,1.468147102295439,1,2,2,2,2,2,2,2,2,2,2,0,28,0.9032
Sydney,Melbourne,Tigerair Australia,2010-01-01,2010-01,2010,205.0,197.0,172.0,25.0,8.0,3.902439024390244,0.1269035532994923,0,89.70967741935483,27.958064516129035,52.41935483870968,20.58709677419355,3.3,0.8516129032258064,6.013225806451612,1.0,18,2.0,31,7,1.0,11.6,42.5,9.5,15.6,8.0,7.370967741935485,3.963333333333333,1.468147102295439,86.45161290322581,27.003225806451617,32.32258064516129,13.922580645161291,5.359999999999999,0.8645161290322579,5.651290322580645,6.0,7,3.0,31,12,1.0,14.0,42.5,10.14,8.6,5.0,13.080645161290324,5.476666666666666,1.690102052018327,1,2,2,2,2,2,2,2,2,2,2,0,28,0.9032
Melbourne,Sydney,Virgin Australia,2010-01-01,2010-01,2010,736.0,722.0,638.0,84.0,14.0,1.9021739130434785,0.1163434903047091,0,86.45161290322581,27.003225806451617,32.32258064516129,13.922580645161291,5.359999999999999,0.8645161290322579,5.651290322580645,6.0,7,3.0,31,12,1.0,14.0,42.5,10.14,8.6,5.0,13.080645161290324,5.476666666666666,1.690102052018327,89.70967741935483,27.958064516129035,52.41935483870968,20.58709677419355,3.3,0.8516129032258064,6.013225806451612,1.0,18,2.0,31,7,1.0,11.6,42.5,9.5,15.6,8.0,7.370967741935485,3.963333333333333,1.468147102295439,1,2,2,2,2,2,2,2,2,2,2,0,28,0.9032
Sydney,Melbourne,Virgin Australia,2010-01-01,2010-01,2010,732.0,718.0,618.0,100.0,14.0,1.912568306010929,0.1392757660167131,0,89.70967741935483,27.958064516129035,52.41935483870968,20.58709677419355,3.3,0.8516129032258064,6.013225806451612,1.0,18,2.0,31,7,1.0,11.6,42.5,9.5,15.6,8.0,7.370967741935485,3.963333333333333,1.468147102295439,86.45161290322581,27.003225806451617,32.32258064516129,13.922580645161291,5.359999999999999,0.8645161290322579,5.651290322580645,6.0,7,3.0,31,12,1.0,14.0,42.5,10.14,8.6,5.0,13.080645161290324,5.476666666666666,1.690102052018327,1,2,2,2,2,2,2,2,2,2,2,0,28,0.9032
Melbourne,Sydney,Jetstar,2010-02-01,2010-02,2010,136.0,132.0,91.0,41.0,4.0,2.941176470588235,0.3106060606060606,1,85.96428571428571,27.84642857142857,34.857142857142854,15.875,5.228571428571429,1.3071428571428572,5.575,3.0,11,1.0,28,8,1.0,19.8,35.6,9.82,9.1,7.0,11.971428571428572,4.122222222222223,1.472190356049259,87.92857142857143,28.1,53.785714285714285,21.189285714285713,13.066666666666668,5.6000000000000005,5.8810714285714285,2.0,13,3.0,28,13,6.0,54.0,38.6,12.1,18.6,12.0,6.910714285714286,3.45925925925926,1.8802666069543204,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Sydney,Melbourne,Jetstar,2010-02-01,2010-02,2010,137.0,134.0,97.0,37.0,3.0,2.18978102189781,0.2761194029850746,1,87.92857142857143,28.1,53.785714285714285,21.189285714285713,13.066666666666668,5.6000000000000005,5.8810714285714285,2.0,13,3.0,28,13,6.0,54.0,38.6,12.1,18.6,12.0,6.910714285714286,3.45925925925926,1.8802666069543204,85.96428571428571,27.84642857142857,34.857142857142854,15.875,5.228571428571429,1.3071428571428572,5.575,3.0,11,1.0,28,8,1.0,19.8,35.6,9.82,9.1,7.0,11.971428571428572,4.122222222222223,1.472190356049259,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0
