Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,066037,1929,10,179.7,Y
IDCJAC0001,066037,1929,11,67.9,Y
IDCJAC0001,066037,1929,12,38.5,Y
IDCJAC0001,066037,1930,01,114.1,Y
IDCJAC0001,066037,1930,02,17.0,Y
IDCJAC0001,066037,1930,03,106.8,Y
IDCJAC0001,066037,1930,04,148.0,Y
IDCJAC0001,066037,1930,05,111.9,Y
IDCJAC0001,066037,1930,06,276.5,Y
IDCJAC0001,066037,1930,07,100.0,Y
IDCJAC0001,066037,1930,08,33.3,Y
IDCJAC0001,066037,1930,09,6.7,Y
IDCJAC0001,066037,1930,10,50.4,Y
IDCJAC0001,066037,1930,11,15.8,Y
IDCJAC0001,066037,1930,12,148.7,Y
IDCJAC0001,066037,1931,01,49.3,Y
IDCJAC0001,066037,1931,02,43.5,Y
IDCJAC0001,066037,1931,03,167.8,Y
IDCJAC0001,066037,1931,04,184.1,Y
IDCJAC0001,066037,1931,05,98.3,Y
IDCJAC0001,066037,1931,06,61.1,Y
IDCJAC0001,066037,1931,07,200.4,Y
IDCJAC0001,066037,1931,08,4.9,Y
IDCJAC0001,066037,1931,09,127.6,Y
IDCJAC0001,066037,1931,10,19.4,Y
IDCJAC0001,066037,1931,11,105.3,Y
IDCJAC0001,066037,1931,12,91.2,Y
IDCJAC0001,066037,1932,01,7.9,Y
IDCJAC0001,066037,1932,02,171.4,Y
IDCJAC0001,066037,1932,03,74.7,Y
IDCJAC0001,066037,1932,04,107.2,Y
IDCJAC0001,066037,1932,05,71.9,Y
IDCJAC0001,066037,1932,06,19.0,Y
IDCJAC0001,066037,1932,07,43.3,Y
IDCJAC0001,066037,1932,08,69.9,Y
IDCJAC0001,066037,1932,09,243.7,Y
IDCJAC0001,066037,1932,10,30.9,Y
IDCJAC0001,066037,1932,11,91.1,Y
IDCJAC0001,066037,1932,12,76.9,Y
IDCJAC0001,066037,1933,01,216.2,Y
IDCJAC0001,066037,1933,02,4.1,Y
IDCJAC0001,066037,1933,03,85.7,Y
IDCJAC0001,066037,1933,04,212.8,Y
IDCJAC0001,066037,1933,05,132.9,Y
IDCJAC0001,066037,1933,06,49.6,Y
IDCJAC0001,066037,1933,07,91.0,Y
IDCJAC0001,066037,1933,08,4.8,Y
IDCJAC0001,066037,1933,09,71.8,Y
IDCJAC0001,066037,1933,10,90.9,Y
IDCJAC0001,066037,1933,11,114.1,Y
IDCJAC0001,066037,1933,12,75.2,Y
IDCJAC0001,066037,1934,01,53.3,Y
IDCJAC0001,066037,1934,02,310.3,Y
IDCJAC0001,066037,1934,03,52.8,Y
IDCJAC0001,066037,1934,04,236.2,Y
IDCJAC0001,066037,1934,05,177.7,Y
IDCJAC0001,066037,1934,06,119.4,Y
IDCJAC0001,066037,1934,07,226.2,Y
IDCJAC0001,066037,1934,08,172.0,Y
IDCJAC0001,066037,1934,09,222.0,Y
IDCJAC0001,066037,1934,10,55.8,Y
IDCJAC0001,066037,1934,11,94.5,Y
IDCJAC0001,066037,1934,12,65.2,Y
IDCJAC0001,066037,1935,01,67.5,Y
IDCJAC0001,066037,1935,02,81.8,Y
IDCJAC0001,066037,1935,03,42.5,Y
IDCJAC0001,066037,1935,04,23.2,Y
IDCJAC0001,066037,1935,05,79.0,Y
IDCJAC0001,066037,1935,06,123.7,Y
IDCJAC0001,066037,1935,07,46.8,Y
IDCJAC0001,066037,1935,08,5.8,Y
IDCJAC0001,066037,1935,09,82.1,Y
IDCJAC0001,066037,1935,10,85.2,Y
IDCJAC0001,066037,1935,11,32.2,Y
IDCJAC0001,066037,1935,12,110.0,Y
IDCJAC0001,066037,1936,01,96.7,Y
IDCJAC0001,066037,1936,02,124.4,Y
IDCJAC0001,066037,1936,03,83.1,Y
IDCJAC0001,066037,1936,04,43.7,Y
IDCJAC0001,066037,1936,05,62.3,Y
IDCJAC0001,066037,1936,06,65.1,Y
IDCJAC0001,066037,1936,07,30.4,Y
IDCJAC0001,066037,1936,08,35.9,Y
IDCJAC0001,066037,1936,09,39.7,Y
IDCJAC0001,066037,1936,10,9.4,Y
IDCJAC0001,066037,1936,11,14.7,Y
IDCJAC0001,066037,1936,12,98.6,Y
IDCJAC0001,066037,1937,01,65.7,Y
IDCJAC0001,066037,1937,02,32.1,Y
IDCJAC0001,066037,1937,03,165.3,Y
IDCJAC0001,066037,1937,04,98.7,Y
IDCJAC0001,066037,1937,05,15.0,Y
IDCJAC0001,066037,1937,06,336.4,Y
IDCJAC0001,066037,1937,07,80.2,Y
IDCJAC0001,066037,1937,08,124.6,Y
IDCJAC0001,066037,1937,09,10.9,Y
IDCJAC0001,066037,1937,10,72.7,Y
IDCJAC0001,066037,1937,11,137.5,Y
IDCJAC0001,066037,1937,12,37.3,Y
IDCJAC0001,066037,1938,01,150.5,Y
IDCJAC0001,066037,1938,02,67.9,Y
IDCJAC0001,066037,1938,03,25.9,Y
IDCJAC0001,066037,1938,04,48.0,Y
IDCJAC0001,066037,1938,05,83.4,Y
IDCJAC0001,066037,1938,06,9.1,Y
IDCJAC0001,066037,1938,07,100.9,Y
IDCJAC0001,066037,1938,08,218.4,Y
IDCJAC0001,066037,1938,09,30.6,Y
IDCJAC0001,066037,1938,10,66.4,Y
IDCJAC0001,066037,1938,11,29.4,Y
IDCJAC0001,066037,1938,12,5.8,Y
IDCJAC0001,066037,1939,01,71.7,Y
IDCJAC0001,066037,1939,02,2.5,Y
IDCJAC0001,066037,1939,03,185.5,Y
IDCJAC0001,066037,1939,04,119.0,Y
IDCJAC0001,066037,1939,05,90.9,Y
IDCJAC0001,066037,1939,06,14.4,Y
IDCJAC0001,066037,1939,07,39.6,Y
IDCJAC0001,066037,1939,08,71.4,Y
IDCJAC0001,066037,1939,09,62.3,Y
IDCJAC0001,066037,1939,10,39.0,Y
IDCJAC0001,066037,1939,11,57.5,Y
IDCJAC0001,066037,1939,12,16.2,Y
IDCJAC0001,066037,1940,01,18.6,Y
IDCJAC0001,066037,1940,02,11.7,Y
IDCJAC0001,066037,1940,03,15.6,Y
IDCJAC0001,066037,1940,04,144.4,Y
IDCJAC0001,066037,1940,05,134.1,Y
IDCJAC0001,066037,1940,06,68.6,Y
IDCJAC0001,066037,1940,07,98.9,Y
