'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for March 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/03/2009,4.9,0.0,6.8,26.1,21.3,84,55,4.73,21.44
SYDNEY AIRPORT AMO,02/03/2009,5.5,0.0,6.0,26.6,21.3,75,51,4.55,22.90
SYDNEY AIRPORT AMO,03/03/2009,6.0,0.0,6.8,28.3,21.3,78,44,6.09,20.05
SYDNEY AIRPORT AMO,04/03/2009,5.5,0.0,7.6,25.9,22.9,76,18,5.79,7.93
SYDNEY AIRPORT AMO,05/03/2009,6.5,0.0,5.0,23.2,15.6,64,27,5.85,27.11
SYDNEY AIRPORT AMO,06/03/2009,5.2,0.0,7.8,23.7,14.1,74,45,4.34,26.47
SYDNEY AIRPORT AMO,07/03/2009,4.8,0.0,4.8,25.5,18.2,91,61,4.59,26.03
SYDNEY AIRPORT AMO,08/03/2009,3.0,0.0,5.0,22.9,20.3,97,80,7.32,17.31
SYDNEY AIRPORT AMO,09/03/2009,3.6,17.6,2.0,24.3,17.9,99,64,5.37,17.42
SYDNEY AIRPORT AMO,10/03/2009,5.0,0.2,3.6,25.1,19.0,78,51,5.44,20.07
SYDNEY AIRPORT AMO,11/03/2009,3.7,0.0,6.2,23.9,19.4,88,57,6.06,12.86
SYDNEY AIRPORT AMO,12/03/2009,5.3,0.4,5.0,26.8,18.2,92,41,4.74,23.17
SYDNEY AIRPORT AMO,13/03/2009,3.4,0.0,6.4,25.8,19.6,91,56,2.95,14.48
SYDNEY AIRPORT AMO,14/03/2009,5.0,0.0,4.0,29.3,19.6,98,50,4.84,20.66
SYDNEY AIRPORT AMO,15/03/2009,5.1,25.6,8.4,27.3,18.5,93,39,4.49,21.13
SYDNEY AIRPORT AMO,16/03/2009,6.8,0.2,6.8,27.6,15.9,69,21,5.19,24.75
SYDNEY AIRPORT AMO,17/03/2009,5.8,0.0,6.1,24.1,15.2,71,31,5.16,25.09
SYDNEY AIRPORT AMO,18/03/2009,5.1,0.0,5.4,26.3,16.9,81,47,5.26,21.77
SYDNEY AIRPORT AMO,19/03/2009,5.8,0.0,6.0,30.4,17.1,93,33,4.36,22.71
SYDNEY AIRPORT AMO,20/03/2009, ,0.0,6.2,28.6,19.9,96,46,4.14, 
SYDNEY AIRPORT AMO,21/03/2009, ,0.0,6.2,26.3,19.9,94,46,4.11, 
SYDNEY AIRPORT AMO,22/03/2009, ,0.0,5.6,28.0,17.7,88,40,5.12, 
SYDNEY AIRPORT AMO,23/03/2009,5.1,1.4,8.0,27.9,18.5,88,51,5.50,22.34
SYDNEY AIRPORT AMO,24/03/2009,5.5,0.0,5.8,28.2,20.0,86,52,6.58,22.98
SYDNEY AIRPORT AMO,25/03/2009,5.2,0.0,7.0,29.1,21.2,90,50,5.32,21.66
SYDNEY AIRPORT AMO,26/03/2009,5.0,3.8,5.2,30.9,20.4,91,43,4.15,18.45
SYDNEY AIRPORT AMO,27/03/2009, ,0.8,5.8,22.4,19.6,87,59,6.28, 
SYDNEY AIRPORT AMO,28/03/2009, ,0.4,4.4,24.9,16.5,85,44,3.99, 
SYDNEY AIRPORT AMO,29/03/2009, ,0.0,6.6,26.9,16.2,86,38,4.24, 
SYDNEY AIRPORT AMO,30/03/2009,4.1,0.0,4.0,24.8,18.7,93,54,5.34,19.23
SYDNEY AIRPORT AMO,31/03/2009,2.4,1.6,6.0,22.0,19.4,95,75,9.18,8.19
Totals:,,123.3,52,180.5,,,,,, 
