'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for April 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/04/2009,3.3,43.4,5.0,25.2,18.8,98,65,8.47,12.35
SYDNEY AIRPORT AMO,02/04/2009,3.1,4.0,3.8,25.3,19.8,96,70,5.86,13.80
SYDNEY AIRPORT AMO,03/04/2009,3.3,5.2,2.6,26.8,19.5,99,65,4.15,15.94
SYDNEY AIRPORT AMO,04/04/2009,3.0,1.2,4.2,20.2,18.1,94,58,7.05,11.45
SYDNEY AIRPORT AMO,05/04/2009,3.8,0.0,5.6,23.9,16.9,83,54,4.82,16.56
SYDNEY AIRPORT AMO,06/04/2009,3.9,0.0,3.4,19.7,16.8,91,49,7.72,17.88
SYDNEY AIRPORT AMO,07/04/2009,3.9,0.0,5.8,19.6,17.0,75,57,6.50,18.31
SYDNEY AIRPORT AMO,08/04/2009,3.3,0.0,5.6,20.8,12.5,84,60,4.40,19.89
SYDNEY AIRPORT AMO,09/04/2009,3.6,0.0,2.8,23.2,15.0,88,49,3.62,18.25
SYDNEY AIRPORT AMO,10/04/2009,3.6,0.0,4.0,25.6,15.3,88,45,2.64,18.55
SYDNEY AIRPORT AMO,11/04/2009,2.7,0.0,3.2,24.8,16.9,91,57,2.41,12.36
SYDNEY AIRPORT AMO,12/04/2009,3.1,0.4,0.8,26.2,18.5,95,52,2.52,15.00
SYDNEY AIRPORT AMO,13/04/2009,1.8,0.0,3.6,22.4,20.3,99,79,4.42,8.27
SYDNEY AIRPORT AMO,14/04/2009,3.5,83.2, ,26.3,17.8,98,54,3.95,16.92
SYDNEY AIRPORT AMO,15/04/2009,6.2,19.4,5.0,30.1,16.2,98,17,5.50,19.49
SYDNEY AIRPORT AMO,16/04/2009,5.0,0.0,10.0,24.7,15.2,80,24,4.59,19.84
SYDNEY AIRPORT AMO,17/04/2009,4.3,0.0,4.8,21.5,13.1,85,39,5.95,19.38
SYDNEY AIRPORT AMO,18/04/2009,3.6,0.0,5.2,21.1,14.1,85,58,7.91,16.90
SYDNEY AIRPORT AMO,19/04/2009,3.5,4.2,3.4,21.5,16.0,96,59,11.34,14.48
SYDNEY AIRPORT AMO,20/04/2009,3.6,5.0,7.0,20.7,16.2,93,55,10.66,14.29
SYDNEY AIRPORT AMO,21/04/2009,3.3,1.4,5.4,21.8,15.8,97,53,6.87,13.90
SYDNEY AIRPORT AMO,22/04/2009,3.5,7.4,3.4,22.0,15.6,94,44,5.83,14.02
SYDNEY AIRPORT AMO,23/04/2009,2.6,3.4,4.2,21.0,14.9,98,52,3.12,14.82
SYDNEY AIRPORT AMO,24/04/2009,3.6,0.0,2.0,24.9,13.0,93,43,4.46,15.20
SYDNEY AIRPORT AMO,25/04/2009,4.9,0.0,5.4,24.2,15.7,73,35,6.27,15.61
SYDNEY AIRPORT AMO,26/04/2009,6.2,0.0,6.8,20.6,16.2,57,22,9.11,17.16
SYDNEY AIRPORT AMO,27/04/2009,4.7,0.0,7.2,19.4,11.4,63,24,5.96,17.75
SYDNEY AIRPORT AMO,28/04/2009,4.4,0.0,4.0,21.5,9.8,75,29,5.92,16.80
SYDNEY AIRPORT AMO,29/04/2009,2.4,0.0,4.6,16.9,9.7,94,55,5.85,12.64
SYDNEY AIRPORT AMO,30/04/2009,2.1,5.0,2.4,16.8,12.0,91,71,6.18,13.44
Totals:,,109.8,183.2,131.2,,,,,, 
