'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for May 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/05/2009,3.2,3.2,3.0,22.4,9.6,91,38,3.44,17.01
SYDNEY AIRPORT AMO,02/05/2009,2.8,0.0,2.2,20.0,10.4,93,54,4.45,16.66
SYDNEY AIRPORT AMO,03/05/2009,2.2,11.4,3.6,19.9,11.7,95,66,3.11,16.03
SYDNEY AIRPORT AMO,04/05/2009,3.3,0.0,3.2,23.6,11.9,93,43,3.88,16.59
SYDNEY AIRPORT AMO,05/05/2009,2.4,2.2,1.8,19.0,14.5,93,67,6.03,14.38
SYDNEY AIRPORT AMO,06/05/2009,2.9,0.8,3.2,22.6,13.1,94,47,3.54,16.04
SYDNEY AIRPORT AMO,07/05/2009,3.2,0.0,4.0,21.3,11.8,93,41,4.53,16.08
SYDNEY AIRPORT AMO,08/05/2009,2.6,0.0,2.6,18.8,11.9,89,64,6.31,15.71
SYDNEY AIRPORT AMO,09/05/2009,3.4,0.0,4.4,21.7,11.0,79,42,4.58,15.80
SYDNEY AIRPORT AMO,10/05/2009,3.0,1.0,3.4,19.0,12.2,93,45,6.60,12.37
SYDNEY AIRPORT AMO,11/05/2009,2.3,6.4,3.4,19.0,11.2,85,47,2.98,11.65
SYDNEY AIRPORT AMO,12/05/2009,2.5,0.0,2.6,19.5,9.1,90,46,3.79,13.42
SYDNEY AIRPORT AMO,13/05/2009,3.4,0.0,1.6,22.0,9.5,92,30,4.24,15.38
SYDNEY AIRPORT AMO,14/05/2009,4.4,0.0,2.6,21.9,10.3,71,27,6.02,15.15
SYDNEY AIRPORT AMO,15/05/2009,4.5,0.0,6.2,22.2,11.0,70,29,6.53,13.68
SYDNEY AIRPORT AMO,16/05/2009,5.6,0.0,5.0,22.9,15.5,55,34,8.65,13.78
SYDNEY AIRPORT AMO,17/05/2009,2.7,0.0,4.8,18.1,9.9,76,43,3.69,14.96
SYDNEY AIRPORT AMO,18/05/2009,2.4,0.0,2.6,19.8,9.6,86,52,3.88,12.93
SYDNEY AIRPORT AMO,19/05/2009,2.6,3.8,2.4,21.1,14.2,98,47,4.53,11.96
SYDNEY AIRPORT AMO,20/05/2009,3.1,24.4,4.4,21.6,15.0,98,50,7.67,10.39
SYDNEY AIRPORT AMO,21/05/2009,3.3,21.0,1.8,20.1,15.1,94,50,10.56,9.49
SYDNEY AIRPORT AMO,22/05/2009,2.9,1.0,6.6,20.2,16.3,97,57,11.05,8.90
SYDNEY AIRPORT AMO,23/05/2009,3.3,26.4,5.0,21.8,15.0,87,58,9.89,11.42
SYDNEY AIRPORT AMO,24/05/2009,3.5,0.4,4.4,21.8,17.4,70,46,5.62,10.27
SYDNEY AIRPORT AMO,25/05/2009,1.9,0.0,3.6,20.6,12.7,88,56,2.76,10.66
SYDNEY AIRPORT AMO,26/05/2009,2.3,0.0,0.6,23.2,12.6,96,46,2.86,13.32
SYDNEY AIRPORT AMO,27/05/2009,1.4,0.0,3.0,17.9,14.0,97,72,3.01,8.71
SYDNEY AIRPORT AMO,28/05/2009,1.5,3.8,0.4,17.2,11.6,100,73,6.13,12.06
SYDNEY AIRPORT AMO,29/05/2009,2.2,6.0,2.4,16.6,11.4,97,58,7.56,12.33
SYDNEY AIRPORT AMO,30/05/2009,2.1,16.0,4.6,18.2,10.8,94,67,7.85,10.76
SYDNEY AIRPORT AMO,31/05/2009,3.1,5.2,1.2,19.6,13.1,88,44,7.21,10.05
Totals:,,90,133,100.6,,,,,, 
