'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for June 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/06/2009,1.8,0.2,3.0,17.0,13.9,92,52,3.67,8.15
SYDNEY AIRPORT AMO,02/06/2009,1.7,1.6,1.2,20.1,11.9,97,59,2.89,9.91
SYDNEY AIRPORT AMO,03/06/2009,1.1,7.4,2.8,18.7,14.5,99,80,2.61,7.32
SYDNEY AIRPORT AMO,04/06/2009,1.2,3.0,0.0,17.9,13.0,100,74,2.96,8.90
SYDNEY AIRPORT AMO,05/06/2009,2.2,0.0,1.0,20.1,12.8,100,45,4.08,10.43
SYDNEY AIRPORT AMO,06/06/2009,2.7,0.0,2.2,19.5,9.1,82,38,4.04,12.96
SYDNEY AIRPORT AMO,07/06/2009,2.6,0.8,3.8,19.9,10.0,92,37,4.37,11.71
SYDNEY AIRPORT AMO,08/06/2009,3.3,0.2,3.2,20.1,10.0,74,32,4.89,12.68
SYDNEY AIRPORT AMO,09/06/2009,3.5,0.0,2.6,17.0,9.2,72,32,7.13,12.06
SYDNEY AIRPORT AMO,10/06/2009,4.0,0.0,4.4,14.4,8.9,60,31,8.96,13.05
SYDNEY AIRPORT AMO,11/06/2009,4.0,0.0,4.0,16.1,5.3,63,24,7.80,12.82
SYDNEY AIRPORT AMO,12/06/2009,2.8,0.0,3.0,17.6,6.3,73,34,4.40,12.69
SYDNEY AIRPORT AMO,13/06/2009,3.1,0.0,2.6,20.1,7.6,84,20,4.14,11.75
SYDNEY AIRPORT AMO,14/06/2009,1.2,0.0,3.4,14.3,9.0,94,57,2.29,6.16
SYDNEY AIRPORT AMO,15/06/2009,2.3,2.2,0.8,18.1,7.3,93,40,4.15,12.26
SYDNEY AIRPORT AMO,16/06/2009,2.0,0.0,3.0,15.2,8.5,93,60,7.92,8.60
SYDNEY AIRPORT AMO,17/06/2009,1.8,10.0,0.8,16.4,10.5,97,56,5.32,8.46
SYDNEY AIRPORT AMO,18/06/2009,1.4,5.8,1.0,16.0,10.2,95,66,3.51,9.09
SYDNEY AIRPORT AMO,19/06/2009,2.4,9.8,1.4,18.2,10.0,97,41,4.97,11.95
SYDNEY AIRPORT AMO,20/06/2009,1.5,0.4,3.8,16.7,10.5,97,59,3.82,8.21
SYDNEY AIRPORT AMO,21/06/2009,1.5,21.0,0.6,19.7,13.1,97,67,3.39,9.85
SYDNEY AIRPORT AMO,22/06/2009,1.5,12.6,1.8,19.9,14.2,98,66,2.76,11.07
SYDNEY AIRPORT AMO,23/06/2009,1.7,0.4,1.6,19.9,10.3,97,53,2.87,12.26
SYDNEY AIRPORT AMO,24/06/2009,2.2,0.0,1.4,19.8,8.9,96,44,3.97,10.01
SYDNEY AIRPORT AMO,25/06/2009,2.4,0.2,2.2,17.7,8.4,83,40,4.32,11.42
SYDNEY AIRPORT AMO,26/06/2009,2.2,0.0,1.8,19.0,9.0,83,41,3.25,12.10
SYDNEY AIRPORT AMO,27/06/2009,1.4,0.0,2.2,16.4,9.2,87,62,2.85,8.53
SYDNEY AIRPORT AMO,28/06/2009,2.2,0.0,2.2,19.8,10.9,90,46,3.75,11.15
SYDNEY AIRPORT AMO,29/06/2009,3.0,3.6,2.0,21.4,9.3,83,38,4.57,12.39
SYDNEY AIRPORT AMO,30/06/2009,3.5,0.0,1.4,20.6,12.5,78,36,6.19,6.55
Totals:,,68.2,79.2,65.2,,,,,, 
