'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for July 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/07/2009,4.2,0.0,4.0,22.0,13.4,78,22,6.14,12.45
SYDNEY AIRPORT AMO,02/07/2009,3.7,0.0,4.8,19.4,9.8,61,27,5.34,12.55
SYDNEY AIRPORT AMO,03/07/2009,4.0,0.0,5.6,16.2,10.7,63,37,9.38,12.42
SYDNEY AIRPORT AMO,04/07/2009,3.5,0.0,3.8,17.3,7.4,68,31,6.53,12.60
SYDNEY AIRPORT AMO,05/07/2009,2.8,0.0,3.0,15.8,9.8,67,36,4.91,12.82
SYDNEY AIRPORT AMO,06/07/2009, ,0.0,3.0,16.6,5.8,75,36,3.98, 
SYDNEY AIRPORT AMO,07/07/2009, ,2.8,2.6,14.0,7.1,100,66,6.64, 
SYDNEY AIRPORT AMO,08/07/2009, ,19.0,2.6,14.8,9.1,100,69,3.56, 
SYDNEY AIRPORT AMO,09/07/2009,1.9,10.2,0.4,17.6,7.6,100,47,3.59,10.79
SYDNEY AIRPORT AMO,10/07/2009,1.8,4.6,1.8,17.3,9.1,99,53,3.81,12.06
SYDNEY AIRPORT AMO,11/07/2009,1.8,0.2,2.0,17.3,8.7,97,49,3.27,10.09
SYDNEY AIRPORT AMO,12/07/2009,2.1,0.0,1.4,18.3,10.4,84,52,4.06,7.05
SYDNEY AIRPORT AMO,13/07/2009,2.5,0.2,2.4,18.8,11.1,77,32,3.29,10.96
SYDNEY AIRPORT AMO,14/07/2009,3.1,0.0,3.2,17.8,9.2,77,36,5.49,12.59
SYDNEY AIRPORT AMO,15/07/2009,2.4,0.0,2.6,17.0,6.5,82,39,3.98,12.08
SYDNEY AIRPORT AMO,16/07/2009,2.1,1.2,2.0,14.8,8.2,92,53,6.27,11.04
SYDNEY AIRPORT AMO,17/07/2009,2.1,6.2,3.2,14.7,8.8,91,61,7.92,11.01
SYDNEY AIRPORT AMO,18/07/2009,2.5,0.0,3.0,18.7,7.3,85,37,3.58,13.40
SYDNEY AIRPORT AMO,19/07/2009,2.9,0.0,2.2,20.1,6.0,83,31,3.90,13.43
SYDNEY AIRPORT AMO,20/07/2009,3.3,0.0,2.6,21.2,7.6,79,27,4.23,13.71
SYDNEY AIRPORT AMO,21/07/2009,3.7,0.0,5.4,23.0,8.2,69,25,4.09,13.58
SYDNEY AIRPORT AMO,22/07/2009,5.1,0.0,4.8,25.5,13.2,91,23,7.31,11.58
SYDNEY AIRPORT AMO,23/07/2009,3.4,3.0,5.6,17.0,11.5,77,38,7.08,13.22
SYDNEY AIRPORT AMO,24/07/2009,2.1,0.6,2.2,15.5,8.0,82,55,4.45,13.56
SYDNEY AIRPORT AMO,25/07/2009,2.3,0.0,1.8,17.6,6.5,93,39,3.40,14.19
SYDNEY AIRPORT AMO,26/07/2009,1.5,0.0,5.8,15.2,8.2,99,58,3.22,6.88
SYDNEY AIRPORT AMO,27/07/2009,3.4,9.4,0.4,18.7,8.0,97,32,6.54,14.33
SYDNEY AIRPORT AMO,28/07/2009,3.3,0.0,3.6,18.9,8.3,69,37,5.09,14.16
SYDNEY AIRPORT AMO,29/07/2009,3.2,0.0,2.2,20.0,7.5,76,39,4.86,13.81
SYDNEY AIRPORT AMO,30/07/2009,3.5,0.0,4.0,19.4,8.4,72,33,5.27,14.53
SYDNEY AIRPORT AMO,31/07/2009,3.4,0.0,3.0,19.9,8.0,72,37,5.05,14.24
Totals:,,81.6,57.4,95,,,,,, 
