'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for August 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/08/2009,3.4,0.0,3.8,19.6,7.9,74,31,4.62,14.88
SYDNEY AIRPORT AMO,02/08/2009,3.2,0.0,4.0,19.7,7.7,79,31,4.08,15.11
SYDNEY AIRPORT AMO,03/08/2009,3.4,0.0,4.0,20.8,7.5,82,30,4.31,14.63
SYDNEY AIRPORT AMO,04/08/2009,3.0,0.0,3.2,19.6,9.8,83,33,3.90,13.59
SYDNEY AIRPORT AMO,05/08/2009,2.7,0.0,2.8,19.0,7.0,78,40,3.49,15.33
SYDNEY AIRPORT AMO,06/08/2009,3.5,0.0,2.0,21.0,7.8,87,29,4.46,14.79
SYDNEY AIRPORT AMO,07/08/2009,5.5,0.0,4.8,24.7,9.3,80,17,6.60,13.58
SYDNEY AIRPORT AMO,08/08/2009,3.0,0.0,6.4,14.6,7.8,70,41,5.58,15.28
SYDNEY AIRPORT AMO,09/08/2009,2.7,0.0,2.6,18.6,5.1,81,34,3.12,15.72
SYDNEY AIRPORT AMO,10/08/2009,2.6,0.0,1.8,18.1,6.7,87,35,3.33,13.31
SYDNEY AIRPORT AMO,11/08/2009,2.2,0.0,1.2,18.2,9.2,91,58,4.81,7.74
SYDNEY AIRPORT AMO,12/08/2009,3.2,4.8,1.6,20.5,9.1,99,27,3.90,15.04
SYDNEY AIRPORT AMO,13/08/2009,4.0,0.0,5.4,21.3,8.9,69,33,4.98,16.20
SYDNEY AIRPORT AMO,14/08/2009,2.8,0.0,3.0,20.5,11.2,93,45,3.57,16.38
SYDNEY AIRPORT AMO,15/08/2009,3.4,0.0,3.2,22.9,8.6,92,31,3.27,16.98
SYDNEY AIRPORT AMO,16/08/2009,4.9,0.0,2.0,25.9,9.2,84,21,4.82,16.36
SYDNEY AIRPORT AMO,17/08/2009,5.8,0.0,8.0,23.2,12.4,69,17,7.22,16.83
SYDNEY AIRPORT AMO,18/08/2009,3.2,0.0,6.2,17.5,9.0,74,38,4.30,17.37
SYDNEY AIRPORT AMO,19/08/2009,3.3,0.0,4.2,19.8,7.8,79,42,4.45,17.44
SYDNEY AIRPORT AMO,20/08/2009,3.2,0.0,2.8,21.6,9.5,90,34,3.40,13.99
SYDNEY AIRPORT AMO,21/08/2009,5.5,0.0,4.0,26.2,10.3,83,19,6.12,11.91
SYDNEY AIRPORT AMO,22/08/2009,4.6,0.0,7.0,21.3,14.0,66,29,5.61,16.18
SYDNEY AIRPORT AMO,23/08/2009,4.4,0.0,3.6,25.8,11.9,82,34,4.35,17.50
SYDNEY AIRPORT AMO,24/08/2009,5.0,0.0,5.6,25.4,16.2,85,24,6.36,8.84
SYDNEY AIRPORT AMO,25/08/2009,6.1,1.2,5.0,20.8,15.2,71,17,9.05,18.56
SYDNEY AIRPORT AMO,26/08/2009,6.5,0.0,8.4,22.6,11.7,46,14,7.19,18.60
SYDNEY AIRPORT AMO,27/08/2009,4.8,0.0,6.0,22.5,11.0,60,20,4.45,19.05
SYDNEY AIRPORT AMO,28/08/2009,5.2,0.0,3.2,25.2,8.9,67,12,4.14,18.97
SYDNEY AIRPORT AMO,29/08/2009,6.1,0.2,9.2,27.0,14.2,74,22,6.99,11.61
SYDNEY AIRPORT AMO,30/08/2009,6.5,0.2,9.2,20.1,13.2,47,18,8.88,18.57
SYDNEY AIRPORT AMO,31/08/2009,5.3,0.0,6.0,22.0,9.8,52,28,5.95,18.74
Totals:,,129,6.4,140.2,,,,,, 
