'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for September 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/09/2009,3.9,0.0,4.2,21.4,10.1,84,32,3.91,18.44
SYDNEY AIRPORT AMO,02/09/2009,3.1,0.0,3.8,18.9,9.4,84,51,3.87,18.52
SYDNEY AIRPORT AMO,03/09/2009,2.9,0.0,4.6,22.1,11.6,96,48,3.45,12.36
SYDNEY AIRPORT AMO,04/09/2009,4.8,4.6,1.8,25.9,14.4,90,26,4.65,16.00
SYDNEY AIRPORT AMO,05/09/2009,4.0,0.0,6.4,19.4,14.2,82,27,4.21,19.46
SYDNEY AIRPORT AMO,06/09/2009,3.7,0.0,3.8,20.3,10.1,86,48,5.32,19.32
SYDNEY AIRPORT AMO,07/09/2009,3.2,0.0,5.4,21.5,13.4,82,47,4.59,10.00
SYDNEY AIRPORT AMO,08/09/2009,3.6,6.0,3.6,20.3,11.4,71,39,4.24,13.54
SYDNEY AIRPORT AMO,09/09/2009,4.8,0.0,3.6,20.7,10.3,69,31,5.91,19.87
SYDNEY AIRPORT AMO,10/09/2009,4.5,0.0,5.0,21.5,9.6,77,28,4.37,20.78
SYDNEY AIRPORT AMO,11/09/2009,4.8,0.0,5.0,22.3,8.7,73,25,4.49,21.58
SYDNEY AIRPORT AMO,12/09/2009,6.5,0.0,6.0,29.2,10.5,74,15,4.66,21.50
SYDNEY AIRPORT AMO,13/09/2009,7.5,0.0,8.2,32.7,13.9,58,9,4.55,21.89
SYDNEY AIRPORT AMO,14/09/2009,4.2,0.0,7.4,19.1,15.8,86,32,5.73,17.88
SYDNEY AIRPORT AMO,15/09/2009,3.2,0.0,6.4,22.2,15.6,94,58,3.81,16.46
SYDNEY AIRPORT AMO,16/09/2009,2.2,0.0,3.4,21.7,15.6,96,81,4.59,12.68
SYDNEY AIRPORT AMO,17/09/2009,7.2,0.0,1.6,33.2,14.7,100,18,5.58,19.10
SYDNEY AIRPORT AMO,18/09/2009,5.1,0.0,10.4,22.2,17.8,83,32,6.95,18.32
SYDNEY AIRPORT AMO,19/09/2009,4.4,0.0,5.4,23.5,12.8,86,42,4.14,22.28
SYDNEY AIRPORT AMO,20/09/2009,5.4,0.0,5.8,26.8,13.6,90,24,4.65,19.37
SYDNEY AIRPORT AMO,21/09/2009,4.2,1.4,8.2,26.7,15.5,91,55,5.59,16.98
SYDNEY AIRPORT AMO,22/09/2009,7.6,0.0,3.4,32.0,16.7,90,26,7.79,18.13
SYDNEY AIRPORT AMO,23/09/2009,6.0,10.6,11.2,22.1,16.9,100,21,11.92,17.15
SYDNEY AIRPORT AMO,24/09/2009,6.8,0.0,7.6,25.0,14.4,55,22,6.14,23.48
SYDNEY AIRPORT AMO,25/09/2009,6.9,0.0,8.0,26.0,13.2,60,20,6.10,23.95
SYDNEY AIRPORT AMO,26/09/2009,8.2,0.0,11.2,20.7,17.4,48,14,11.07,22.08
SYDNEY AIRPORT AMO,27/09/2009,6.8,0.0,8.0,18.1,9.7,51,18,11.42,23.55
SYDNEY AIRPORT AMO,28/09/2009,6.0,0.0,8.2,22.0,10.2,68,29,7.77,21.98
SYDNEY AIRPORT AMO,29/09/2009,4.3,0.0,4.0,19.7,10.9,86,40,4.41,24.35
SYDNEY AIRPORT AMO,30/09/2009,6.1,0.0,5.4,26.3,10.8,87,15,4.33,25.08
Totals:,,151.9,22.6,177,,,,,, 
