'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for October 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/10/2009,8.3,0.0,7.0,33.8,12.7,87,5,4.85,24.38
SYDNEY AIRPORT AMO,02/10/2009,3.3,0.0,10.2,20.4,16.1,96,62,6.71,16.52
SYDNEY AIRPORT AMO,03/10/2009,1.9,7.0,3.0,15.6,13.4,98,73,9.84,8.46
SYDNEY AIRPORT AMO,04/10/2009,2.5,25.4,2.4,17.2,12.9,96,58,4.67,11.57
SYDNEY AIRPORT AMO,05/10/2009,3.0,2.0,1.8,19.4,13.0,97,58,3.81,16.16
SYDNEY AIRPORT AMO,06/10/2009,3.9,6.4,2.6,19.4,11.5,92,50,5.16,21.39
SYDNEY AIRPORT AMO,07/10/2009,5.2,2.0,3.6,19.6,10.0,91,25,7.30,22.81
SYDNEY AIRPORT AMO,08/10/2009,4.3,2.2,6.8,15.9,10.1,74,53,12.80,22.31
SYDNEY AIRPORT AMO,09/10/2009,3.4,0.0,5.2,15.9,9.6,97,49,8.63,19.13
SYDNEY AIRPORT AMO,10/10/2009,3.3,12.8,3.4,16.8,9.7,92,60,6.30,21.10
SYDNEY AIRPORT AMO,11/10/2009,3.7,1.8,3.4,19.9,11.9,96,46,4.28,19.20
SYDNEY AIRPORT AMO,12/10/2009,4.6,0.4,4.8,23.3,11.3,89,34,5.44,15.34
SYDNEY AIRPORT AMO,13/10/2009,8.7,0.0,5.0,25.5,16.7,61,17,9.53,26.25
SYDNEY AIRPORT AMO,14/10/2009,7.1,0.0,11.2,22.8,16.3,68,24,9.42,21.78
SYDNEY AIRPORT AMO,15/10/2009,6.8,0.4,7.6,23.5,13.8,52,23,6.27,23.06
SYDNEY AIRPORT AMO,16/10/2009,7.0,0.0,7.4,21.6,11.7,61,19,7.44,27.77
SYDNEY AIRPORT AMO,17/10/2009,4.9,0.0,8.0,20.1,11.7,88,43,5.56,27.70
SYDNEY AIRPORT AMO,18/10/2009,3.7,2.6,5.8,18.9,14.1,91,57,4.49,21.49
SYDNEY AIRPORT AMO,19/10/2009,4.8,0.4,4.4,22.0,12.8,83,52,3.68,27.92
SYDNEY AIRPORT AMO,20/10/2009,5.9,0.0,5.8,26.0,14.8,84,43,4.81,28.46
SYDNEY AIRPORT AMO,21/10/2009,10.2,0.0,7.6,35.6,15.6,88,9,6.25,28.80
SYDNEY AIRPORT AMO,22/10/2009,4.0,0.0,9.4,21.5,17.8,79,60,4.70,18.49
SYDNEY AIRPORT AMO,23/10/2009,5.7,0.0,5.0,26.4,17.9,88,50,5.18,27.05
SYDNEY AIRPORT AMO,24/10/2009,5.4,0.0,7.0,22.6,17.1,82,47,5.46,27.21
SYDNEY AIRPORT AMO,25/10/2009,2.8,0.0,5.6,21.5,17.6,99,63,4.34,11.76
SYDNEY AIRPORT AMO,26/10/2009,3.1,70.6, ,17.3,13.6,100,52,11.20,10.32
SYDNEY AIRPORT AMO,27/10/2009,3.6,0.2,3.8,19.9,14.9,89,51,5.43,13.85
SYDNEY AIRPORT AMO,28/10/2009,4.6,0.0,3.6,23.9,14.3,93,53,4.05,23.92
SYDNEY AIRPORT AMO,29/10/2009,3.9,0.0,5.0,22.0,17.0,92,65,5.37,20.01
SYDNEY AIRPORT AMO,30/10/2009,5.7,0.0,4.0,26.2,17.5,92,48,4.67,28.52
SYDNEY AIRPORT AMO,31/10/2009,5.5,0.0,7.4,24.5,18.3,89,55,6.55,27.82
Totals:,,150.8,134.2,167.8,,,,,, 
