'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for November 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/11/2009,6.4,0.0,8.0,26.0,17.1,85,45,6.15,29.87
SYDNEY AIRPORT AMO,02/11/2009,4.7,0.0,7.0,24.9,18.4,94,70,4.69,26.71
SYDNEY AIRPORT AMO,03/11/2009,11.6,0.0,6.2,39.2,19.4,92,14,7.53,27.76
SYDNEY AIRPORT AMO,04/11/2009,2.7,1.2,13.2,19.5,18.5,92,72,5.35,12.19
SYDNEY AIRPORT AMO,05/11/2009,3.2,1.4,2.2,19.8,16.4,96,69,6.03,17.38
SYDNEY AIRPORT AMO,06/11/2009,4.2,7.2,3.0,21.9,15.6,97,49,5.50,19.01
SYDNEY AIRPORT AMO,07/11/2009,4.9,4.8,4.2,23.6,17.3,97,52,5.84,24.76
SYDNEY AIRPORT AMO,08/11/2009,3.4,0.2,6.4,22.6,18.2,94,72,4.08,17.30
SYDNEY AIRPORT AMO,09/11/2009,5.7,1.6,2.6,25.6,18.5,96,52,5.28,29.37
SYDNEY AIRPORT AMO,10/11/2009,6.6,0.0,5.4,25.6,16.5,81,42,4.83,31.89
SYDNEY AIRPORT AMO,11/11/2009,5.6,0.0,10.2,25.6,15.9,94,58,3.62,31.87
SYDNEY AIRPORT AMO,12/11/2009, ,0.0,6.8,30.0,15.9,90,30,5.27, 
SYDNEY AIRPORT AMO,13/11/2009,4.8,1.0,8.8,22.3,19.3,90,64,7.96,25.54
SYDNEY AIRPORT AMO,14/11/2009,6.8,0.0,6.2,27.1,15.2,82,42,4.96,32.20
SYDNEY AIRPORT AMO,15/11/2009,5.7,0.0,8.8,24.7,18.0,91,59,5.78,31.05
SYDNEY AIRPORT AMO,16/11/2009, ,0.0,6.4,31.6,18.6,91,42,5.86, 
SYDNEY AIRPORT AMO,17/11/2009, ,2.6,8.8,22.1,19.4,86,62,8.22, 
SYDNEY AIRPORT AMO,18/11/2009, ,0.0,7.2,26.0,17.4,84,46,5.87, 
SYDNEY AIRPORT AMO,19/11/2009, ,0.0,8.0,28.6,19.3,87,54,6.07, 
SYDNEY AIRPORT AMO,20/11/2009, ,0.0,8.8,36.3,20.6,95,23,5.88, 
SYDNEY AIRPORT AMO,21/11/2009, ,0.4,12.4,27.5,22.1,93,33,6.23, 
SYDNEY AIRPORT AMO,22/11/2009, ,0.0,7.4,42.5,20.9,93,10,6.45, 
SYDNEY AIRPORT AMO,23/11/2009, ,0.0,13.4,22.6,19.7,88,58,9.14, 
SYDNEY AIRPORT AMO,24/11/2009, ,2.2,5.2,23.5,16.8,95,69,5.36, 
SYDNEY AIRPORT AMO,25/11/2009, ,0.4,3.0,27.7,17.8,96,52,5.32, 
SYDNEY AIRPORT AMO,26/11/2009, ,0.0,7.8,28.1,21.5,91,58,6.39, 
SYDNEY AIRPORT AMO,27/11/2009, ,2.4,7.8,32.7,21.1,93,24,5.14, 
SYDNEY AIRPORT AMO,28/11/2009,9.2,0.0,12.8,33.3,21.3,75,17,5.68,28.00
SYDNEY AIRPORT AMO,29/11/2009,9.3,0.0,10.6,32.2,19.0,88,15,6.31,30.22
SYDNEY AIRPORT AMO,30/11/2009,4.8,0.0,11.8,21.6,18.2,95,49,9.49,19.82
Totals:,,99.6,25.4,230.4,,,,,, 
