'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for December 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/12/2009,4.7,5.4,6.4,19.4,14.9,87,59,10.98,26.83
SYDNEY AIRPORT AMO,02/12/2009,5.4,10.2,6.4,21.7,13.2,96,46,6.67,30.06
SYDNEY AIRPORT AMO,03/12/2009,7.3,0.0,6.8,25.3,16.2,71,38,5.64,34.15
SYDNEY AIRPORT AMO,04/12/2009,5.5,0.0,8.0,22.2,17.7,86,62,7.62,31.89
SYDNEY AIRPORT AMO,05/12/2009,5.4,0.0,9.8,23.6,18.2,89,51,4.20,27.34
SYDNEY AIRPORT AMO,06/12/2009,6.8,0.0,6.2,27.0,19.1,90,49,6.58,32.62
SYDNEY AIRPORT AMO,07/12/2009,8.4,0.0,8.2,32.3,21.6,92,39,6.25,33.36
SYDNEY AIRPORT AMO,08/12/2009,7.9,0.0,10.2,29.7,20.2,89,41,8.60,30.19
SYDNEY AIRPORT AMO,09/12/2009,5.8,1.6,8.2,25.0,18.1,88,60,6.59,30.58
SYDNEY AIRPORT AMO,10/12/2009,6.5,0.0,7.8,30.3,18.7,82,31,5.88,16.39
SYDNEY AIRPORT AMO,11/12/2009,9.8,0.0,7.0,27.6,20.4,60,12,7.18,33.85
SYDNEY AIRPORT AMO,12/12/2009,7.9,0.0,11.4,27.9,16.8,86,25,5.35,34.00
SYDNEY AIRPORT AMO,13/12/2009,6.3,0.0,8.4,26.1,20.2,92,57,6.89,32.65
SYDNEY AIRPORT AMO,14/12/2009,3.9,0.0,9.0,24.7,19.6,85,66,5.58,14.94
SYDNEY AIRPORT AMO,15/12/2009,6.1,0.0,4.8,26.6,19.0,87,45,6.20,24.17
SYDNEY AIRPORT AMO,16/12/2009,7.3,0.0,9.2,29.1,21.9,84,57,8.41,32.10
SYDNEY AIRPORT AMO,17/12/2009,9.4,5.6,10.4,32.6,22.2,87,29,8.38,30.21
SYDNEY AIRPORT AMO,18/12/2009,2.9,4.8,13.6,23.1,19.8,95,65,5.51,9.61
SYDNEY AIRPORT AMO,19/12/2009,7.9,0.0,3.8,27.2,17.1,91,29,6.91,33.89
SYDNEY AIRPORT AMO,20/12/2009,4.6,0.0,10.2,24.0,19.0,72,57,5.86,14.72
SYDNEY AIRPORT AMO,21/12/2009,7.1,0.0,4.4,27.3,20.0,81,51,7.47,31.16
SYDNEY AIRPORT AMO,22/12/2009,8.2,0.0,9.0,32.2,20.9,84,34,5.01,31.81
SYDNEY AIRPORT AMO,23/12/2009,7.5,0.0,10.0,31.0,20.9,95,44,6.62,30.59
SYDNEY AIRPORT AMO,24/12/2009,9.4,0.0,10.0,32.4,21.4,83,30,9.13,27.42
SYDNEY AIRPORT AMO,25/12/2009,4.4,0.0,10.8,28.0,21.5,95,61,8.24,13.62
SYDNEY AIRPORT AMO,26/12/2009,1.9,7.8,2.8,20.3,17.6,96,87,7.44,9.33
SYDNEY AIRPORT AMO,27/12/2009,2.7,7.0,1.8,22.1,17.6,98,84,5.09,16.05
SYDNEY AIRPORT AMO,28/12/2009,2.4,13.8,2.6,22.2,20.1,100,87,7.44,14.29
SYDNEY AIRPORT AMO,29/12/2009,6.3,3.6,2.4,25.1,19.8,89,55,6.54,32.46
SYDNEY AIRPORT AMO,30/12/2009,5.9,0.0,8.6,25.1,20.5,84,65,6.36,30.26
SYDNEY AIRPORT AMO,31/12/2009,4.1,0.0,8.0,26.5,20.5,89,67,4.40,17.21
Totals:,,189.7,59.8,236.2,,,,,, 
