'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for January 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/01/2010,5.8,0.0,2.8,30.2,21.4,91,47,5.86,19.02
SYDNEY AIRPORT AMO,02/01/2010,5.7,0.0,6.8,31.8,23.8,96,47,4.46,20.36
SYDNEY AIRPORT AMO,03/01/2010,3.3,11.6,7.0,22.2,18.6,97,68,6.85,14.43
SYDNEY AIRPORT AMO,04/01/2010,4.8,1.2,2.4,25.4,17.7,95,50,5.79,19.22
SYDNEY AIRPORT AMO,05/01/2010,6.8,0.0,4.6,28.3,19.1,87,51,6.31,30.46
SYDNEY AIRPORT AMO,06/01/2010,5.3,0.0,8.4,25.3,21.3,92,74,6.66,30.25
SYDNEY AIRPORT AMO,07/01/2010,4.8,0.0,8.0,23.8,20.6,88,56,5.91,19.87
SYDNEY AIRPORT AMO,08/01/2010,6.4,0.0,6.0,26.9,21.0,77,53,6.01,26.70
SYDNEY AIRPORT AMO,09/01/2010,8.8,0.0,5.4,35.0,21.5,86,34,4.66,33.36
SYDNEY AIRPORT AMO,10/01/2010,7.1,0.0,11.0,27.0,23.3,90,49,6.44,33.22
SYDNEY AIRPORT AMO,11/01/2010,6.4,0.0,8.6,27.9,22.0,85,54,6.76,26.52
SYDNEY AIRPORT AMO,12/01/2010,7.5,0.0,8.8,31.8,23.3,91,54,7.24,31.41
SYDNEY AIRPORT AMO,13/01/2010,4.9,0.2,9.2,24.8,22.2,96,70,8.61,27.22
SYDNEY AIRPORT AMO,14/01/2010,3.0,6.2,7.8,21.6,19.3,98,77,7.97,17.01
SYDNEY AIRPORT AMO,15/01/2010,4.5,0.0,3.8,25.6,19.1,91,63,5.23,20.27
SYDNEY AIRPORT AMO,16/01/2010,5.9,0.0,5.4,28.7,21.3,80,53,5.01,23.04
SYDNEY AIRPORT AMO,17/01/2010,6.0,0.0,6.6,25.5,19.9,88,58,6.61,29.71
SYDNEY AIRPORT AMO,18/01/2010,8.4,0.0,8.0,25.6,16.3,87,12,7.86,32.05
SYDNEY AIRPORT AMO,19/01/2010,7.9,0.0,10.0,25.9,15.6,63,19,4.86,33.48
SYDNEY AIRPORT AMO,20/01/2010,8.2,0.0,10.4,30.1,17.2,77,20,4.44,33.32
SYDNEY AIRPORT AMO,21/01/2010,7.2,0.0,9.0,30.9,20.0,95,48,4.86,32.75
SYDNEY AIRPORT AMO,22/01/2010,8.5,0.0,8.2,34.9,22.1,96,32,5.00,31.84
SYDNEY AIRPORT AMO,23/01/2010,13.7,0.0,13.4,42.5,25.8,89,11,9.50,24.18
SYDNEY AIRPORT AMO,24/01/2010,3.6,3.8,8.6,23.6,18.1,98,65,5.10,17.18
SYDNEY AIRPORT AMO,25/01/2010,4.2,0.0,3.6,26.9,19.6,94,68,3.35,20.37
SYDNEY AIRPORT AMO,26/01/2010,6.1,0.0,4.0,30.6,22.2,95,59,3.66,28.44
SYDNEY AIRPORT AMO,27/01/2010,4.7,0.0,6.2,25.9,22.4,92,66,6.30,21.86
SYDNEY AIRPORT AMO,28/01/2010,4.0,0.0,4.8,27.0,22.0,91,66,3.82,17.09
SYDNEY AIRPORT AMO,29/01/2010,5.3,2.0,3.4,26.4,19.7,93,71,6.76,29.59
SYDNEY AIRPORT AMO,30/01/2010,5.0,0.2,6.4,25.9,20.9,90,74,7.80,27.33
SYDNEY AIRPORT AMO,31/01/2010,6.0,1.2,5.4,28.7,20.9,93,56,6.72,26.39
Totals:,,189.8,26.4,214,,,,,, 
