'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for February 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/02/2010,6.1,0.0,7.8,29.1,21.9,87,55,5.51,25.84
SYDNEY AIRPORT AMO,02/02/2010,5.9,0.0,8.0,27.5,22.3,95,45,8.16,20.96
SYDNEY AIRPORT AMO,03/02/2010,5.5,12.8,6.4,28.5,21.0,95,60,7.66,23.37
SYDNEY AIRPORT AMO,04/02/2010,4.7,5.2,6.0,28.3,22.3,95,66,7.68,20.02
SYDNEY AIRPORT AMO,05/02/2010,4.2,5.2,4.8,28.9,22.7,98,66,6.06,16.68
SYDNEY AIRPORT AMO,06/02/2010,2.0,19.0,5.0,22.4,20.5,100,95,12.10,17.13
SYDNEY AIRPORT AMO,07/02/2010,2.8,54.0,7.4,24.0,20.3,100,85,7.96,16.83
SYDNEY AIRPORT AMO,08/02/2010,4.9,5.4,1.8,27.5,21.1,96,58,4.38,22.45
SYDNEY AIRPORT AMO,09/02/2010,5.7,1.4,5.8,28.8,22.4,96,52,4.09,25.60
SYDNEY AIRPORT AMO,10/02/2010,6.8,0.0,5.8,30.5,21.8,89,51,5.29,29.88
SYDNEY AIRPORT AMO,11/02/2010,6.6,0.0,8.8,31.1,21.8,90,47,4.55,27.85
SYDNEY AIRPORT AMO,12/02/2010,8.8,0.0,9.0,38.6,23.6,98,28,5.69,25.42
SYDNEY AIRPORT AMO,13/02/2010,2.5,17.0,9.4,25.0,21.5,98,83,4.30,11.74
SYDNEY AIRPORT AMO,14/02/2010,3.0,13.8,2.0,28.0,21.9,99,75,3.82,12.40
SYDNEY AIRPORT AMO,15/02/2010,7.0,22.2,2.8,34.1,20.3,98,34,4.42,25.44
SYDNEY AIRPORT AMO,16/02/2010,5.3,0.0,7.6,24.1,20.9,81,61,9.13,21.80
SYDNEY AIRPORT AMO,17/02/2010,5.6,0.0,7.8,24.0,18.6,79,59,6.42,28.80
SYDNEY AIRPORT AMO,18/02/2010,6.2,0.0,8.0,25.1,19.5,70,47,6.40,24.68
SYDNEY AIRPORT AMO,19/02/2010,5.3,0.0,7.2,25.6,20.3,80,46,4.44,22.06
SYDNEY AIRPORT AMO,20/02/2010,6.8,0.4,6.4,29.0,20.1,81,45,5.85,28.73
SYDNEY AIRPORT AMO,21/02/2010,8.4,0.0,9.6,34.2,20.8,86,31,5.56,29.43
SYDNEY AIRPORT AMO,22/02/2010,8.2,0.0,9.4,37.3,23.1,78,25,4.21,26.23
SYDNEY AIRPORT AMO,23/02/2010,6.5,0.0,10.4,25.3,24.7,79,40,7.12,23.43
SYDNEY AIRPORT AMO,24/02/2010,5.2,0.0,9.2,24.7,20.4,64,49,4.95,18.30
SYDNEY AIRPORT AMO,25/02/2010,5.7,0.0,4.4,25.1,18.9,66,45,4.96,22.95
SYDNEY AIRPORT AMO,26/02/2010,4.4,0.0,6.0,24.7,19.6,86,53,4.22,19.28
SYDNEY AIRPORT AMO,27/02/2010,6.5,0.4,3.8,29.3,19.3,85,42,5.03,27.51
SYDNEY AIRPORT AMO,28/02/2010,4.2,0.0,8.0,26.1,21.7,93,63,4.71,19.05
Totals:,,154.8,156.8,188.6,,,,,, 
