'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for March 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/03/2010,3.1,3.0,5.0,20.6,19.2,99,60,10.10,10.23
SYDNEY AIRPORT AMO,02/03/2010,5.2,4.2,3.8,22.1,17.0,64,41,6.60,15.56
SYDNEY AIRPORT AMO,03/03/2010,5.1,0.0,7.2,23.9,18.3,74,50,4.40,23.55
SYDNEY AIRPORT AMO,04/03/2010,4.7,0.0,4.4,26.5,17.0,84,60,4.99,21.35
SYDNEY AIRPORT AMO,05/03/2010,3.8,0.0,5.2,26.1,20.4,96,62,5.32,15.78
SYDNEY AIRPORT AMO,06/03/2010,4.5,16.0,3.4,28.0,20.9,98,64,4.35,22.15
SYDNEY AIRPORT AMO,07/03/2010,5.7,0.0,5.0,28.1,22.8,87,57,8.44,21.77
SYDNEY AIRPORT AMO,08/03/2010,7.0,0.8,6.4,31.7,22.7,87,35,6.68,21.20
SYDNEY AIRPORT AMO,09/03/2010,8.1,0.0,9.2,31.0,19.6,56,31,5.97,26.59
SYDNEY AIRPORT AMO,10/03/2010,4.2,1.0,8.0,20.8,18.9,88,50,8.90,14.09
SYDNEY AIRPORT AMO,11/03/2010,5.5,0.0,5.2,22.5,18.1,78,50,8.97,23.81
SYDNEY AIRPORT AMO,12/03/2010,6.1,0.0,9.0,24.4,18.6,64,43,7.15,21.83
SYDNEY AIRPORT AMO,13/03/2010,4.9,0.0,7.4,24.0,18.9,94,46,6.02,22.92
SYDNEY AIRPORT AMO,14/03/2010,4.6,4.2,5.6,24.0,17.5,94,47,4.23,23.27
SYDNEY AIRPORT AMO,15/03/2010,4.6,0.0,5.4,26.1,18.6,80,52,3.29,22.24
SYDNEY AIRPORT AMO,16/03/2010,5.4,0.0,5.8,26.8,17.9,89,35,3.37,25.56
SYDNEY AIRPORT AMO,17/03/2010,5.6,0.0,5.4,27.4,15.2,87,37,4.00,25.96
SYDNEY AIRPORT AMO,18/03/2010,5.9,0.0,6.6,28.6,17.3,86,37,4.55,24.94
SYDNEY AIRPORT AMO,19/03/2010,6.1,0.0,7.0,31.3,18.4,87,37,4.17,24.76
SYDNEY AIRPORT AMO,20/03/2010,6.1,0.0,6.2,29.5,20.3,81,35,4.34,24.58
SYDNEY AIRPORT AMO,21/03/2010,8.0,0.0,7.0,36.3,21.1,83,19,5.13,22.22
SYDNEY AIRPORT AMO,22/03/2010,4.8,0.0,8.4,24.8,20.8,75,55,4.89,21.08
SYDNEY AIRPORT AMO,23/03/2010,5.6,0.0,4.4,29.9,19.1,87,34,3.66,23.79
SYDNEY AIRPORT AMO,24/03/2010,4.5,0.0,7.6,25.4,18.9,88,56,4.97,22.13
SYDNEY AIRPORT AMO,25/03/2010,5.3,0.0,4.0,27.9,18.9,80,49,5.18,22.00
SYDNEY AIRPORT AMO,26/03/2010,7.1,0.0,5.6,35.5,20.5,88,27,4.70,22.61
SYDNEY AIRPORT AMO,27/03/2010,3.8,0.0,7.4,25.0,22.3,95,72,6.95,20.36
SYDNEY AIRPORT AMO,28/03/2010,5.0,0.0,5.4,29.1,20.7,88,53,5.25,21.00
SYDNEY AIRPORT AMO,29/03/2010,4.1,0.0,2.8,28.6,23.0,91,46,3.96,13.55
SYDNEY AIRPORT AMO,30/03/2010,1.8,1.8, ,21.2,20.3,95,86,5.34,9.08
SYDNEY AIRPORT AMO,31/03/2010,3.2,11.4,2.6,21.7,18.9,97,63,8.80,14.21
Totals:,,159.4,42.4,176.4,,,,,, 
