'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for April 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/04/2010,4.5,0.0,3.6,22.8,16.1,78,56,6.89,21.74
SYDNEY AIRPORT AMO,02/04/2010,4.6,0.0,5.8,22.2,17.2,78,52,6.54,21.48
SYDNEY AIRPORT AMO,03/04/2010,3.5,0.0,6.6,22.3,16.4,99,56,5.22,18.09
SYDNEY AIRPORT AMO,04/04/2010,3.1,11.2,3.2,20.8,15.5,97,64,5.50,18.86
SYDNEY AIRPORT AMO,05/04/2010,2.8,3.4,4.4,20.9,15.1,97,55,3.05,14.96
SYDNEY AIRPORT AMO,06/04/2010,3.2,1.4,2.2,24.1,16.6,96,55,3.59,15.15
SYDNEY AIRPORT AMO,07/04/2010,3.4,2.0,2.8,25.9,18.6,92,58,5.27,12.20
SYDNEY AIRPORT AMO,08/04/2010,4.9,2.4,1.4,27.6,19.4,97,39,5.71,18.36
SYDNEY AIRPORT AMO,09/04/2010,3.6,6.0,5.0,22.1,16.3,95,55,4.70,20.46
SYDNEY AIRPORT AMO,10/04/2010,4.4,0.0,6.2,28.3,16.8,87,34,3.14,18.86
SYDNEY AIRPORT AMO,11/04/2010,5.9,0.0,3.8,29.2,18.7,81,28,5.40,19.70
SYDNEY AIRPORT AMO,12/04/2010,6.6,0.0,8.6,24.2,13.8,45,19,6.44,20.52
SYDNEY AIRPORT AMO,13/04/2010,3.8,0.0,5.6,19.9,12.7,73,48,5.04,19.42
SYDNEY AIRPORT AMO,14/04/2010,4.7,0.0,3.8,25.9,12.0,84,30,4.11,20.37
SYDNEY AIRPORT AMO,15/04/2010,3.3,0.0,6.0,22.0,14.8,86,65,4.80,19.65
SYDNEY AIRPORT AMO,16/04/2010,2.7,0.0,3.6,21.2,17.8,92,64,4.50,13.66
SYDNEY AIRPORT AMO,17/04/2010,2.9,1.8,2.4,23.6,15.8,96,64,3.25,18.01
SYDNEY AIRPORT AMO,18/04/2010,2.9,0.0,3.6,23.9,16.7,91,65,3.19,16.75
SYDNEY AIRPORT AMO,19/04/2010,3.1,0.0,2.8,25.4,17.2,94,57,2.76,17.27
SYDNEY AIRPORT AMO,20/04/2010,3.3,0.2,4.4,25.5,17.4,95,52,3.19,17.16
SYDNEY AIRPORT AMO,21/04/2010,3.8,0.0,3.4,26.4,16.3,93,49,3.83,18.74
SYDNEY AIRPORT AMO,22/04/2010,4.1,0.0,5.4,28.4,16.8,90,40,3.08,18.75
SYDNEY AIRPORT AMO,23/04/2010,5.1,0.0,3.2,30.2,17.0,89,29,4.31,18.30
SYDNEY AIRPORT AMO,24/04/2010,4.8,0.0,7.2,30.0,19.8,77,36,4.43,13.96
SYDNEY AIRPORT AMO,25/04/2010,3.1,8.4,5.0,22.6,16.8,95,56,6.62,11.10
SYDNEY AIRPORT AMO,26/04/2010,3.5,0.0,3.0,19.8,11.9,76,52,5.47,18.29
SYDNEY AIRPORT AMO,27/04/2010,3.2,0.0,4.4,21.1,11.0,84,35,3.73,13.30
SYDNEY AIRPORT AMO,28/04/2010,4.4,0.0,2.4,25.6,11.3,81,27,4.08,17.90
SYDNEY AIRPORT AMO,29/04/2010,5.3,0.0,5.0,25.5,13.0,74,29,5.94,17.83
SYDNEY AIRPORT AMO,30/04/2010,2.8,0.4,5.0,19.3,13.5,84,56,5.64,10.68
Totals:,,117.3,37.2,129.8,,,,,, 
