'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for May 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/05/2010,2.5,1.2,2.4,22.4,13.4,89,61,3.48,13.39
SYDNEY AIRPORT AMO,02/05/2010,3.8,0.0,1.2,26.0,13.3,100,28,3.56,16.97
SYDNEY AIRPORT AMO,03/05/2010,2.7,0.0,4.0,22.9,14.9,85,65,4.15,15.21
SYDNEY AIRPORT AMO,04/05/2010,3.4,0.0,2.8,25.6,15.7,94,45,4.32,14.29
SYDNEY AIRPORT AMO,05/05/2010,4.5,0.0,3.8,22.5,15.1,88,29,7.21,11.72
SYDNEY AIRPORT AMO,06/05/2010,4.4,3.8,4.4,21.6,9.5,63,32,5.63,16.73
SYDNEY AIRPORT AMO,07/05/2010,4.1,0.0,3.8,23.4,10.7,72,26,4.03,16.60
SYDNEY AIRPORT AMO,08/05/2010,3.2,0.0,4.0,22.7,11.2,75,38,3.21,16.32
SYDNEY AIRPORT AMO,09/05/2010,3.6,0.0,2.0,24.8,12.0,83,35,3.71,16.12
SYDNEY AIRPORT AMO,10/05/2010,3.3,0.0,4.4,24.1,12.0,87,48,4.42,15.94
SYDNEY AIRPORT AMO,11/05/2010,5.6,0.0,4.2,27.2,12.5,93,15,6.05,15.90
SYDNEY AIRPORT AMO,12/05/2010,4.5,0.0,8.0,17.1,10.4,53,33,7.44,16.18
SYDNEY AIRPORT AMO,13/05/2010,4.0,0.0,4.4,19.4,7.9,78,38,7.64,15.53
SYDNEY AIRPORT AMO,14/05/2010,3.7,0.0,4.4,18.8,10.0,78,40,7.19,15.48
SYDNEY AIRPORT AMO,15/05/2010,3.3,0.0,4.0,19.1,10.4,75,49,6.10,15.16
SYDNEY AIRPORT AMO,16/05/2010,2.5,0.0,4.4,20.3,10.4,81,52,3.61,13.56
SYDNEY AIRPORT AMO,17/05/2010,1.6,12.2,2.4,18.1,13.1,96,69,3.58,8.86
SYDNEY AIRPORT AMO,18/05/2010,1.4,23.4,1.0,15.6,12.4,97,75,5.79,9.36
SYDNEY AIRPORT AMO,19/05/2010,1.9,56.0, ,18.5,12.1,96,66,4.19,13.86
SYDNEY AIRPORT AMO,20/05/2010,2.0,1.8,2.8,19.3,10.6,93,55,3.03,13.94
SYDNEY AIRPORT AMO,21/05/2010,2.2,0.0,1.2,19.6,11.6,96,59,5.24,11.63
SYDNEY AIRPORT AMO,22/05/2010,2.2,14.8,2.8,17.1,10.8,96,61,6.88,13.36
SYDNEY AIRPORT AMO,23/05/2010,1.4,17.0,5.0,15.8,9.7,95,70,3.74,9.44
SYDNEY AIRPORT AMO,24/05/2010,1.7,1.4,0.2,18.7,9.7,92,61,2.79,10.94
SYDNEY AIRPORT AMO,25/05/2010,1.3,1.0, ,17.5,13.2,94,79,3.08,9.20
SYDNEY AIRPORT AMO,26/05/2010,2.3,9.6,2.2,19.4,13.0,99,58,7.72,5.96
SYDNEY AIRPORT AMO,27/05/2010,2.8,29.0,5.8,19.6,13.1,87,50,6.30,10.47
SYDNEY AIRPORT AMO,28/05/2010,2.0,0.0,1.4,20.0,12.0,93,53,3.30,12.06
SYDNEY AIRPORT AMO,29/05/2010,1.6,3.0,2.8,18.0,14.5,94,70,4.47,7.86
SYDNEY AIRPORT AMO,30/05/2010,2.3,2.4,1.4,19.5,11.3,97,45,4.11,11.22
SYDNEY AIRPORT AMO,31/05/2010,2.6,6.6,1.6,18.9,12.4,97,58,9.79,11.62
Totals:,,88.4,183.2,92.8,,,,,, 
