'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for September 2010,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 October 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/09/2010,5.0,0.0,6.4,27.4,13.5,76,25,4.67,12.44
SYDNEY AIRPORT AMO,02/09/2010,1.9,0.4,3.8,17.9,15.5,98,66,5.63,6.63
SYDNEY AIRPORT AMO,03/09/2010,2.6,1.2,1.8,18.5,13.3,92,56,6.31,8.26
SYDNEY AIRPORT AMO,04/09/2010,3.8,12.4,2.8,21.2,14.5,97,39,9.16,5.65
SYDNEY AIRPORT AMO,05/09/2010,7.1,0.8,5.6,22.1,16.9,52,31,10.89,20.20
SYDNEY AIRPORT AMO,06/09/2010,4.9,0.0,8.0,21.0,11.1,61,25,5.21,18.21
SYDNEY AIRPORT AMO,07/09/2010,3.3,0.0,3.2,15.4,9.9,75,52,6.17,17.69
SYDNEY AIRPORT AMO,08/09/2010,3.0,0.0,4.0,16.3,7.5,83,54,4.17,20.24
SYDNEY AIRPORT AMO,09/09/2010,3.0,0.0,4.0,19.6,9.2,94,42,4.49,11.01
SYDNEY AIRPORT AMO,10/09/2010,4.9,2.8,2.0,24.5,10.5,100,25,6.15,14.21
SYDNEY AIRPORT AMO,11/09/2010,3.8,0.0,4.4,18.7,10.2,81,38,4.25,21.28
SYDNEY AIRPORT AMO,12/09/2010,3.8,0.0,3.8,20.7,8.4,87,40,4.13,20.49
SYDNEY AIRPORT AMO,13/09/2010,4.9,0.0,4.2,24.2,13.2,86,21,4.50,18.49
SYDNEY AIRPORT AMO,14/09/2010,2.7,0.0,5.4,18.1,14.0,97,55,6.57,9.19
SYDNEY AIRPORT AMO,15/09/2010,3.5,11.4,1.8,19.1,12.0,97,17,5.69,1.79
SYDNEY AIRPORT AMO,16/09/2010,6.7,0.0,5.0,22.1,10.7,58,19,8.38,21.22
SYDNEY AIRPORT AMO,17/09/2010, ,0.0,6.4,18.4,8.8,62,27,5.54, 
SYDNEY AIRPORT AMO,18/09/2010,4.7,0.0,5.0,22.6,8.6,84,31,4.44,22.63
SYDNEY AIRPORT AMO,19/09/2010,3.1,0.0,4.0,18.2,11.3,91,50,3.69,17.34
SYDNEY AIRPORT AMO,20/09/2010,3.1,0.0,3.6,19.3,11.0,92,62,4.29,19.94
SYDNEY AIRPORT AMO,21/09/2010,4.4,0.0,3.0,22.3,12.0,94,45,6.04,21.73
SYDNEY AIRPORT AMO,22/09/2010,3.7,1.8,4.6,21.1,13.0,97,48,4.08,20.20
SYDNEY AIRPORT AMO,23/09/2010,3.1,0.2,5.0,19.2,14.4,90,61,4.67,16.63
SYDNEY AIRPORT AMO,24/09/2010,4.2,0.0,3.2,23.4,13.0,97,48,4.03,22.93
SYDNEY AIRPORT AMO,25/09/2010,5.4,0.0,5.4,26.8,13.3,97,17,3.70,22.93
SYDNEY AIRPORT AMO,26/09/2010,4.8,0.0,5.4,23.3,12.8,80,39,4.16,23.91
SYDNEY AIRPORT AMO,27/09/2010,5.7,0.0,5.8,28.2,13.2,79,26,4.56,17.56
SYDNEY AIRPORT AMO,28/09/2010,6.8,0.0,7.6,28.2,15.1,82,12,4.89,24.38
SYDNEY AIRPORT AMO,29/09/2010,4.6,0.0,7.2,17.1,13.0,79,37,7.56,21.11
SYDNEY AIRPORT AMO,30/09/2010,4.1,0.8,6.4,17.7,8.3,85,38,4.34,25.05
Totals:,,122.6,31.8,138.8,,,,,, 
