'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for October 2010,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 November 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/10/2010,3.0,0.0,4.0,18.6,9.7,79,51,3.96,12.71
SYDNEY AIRPORT AMO,02/10/2010,2.7,0.0,2.6,20.3,14.0,97,55,4.15,10.54
SYDNEY AIRPORT AMO,03/10/2010,2.4,10.2,1.0,20.2,14.7,98,75,5.84,12.77
SYDNEY AIRPORT AMO,04/10/2010,3.4,12.6,4.0,21.7,15.2,97,58,5.15,16.27
SYDNEY AIRPORT AMO,05/10/2010,3.5,2.2,2.2,22.9,16.4,98,61,2.87,19.21
SYDNEY AIRPORT AMO,06/10/2010,3.2,0.0,3.4,22.4,16.8,98,68,4.00,17.38
SYDNEY AIRPORT AMO,07/10/2010,3.6,0.2,2.2,22.4,16.3,93,54,5.46,14.25
SYDNEY AIRPORT AMO,08/10/2010,4.0,0.0,4.6,19.9,13.5,86,48,4.25,21.34
SYDNEY AIRPORT AMO,09/10/2010,3.1,0.0,5.2,19.9,15.3,78,49,4.01,9.10
SYDNEY AIRPORT AMO,10/10/2010,5.0,0.0,3.8,21.7,14.4,91,39,6.92,21.88
SYDNEY AIRPORT AMO,11/10/2010,5.2,0.6,6.2,23.0,16.6,87,42,7.63,19.61
SYDNEY AIRPORT AMO,12/10/2010,4.9,1.8,6.0,23.6,16.5,86,53,8.14,19.92
SYDNEY AIRPORT AMO,13/10/2010,4.1,0.6,7.0,26.2,15.7,95,53,4.51,16.98
SYDNEY AIRPORT AMO,14/10/2010,5.7,9.8,4.0,27.1,18.0,87,46,5.64,23.67
SYDNEY AIRPORT AMO,15/10/2010,4.6,0.0,7.8,25.2,19.3,95,46,8.22,12.23
SYDNEY AIRPORT AMO,16/10/2010,6.5,1.8,3.4,16.4,11.7,55,22,11.49,24.87
SYDNEY AIRPORT AMO,17/10/2010,6.7, ,6.6,24.2,10.0,56,25,5.69,27.79
SYDNEY AIRPORT AMO,18/10/2010,6.6,0.0,7.2,25.4,11.4,62,25,4.87,28.20
SYDNEY AIRPORT AMO,19/10/2010,3.6,5.0,6.4,18.7,14.0,96,48,5.75,16.44
SYDNEY AIRPORT AMO,20/10/2010,4.8,0.0,3.0,21.6,12.8,84,51,4.74,26.57
SYDNEY AIRPORT AMO,21/10/2010,5.4,0.0,6.6,23.4,13.1,94,40,5.63,26.86
SYDNEY AIRPORT AMO,22/10/2010,5.5,0.0,5.6,25.4,15.5,84,48,4.84,26.87
SYDNEY AIRPORT AMO,23/10/2010,6.4,0.0,8.0,30.6,15.8,100,28,5.05,21.29
SYDNEY AIRPORT AMO,24/10/2010,2.0,23.0,7.4,16.9,14.2,100,76,8.57,10.99
SYDNEY AIRPORT AMO,25/10/2010,3.4,13.8,1.2,19.0,14.0,96,67,8.16,21.02
SYDNEY AIRPORT AMO,26/10/2010,6.3,0.2,3.8,26.7,12.5,86,28,4.44,27.21
SYDNEY AIRPORT AMO,27/10/2010,4.2,0.0,6.8,20.0,13.4,87,59,6.77,22.56
SYDNEY AIRPORT AMO,28/10/2010,4.5,5.0,5.4,20.6,15.2,90,50,5.41,23.30
SYDNEY AIRPORT AMO,29/10/2010,3.8,0.2,6.2,22.1,14.4,85,54,3.95,16.62
SYDNEY AIRPORT AMO,30/10/2010,5.7,0.0,3.2,26.3,16.1,90,56,7.52,27.77
SYDNEY AIRPORT AMO,31/10/2010,5.4,0.0,7.2,26.9,19.5,91,55,8.52,21.18
Totals:,,139.2,87,152,,,,,, 
