'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for November 2010,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 December 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/11/2010,2.8,0.0,6.6,18.5,17.6,98,69,8.21,14.78
SYDNEY AIRPORT AMO,02/11/2010,3.6,38.8,3.8,18.0,11.5,94,53,7.20,17.46
SYDNEY AIRPORT AMO,03/11/2010,5.2,0.0,4.0,22.6,11.5,93,44,5.00,28.01
SYDNEY AIRPORT AMO,04/11/2010,3.3,1.2,5.4,17.8,14.5,97,66,8.47,19.73
SYDNEY AIRPORT AMO,05/11/2010,4.4,36.6,8.4,18.2,13.0,89,46,8.21,21.73
SYDNEY AIRPORT AMO,06/11/2010,3.4,5.4,4.8,18.7,13.8,93,68,5.39,20.75
SYDNEY AIRPORT AMO,07/11/2010,5.1,6.4,3.6,23.6,13.4,94,53,4.98,28.62
SYDNEY AIRPORT AMO,08/11/2010,5.9,0.2,5.8,27.9,16.2,100,44,6.40,24.32
SYDNEY AIRPORT AMO,09/11/2010,4.3,28.8,11.2,22.7,16.4,95,66,4.42,24.79
SYDNEY AIRPORT AMO,10/11/2010,5.4,0.0,3.2,27.9,18.1,96,52,4.45,24.60
SYDNEY AIRPORT AMO,11/11/2010,6.8,11.8,7.2,29.6,19.6,91,37,4.66,28.53
SYDNEY AIRPORT AMO,12/11/2010,7.2,0.0,9.0,29.2,19.7,91,43,6.10,30.87
SYDNEY AIRPORT AMO,13/11/2010,7.3,0.0,8.6,32.3,19.9,92,41,5.75,27.43
SYDNEY AIRPORT AMO,14/11/2010,7.5,0.0,9.0,32.5,21.3,86,41,6.31,25.24
SYDNEY AIRPORT AMO,15/11/2010,2.6,0.0,10.4,21.7,21.7,98,69,3.06,11.32
SYDNEY AIRPORT AMO,16/11/2010,4.1,19.0,1.0,21.2,17.5,98,72,6.65,26.47
SYDNEY AIRPORT AMO,17/11/2010,4.0,0.6,6.6,22.1,16.4,94,62,4.75,21.12
SYDNEY AIRPORT AMO,18/11/2010,5.8,0.2,3.6,25.3,16.7,87,45,4.84,27.59
SYDNEY AIRPORT AMO,19/11/2010,3.7,0.0,8.0,18.3,16.7,90,62,10.15,17.67
SYDNEY AIRPORT AMO,20/11/2010,5.7,0.0,5.4,21.9,13.8,80,50,4.94,31.87
SYDNEY AIRPORT AMO,21/11/2010,6.3,0.0,5.6,24.7,15.1,87,41,4.90,32.14
SYDNEY AIRPORT AMO,22/11/2010,6.4,0.0,9.0,25.8,16.3,93,42,6.09,30.18
SYDNEY AIRPORT AMO,23/11/2010,8.0,0.0,8.0,26.8,18.2,80,32,8.15,31.81
SYDNEY AIRPORT AMO,24/11/2010,7.1,0.0,11.0,26.8,17.9,83,49,8.07,32.71
SYDNEY AIRPORT AMO,25/11/2010,7.3,0.0,8.8,28.2,18.7,82,46,6.64,32.41
SYDNEY AIRPORT AMO,26/11/2010,5.9,0.0,11.6,25.9,18.7,85,53,5.28,28.00
SYDNEY AIRPORT AMO,27/11/2010,7.2,0.0,6.0,28.3,18.9,89,47,8.19,30.61
SYDNEY AIRPORT AMO,28/11/2010,3.9,0.0,10.8,25.8,19.2,91,51,4.26,13.10
SYDNEY AIRPORT AMO,29/11/2010,2.6,4.6,3.4,19.6,16.9,94,85,10.13,16.76
SYDNEY AIRPORT AMO,30/11/2010,3.0,5.0,1.8,22.2,16.0,100,77,7.22,17.31
Totals:,,155.8,158.6,201.6,,,,,, 
