'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for December 2010,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 January 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/12/2010,2.5,25.8,3.4,21.5,16.0,98,82,5.90,14.69
SYDNEY AIRPORT AMO,02/12/2010,4.5,28.6,1.8,26.1,18.3,97,66,6.20,21.50
SYDNEY AIRPORT AMO,03/12/2010,5.7,0.0,5.2,25.7,20.1,89,59,6.66,27.68
SYDNEY AIRPORT AMO,04/12/2010,4.1,0.0,7.4,24.7,19.9,88,66,4.41,18.77
SYDNEY AIRPORT AMO,05/12/2010,5.2,0.0,4.4,25.3,19.6,97,60,4.10,27.69
SYDNEY AIRPORT AMO,06/12/2010,5.6,3.8,5.8,26.6,19.6,98,59,5.20,28.89
SYDNEY AIRPORT AMO,07/12/2010,6.7,0.4,8.0,27.5,20.5,89,54,6.73,31.93
SYDNEY AIRPORT AMO,08/12/2010,6.7,0.0,7.6,27.8,21.2,86,61,9.96,31.50
SYDNEY AIRPORT AMO,09/12/2010,6.6,0.0,10.4,32.8,22.4,90,44,5.59,21.15
SYDNEY AIRPORT AMO,10/12/2010,6.1,0.4,4.8,29.6,21.3,92,47,5.58,22.97
SYDNEY AIRPORT AMO,11/12/2010,7.8,0.4,6.8,29.2,17.1,91,29,5.41,33.13
SYDNEY AIRPORT AMO,12/12/2010,8.8,0.0,9.2,32.0,17.7,89,22,5.24,33.41
SYDNEY AIRPORT AMO,13/12/2010,6.3,0.0,10.2,24.8,18.8,89,55,6.30,33.41
SYDNEY AIRPORT AMO,14/12/2010,5.1,0.0,8.2,23.5,20.0,92,73,5.60,30.78
SYDNEY AIRPORT AMO,15/12/2010,6.3,0.0,6.0,28.4,19.4,93,56,5.29,30.37
SYDNEY AIRPORT AMO,16/12/2010,3.7,0.0,7.6,23.6,21.4,92,76,5.99,18.31
SYDNEY AIRPORT AMO,17/12/2010,6.5,4.8,5.8,27.7,18.2,88,19,5.08,19.91
SYDNEY AIRPORT AMO,18/12/2010,7.0,0.0,7.8,27.2,19.5,72,29,7.33,17.09
SYDNEY AIRPORT AMO,19/12/2010,6.4,0.0,5.0,28.3,17.3,90,32,6.14,20.64
SYDNEY AIRPORT AMO,20/12/2010,8.0,4.8,9.2,22.1,13.3,57,30,11.24,30.67
SYDNEY AIRPORT AMO,21/12/2010,8.9,0.0,8.4,28.8,16.1,84,19,6.35,34.69
SYDNEY AIRPORT AMO,22/12/2010,6.1,0.0,9.2,23.8,17.6,82,55,6.24,31.68
SYDNEY AIRPORT AMO,23/12/2010,8.3,0.0,8.4,31.3,19.5,89,23,5.95,28.16
SYDNEY AIRPORT AMO,24/12/2010,6.0,0.0,8.0,23.4,18.7,81,42,5.44,26.72
SYDNEY AIRPORT AMO,25/12/2010,7.1,0.0,7.0,28.1,16.2,82,49,5.49,33.66
SYDNEY AIRPORT AMO,26/12/2010,6.4,0.2,8.0,32.2,21.2,100,34,6.09,17.11
SYDNEY AIRPORT AMO,27/12/2010,3.4,33.8,11.8,20.0,17.9,97,55,8.74,10.90
SYDNEY AIRPORT AMO,28/12/2010,5.3,2.6,5.4,22.8,14.8,66,46,5.20,21.11
SYDNEY AIRPORT AMO,29/12/2010,7.5,0.0,5.2,27.7,17.5,74,47,6.64,33.57
SYDNEY AIRPORT AMO,30/12/2010,6.7,0.0,8.6,27.0,19.4,83,54,4.42,33.56
SYDNEY AIRPORT AMO,31/12/2010,7.5,0.0,8.8,29.5,21.9,87,51,6.50,33.59
Totals:,,192.8,105.6,223.4,,,,,, 
