'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for March 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 April 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/03/2011,7.7,0.4,4.4,34.4,22.2,91,25,7.41,14.21
SYDNEY AIRPORT AMO,02/03/2011,3.4,0.2,9.2,22.9,18.6,88,53,5.33,9.50
SYDNEY AIRPORT AMO,03/03/2011,7.8,0.0,2.2,31.7,17.6,90,16,5.20,27.08
SYDNEY AIRPORT AMO,04/03/2011,6.3,0.0,8.0,28.1,19.1,79,46,5.88,25.59
SYDNEY AIRPORT AMO,05/03/2011,4.3,0.6,8.2,21.9,17.8,85,46,7.97,11.83
SYDNEY AIRPORT AMO,06/03/2011,5.3,0.2,8.2,22.4,18.1,57,40,5.29,17.73
SYDNEY AIRPORT AMO,07/03/2011,5.2,0.0,4.8,24.8,17.2,75,45,4.85,21.36
SYDNEY AIRPORT AMO,08/03/2011,6.2,0.0,6.8,28.1,17.7,83,47,6.00,26.70
SYDNEY AIRPORT AMO,09/03/2011,5.3,0.0,8.0,32.1,20.8,80,30,3.24,16.61
SYDNEY AIRPORT AMO,10/03/2011,3.7,0.0,6.2,29.2,23.0,95,44,2.89,12.30
SYDNEY AIRPORT AMO,11/03/2011,3.2,0.0,3.6,25.7,21.4,95,73,3.74,15.11
SYDNEY AIRPORT AMO,12/03/2011,4.9,1.2,3.2,28.2,20.7,96,56,4.51,22.89
SYDNEY AIRPORT AMO,13/03/2011,6.1,0.0,6.4,29.8,22.4,82,53,5.72,24.98
SYDNEY AIRPORT AMO,14/03/2011,4.0,0.0,8.0,27.2,22.2,90,62,7.70,11.58
SYDNEY AIRPORT AMO,15/03/2011,3.1,0.2,4.0,23.4,18.1,95,71,4.48,15.67
SYDNEY AIRPORT AMO,16/03/2011,4.3,0.4,3.2,26.2,19.6,90,62,4.57,20.89
SYDNEY AIRPORT AMO,17/03/2011,3.6,1.2,5.8,24.4,20.5,92,75,5.71,19.04
SYDNEY AIRPORT AMO,18/03/2011,3.2,0.6,5.4,23.6,20.0,92,66,7.37,11.19
SYDNEY AIRPORT AMO,19/03/2011,2.7,13.8,5.2,23.4,19.0,96,70,6.96,10.23
SYDNEY AIRPORT AMO,20/03/2011,4.0,100.0,50.2,24.9,18.3,98,59,7.49,16.72
SYDNEY AIRPORT AMO,21/03/2011,3.2,16.4,5.2,26.8,19.3,98,72,6.78,13.25
SYDNEY AIRPORT AMO,22/03/2011,4.6,16.4,1.6,29.7,21.0,98,56,3.49,21.78
SYDNEY AIRPORT AMO,23/03/2011,6.2,6.6,5.8,31.5,20.2,95,29,4.82,21.86
SYDNEY AIRPORT AMO,24/03/2011,7.7,0.0,8.6,28.0,18.5,56,26,7.34,22.36
SYDNEY AIRPORT AMO,25/03/2011,5.6,0.0,8.8,25.5,17.5,73,38,6.16,20.43
SYDNEY AIRPORT AMO,26/03/2011,3.4,0.0,5.2,19.9,17.9,85,66,9.57,14.37
SYDNEY AIRPORT AMO,27/03/2011,3.0,1.6,5.4,20.3,16.3,97,63,6.25,14.93
SYDNEY AIRPORT AMO,28/03/2011,3.0,5.4,1.6,23.1,15.7,96,61,3.54,15.50
SYDNEY AIRPORT AMO,29/03/2011,4.3,6.0,1.8,26.7,16.8,98,48,4.61,19.13
SYDNEY AIRPORT AMO,30/03/2011,4.7,0.2,6.6,28.8,18.5,84,45,3.66,19.67
SYDNEY AIRPORT AMO,31/03/2011,2.9,1.4,5.2,21.2,19.0,92,62,7.80,8.70
Totals:,,142.9,172.8,216.8,,,,,, 
