'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for April 2011,,,,,,,,,,
Issued at 22:34 GMT on Sunday 01 May 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/04/2011,3.9,1.4,3.8,25.0,15.3,91,50,4.62,16.05
SYDNEY AIRPORT AMO,02/04/2011,3.7,0.2,4.2,21.5,16.4,90,54,6.71,16.35
SYDNEY AIRPORT AMO,03/04/2011,4.2,0.0,6.2,23.7,14.5,77,49,3.93,21.29
SYDNEY AIRPORT AMO,04/04/2011,3.7,0.0,3.6,21.0,17.4,99,56,7.90,20.44
SYDNEY AIRPORT AMO,05/04/2011,3.1,18.8,4.4,20.7,15.2,98,58,6.72,15.04
SYDNEY AIRPORT AMO,06/04/2011,3.3,8.2,2.6,21.5,15.3,94,57,6.13,15.62
SYDNEY AIRPORT AMO,07/04/2011,4.7,5.6,5.4,22.2,16.9,71,50,6.40,20.36
SYDNEY AIRPORT AMO,08/04/2011,3.8,0.0,6.0,22.5,14.8,77,52,4.10,19.90
SYDNEY AIRPORT AMO,09/04/2011,5.3,0.0,4.4,27.5,14.7,89,32,4.93,20.71
SYDNEY AIRPORT AMO,10/04/2011,4.6,0.0,5.6,27.7,16.5,93,30,5.04,11.23
SYDNEY AIRPORT AMO,11/04/2011,4.3,6.6,4.6,22.6,12.7,81,26,4.25,17.21
SYDNEY AIRPORT AMO,12/04/2011,5.1,0.0,5.6,22.6,10.9,72,27,6.07,18.42
SYDNEY AIRPORT AMO,13/04/2011,5.3,0.0,5.0,24.8,13.4,57,25,4.80,17.64
SYDNEY AIRPORT AMO,14/04/2011,5.3,0.0,6.0,24.4,13.7,61,29,5.26,19.61
SYDNEY AIRPORT AMO,15/04/2011,3.6,0.0,6.0,20.8,13.1,91,49,6.66,15.85
SYDNEY AIRPORT AMO,16/04/2011,2.8,38.2,6.0,19.7,15.5,98,57,10.07,7.71
SYDNEY AIRPORT AMO,17/04/2011,3.8,19.2,3.8,21.4,16.0,82,48,6.54,12.93
SYDNEY AIRPORT AMO,18/04/2011,4.0,0.0,2.4,23.6,12.9,91,36,4.15,18.87
SYDNEY AIRPORT AMO,19/04/2011,3.3,0.0,5.4,24.7,13.5,89,48,3.13,17.14
SYDNEY AIRPORT AMO,20/04/2011,2.9,0.0,3.8,22.6,13.9,83,46,3.44,10.23
SYDNEY AIRPORT AMO,21/04/2011,4.5,0.0,2.2,26.0,15.1,86,31,4.31,18.35
SYDNEY AIRPORT AMO,22/04/2011,4.7,0.0,4.8,25.7,15.2,68,35,4.72,17.05
SYDNEY AIRPORT AMO,23/04/2011,2.2,4.0,5.6,18.6,12.5,97,52,3.85,9.33
SYDNEY AIRPORT AMO,24/04/2011,2.5,12.8,1.2,21.1,13.7,90,63,3.81,14.30
SYDNEY AIRPORT AMO,25/04/2011,2.2,4.6,3.0,19.9,16.5,98,66,7.27,7.25
SYDNEY AIRPORT AMO,26/04/2011,3.1,3.0,2.4,21.0,15.7,96,51,6.75,10.21
SYDNEY AIRPORT AMO,27/04/2011,2.8,4.2,3.4,19.4,15.2,94,56,7.47,10.93
SYDNEY AIRPORT AMO,28/04/2011,2.3,28.6,3.8,19.9,14.7,98,65,6.67,9.91
SYDNEY AIRPORT AMO,29/04/2011,2.1,15.6,3.6,19.8,14.1,98,71,5.49,13.15
SYDNEY AIRPORT AMO,30/04/2011,1.9,31.2,1.8,22.1,16.2,99,66,4.28,5.67
Totals:,,109,202.2,126.6,,,,,, 
