'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for June 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 July 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/06/2011,2.7,8.0,4.6,19.9,15.1,93,54,7.75,9.26
SYDNEY AIRPORT AMO,02/06/2011,2.3,0.4,3.2,19.0,15.4,91,60,6.27,11.66
SYDNEY AIRPORT AMO,03/06/2011,2.3,0.0,1.2,20.6,10.7,95,46,3.66,12.70
SYDNEY AIRPORT AMO,04/06/2011,2.3,0.2,2.8,19.7,10.9,83,50,3.99,8.54
SYDNEY AIRPORT AMO,05/06/2011,2.6,0.4,3.0,18.2,10.3,91,38,4.76,12.67
SYDNEY AIRPORT AMO,06/06/2011,2.7,0.2,2.0,17.5,7.9,71,43,4.94,11.92
SYDNEY AIRPORT AMO,07/06/2011,2.6,0.0,4.0,15.3,6.0,80,33,5.07,11.58
SYDNEY AIRPORT AMO,08/06/2011,3.8,0.0,1.8,14.3,8.3,66,27,8.52,12.91
SYDNEY AIRPORT AMO,09/06/2011,3.7,0.0,3.6,17.2,7.4,65,37,7.89,12.36
SYDNEY AIRPORT AMO,10/06/2011,2.7,0.0,4.8,15.6,8.9,82,48,7.74,9.91
SYDNEY AIRPORT AMO,11/06/2011,1.7,5.4,0.2,15.7,11.6,96,71,9.12,9.37
SYDNEY AIRPORT AMO,12/06/2011,1.8,11.0,4.8,15.5,11.4,99,67,10.99,8.74
SYDNEY AIRPORT AMO,13/06/2011,2.3,5.8,2.4,16.9,12.5,97,57,8.86,8.24
SYDNEY AIRPORT AMO,14/06/2011,3.0,2.2,3.4,17.3,13.4,88,52,11.20,7.14
SYDNEY AIRPORT AMO,15/06/2011,3.1,7.2,6.0,18.0,13.9,92,50,11.07,9.09
SYDNEY AIRPORT AMO,16/06/2011,1.9,4.6,3.6,16.6,13.9,93,65,7.61,8.39
SYDNEY AIRPORT AMO,17/06/2011,3.2,0.0,1.4,19.1,8.3,92,34,6.69,12.10
SYDNEY AIRPORT AMO,18/06/2011,3.5,0.2,3.6,18.0,9.0,64,39,7.12,12.07
SYDNEY AIRPORT AMO,19/06/2011,2.8,0.0,2.8,18.8,8.1,77,38,4.89,12.13
SYDNEY AIRPORT AMO,20/06/2011,3.5,0.0,3.4,20.3,8.4,75,34,5.81,12.07
SYDNEY AIRPORT AMO,21/06/2011,5.4,0.0,5.0,21.6,11.3,59,27,9.27,10.70
SYDNEY AIRPORT AMO,22/06/2011,4.0,0.0,4.6,16.4,8.8,52,31,7.52,12.17
SYDNEY AIRPORT AMO,23/06/2011,3.6,0.0,3.8,19.5,9.7,64,36,6.15,11.90
SYDNEY AIRPORT AMO,24/06/2011,2.2,0.0,3.4,18.7,7.8,77,37,3.20,12.10
SYDNEY AIRPORT AMO,25/06/2011,2.1,0.0,2.4,19.4,7.5,86,49,3.46,12.01
SYDNEY AIRPORT AMO,26/06/2011,2.6,0.0,1.8,20.5,7.5,93,29,3.59,12.41
SYDNEY AIRPORT AMO,27/06/2011,2.2,0.0,2.6,18.1,7.1,86,47,4.19,11.60
SYDNEY AIRPORT AMO,28/06/2011,1.8,0.0,2.6,16.9,9.9,88,67,6.24,8.44
SYDNEY AIRPORT AMO,29/06/2011,2.4,1.4,2.0,18.0,13.0,90,54,6.46,9.85
SYDNEY AIRPORT AMO,30/06/2011,1.7,2.0,1.6,16.8,12.4,97,49,3.60,8.13
Totals:,,82.5,49,92.4,,,,,, 
