'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for July 2011,,,,,,,,,,
Issued at 22:34 GMT on Monday 01 August 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/07/2011,1.4,2.2,2.6,15.5,10.9,97,71,5.48,9.54
SYDNEY AIRPORT AMO,02/07/2011,1.8,4.2,1.4,19.0,11.6,97,52,3.34,11.63
SYDNEY AIRPORT AMO,03/07/2011,3.0,0.2,3.0,20.8,7.7,96,36,5.19,12.01
SYDNEY AIRPORT AMO,04/07/2011,4.2,0.0,4.4,21.2,12.0,64,39,7.49,11.23
SYDNEY AIRPORT AMO,05/07/2011,5.0,0.0,4.8,17.9,12.0,49,24,8.53,12.43
SYDNEY AIRPORT AMO,06/07/2011,4.7,0.0,5.6,18.3,10.4,53,28,8.52,12.11
SYDNEY AIRPORT AMO,07/07/2011,4.7,0.0,5.4,17.0,11.7,55,28,9.37,12.41
SYDNEY AIRPORT AMO,08/07/2011,3.5,0.0,4.0,18.0,5.6,68,27,5.82,12.82
SYDNEY AIRPORT AMO,09/07/2011,3.8,0.0,4.0,17.0,5.9,61,32,7.61,12.64
SYDNEY AIRPORT AMO,10/07/2011,4.2,0.0,3.8,17.2,5.7,65,22,7.62,12.80
SYDNEY AIRPORT AMO,11/07/2011,3.7,0.0,4.0,17.3,9.8,58,26,5.63,12.76
SYDNEY AIRPORT AMO,12/07/2011,3.7,0.0,3.2,19.1,5.7,70,24,5.57,12.90
SYDNEY AIRPORT AMO,13/07/2011,2.9,0.0,3.8,13.6,9.3,59,43,5.85,4.81
SYDNEY AIRPORT AMO,14/07/2011,2.7,0.0,2.8,13.4,8.9,76,45,7.49,12.88
SYDNEY AIRPORT AMO,15/07/2011,1.7,0.4,2.0,12.8,5.4,99,58,6.47,9.35
SYDNEY AIRPORT AMO,16/07/2011,1.6,4.8,1.4,16.4,8.1,99,55,3.25,8.98
SYDNEY AIRPORT AMO,17/07/2011,1.3,1.4,1.4,16.5,10.1,99,69,2.58,9.09
SYDNEY AIRPORT AMO,18/07/2011,2.2,0.2,1.0,19.3,9.3,96,45,3.69,12.39
SYDNEY AIRPORT AMO,19/07/2011,2.5,0.0,3.2,15.2,6.5,99,45,7.37,10.53
SYDNEY AIRPORT AMO,20/07/2011,2.0,56.8, ,16.8,8.6,100,65,12.76,3.18
SYDNEY AIRPORT AMO,21/07/2011,1.0,33.2,6.4,14.4,11.4,100,82,9.78,2.97
SYDNEY AIRPORT AMO,22/07/2011,1.7,81.2, ,14.1,11.1,99,63,8.60,4.21
SYDNEY AIRPORT AMO,23/07/2011,1.6,41.8,5.6,13.9,9.1,93,71,7.48,9.37
SYDNEY AIRPORT AMO,24/07/2011,2.1,1.0,2.8,14.7,6.7,88,44,3.91,11.42
SYDNEY AIRPORT AMO,25/07/2011,2.3,0.0,1.6,18.6,7.9,90,42,3.34,11.06
SYDNEY AIRPORT AMO,26/07/2011,3.0,0.4,0.4,18.7,7.4,84,32,4.54,10.43
SYDNEY AIRPORT AMO,27/07/2011,2.1,0.2,3.0,15.3,7.8,85,61,5.65,11.77
SYDNEY AIRPORT AMO,28/07/2011,2.7,0.0,1.8,19.6,7.6,93,36,4.01,12.90
SYDNEY AIRPORT AMO,29/07/2011,2.8,0.0,3.6,19.9,7.6,89,28,3.36,13.50
SYDNEY AIRPORT AMO,30/07/2011,3.2,0.0,2.8,20.7,6.7,87,23,3.73,13.54
SYDNEY AIRPORT AMO,31/07/2011,2.7,0.0, ,20.4,7.1,82,35,3.31,12.43
Totals:,,85.8,228,89.8,,,,,, 
