'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for August 2011,,,,,,,,,,
Issued at 22:34 GMT on Thursday 01 September 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/08/2011,3.1, ,2.4,21.9,9.8,83,38,3.99,13.01
SYDNEY AIRPORT AMO,02/08/2011,3.0,0.0,3.8,22.5,9.2,88,28,3.17,12.62
SYDNEY AIRPORT AMO,03/08/2011,3.1,0.0,2.8,25.9,11.7,88,27,2.85,9.48
SYDNEY AIRPORT AMO,04/08/2011, ,0.0, ,25.4,12.7,80,35,4.61, 
SYDNEY AIRPORT AMO,05/08/2011,4.0,0.0,5.4,25.2,11.0,86,20,4.02,12.74
SYDNEY AIRPORT AMO,06/08/2011,3.6,0.0,5.8,24.5,10.8,81,32,3.99,10.21
SYDNEY AIRPORT AMO,07/08/2011,2.6,0.0,5.0,20.5,14.3,83,51,4.31,7.22
SYDNEY AIRPORT AMO,08/08/2011,2.7,2.8,2.0,17.4,8.5,95,37,4.69,11.62
SYDNEY AIRPORT AMO,09/08/2011,2.8,0.2,3.8,16.9,7.1,77,38,4.57,7.94
SYDNEY AIRPORT AMO,10/08/2011,3.7,0.0,0.8,19.1,5.7,80,28,5.29,13.11
SYDNEY AIRPORT AMO,11/08/2011,2.2,0.0, ,16.2,5.6,83,52,4.12,9.76
SYDNEY AIRPORT AMO,12/08/2011,1.7,9.4,6.2,15.2,11.3,95,73,7.11,9.36
SYDNEY AIRPORT AMO,13/08/2011,2.5,1.6,1.2,18.4,7.9,89,43,3.54,12.05
SYDNEY AIRPORT AMO,14/08/2011,1.6,3.2,2.2,15.3,11.6,96,69,3.55,9.96
SYDNEY AIRPORT AMO,15/08/2011,1.9,0.2,1.6,17.1,9.3,95,59,3.08,10.63
SYDNEY AIRPORT AMO,16/08/2011,2.2,0.2,2.4,17.9,10.4,92,51,3.10,12.62
SYDNEY AIRPORT AMO,17/08/2011,1.7,3.8,2.0,17.7,10.1,97,69,5.44,5.55
SYDNEY AIRPORT AMO,18/08/2011,3.9,6.8,2.2,18.4,11.2,92,28,7.25,14.54
SYDNEY AIRPORT AMO,19/08/2011,2.2,0.6,4.2,17.2,8.2,93,67,10.86,5.79
SYDNEY AIRPORT AMO,20/08/2011,3.5,13.0,3.8,18.4,9.2,94,47,9.32,15.15
SYDNEY AIRPORT AMO,21/08/2011,3.4,0.0,6.0,17.7,13.2,83,46,7.78,10.29
SYDNEY AIRPORT AMO,22/08/2011,2.9,0.0,4.2,17.5,12.0,86,52,6.07,13.14
SYDNEY AIRPORT AMO,23/08/2011,1.8,0.0,2.8,16.8,12.5,93,70,3.29,10.30
SYDNEY AIRPORT AMO,24/08/2011,2.8,0.6,1.4,19.9,10.0,95,49,3.79,15.45
SYDNEY AIRPORT AMO,25/08/2011,3.2,0.2,4.0,21.6,9.4,92,43,3.75,17.27
SYDNEY AIRPORT AMO,26/08/2011,2.6,0.0,4.0,19.4,10.4,94,60,3.96,16.42
SYDNEY AIRPORT AMO,27/08/2011,2.1,0.0,3.4,20.1,10.9,100,56,3.23,8.89
SYDNEY AIRPORT AMO,28/08/2011,2.8,0.0,0.8,19.6,10.8,90,58,4.77,14.80
SYDNEY AIRPORT AMO,29/08/2011,3.7,0.0,3.6,21.9,10.4,92,30,3.76,16.84
SYDNEY AIRPORT AMO,30/08/2011,2.6,0.0,3.6,17.4,14.0,88,62,5.35,13.76
SYDNEY AIRPORT AMO,31/08/2011,2.6,0.0,2.4,18.8,11.9,90,60,3.56,15.54
Totals:,,82.5,42.6,93.8,,,,,, 
