'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for January 2012,,,,,,,,,,
Issued at 22:33 GMT on Wednesday 01 February 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/01/2012,7.4,0.0,5.6,27.6,17.0,76,37,5.16,33.21
SYDNEY AIRPORT AMO,02/01/2012,7.8,0.0,10.2,28.5,18.7,83,37,6.88,32.01
SYDNEY AIRPORT AMO,03/01/2012,8.3,0.0,7.2,29.0,21.1,75,42,8.20,31.44
SYDNEY AIRPORT AMO,04/01/2012,7.5,0.0,13.4,34.1,20.8,87,42,6.46,23.62
SYDNEY AIRPORT AMO,05/01/2012,5.0,0.0,9.0,26.1,20.4,93,55,5.33,21.18
SYDNEY AIRPORT AMO,06/01/2012,4.3,4.8,6.6,21.9,18.5,93,53,9.00,16.12
SYDNEY AIRPORT AMO,07/01/2012,6.8,0.0,7.2,26.5,15.4,81,41,5.48,31.59
SYDNEY AIRPORT AMO,08/01/2012,3.7,0.0,8.8,28.0,21.1,95,59,4.64,12.04
SYDNEY AIRPORT AMO,09/01/2012,6.1,7.8,3.0,26.2,20.8,95,57,5.21,31.90
SYDNEY AIRPORT AMO,10/01/2012,7.7,0.2,9.0,28.6,19.0,82,24,4.81,30.78
SYDNEY AIRPORT AMO,11/01/2012,10.1,0.0,8.6,29.3,19.8,73,13,8.75,31.31
SYDNEY AIRPORT AMO,12/01/2012,6.8,0.0,13.2,21.3,13.9,60,37,6.78,32.21
SYDNEY AIRPORT AMO,13/01/2012,7.6,0.0,7.8,27.1,14.4,68,32,5.94,31.67
SYDNEY AIRPORT AMO,14/01/2012,3.0,0.8,9.4,22.7,17.8,93,59,5.97,7.56
SYDNEY AIRPORT AMO,15/01/2012,3.9,31.6,11.0,24.2,17.4,91,59,6.03,13.75
SYDNEY AIRPORT AMO,16/01/2012,4.6,7.4,3.4,24.9,17.9,88,63,5.85,20.78
SYDNEY AIRPORT AMO,17/01/2012,6.8,2.4,6.0,26.9,19.5,78,49,5.60,30.65
SYDNEY AIRPORT AMO,18/01/2012,6.0,0.2,7.2,29.3,20.6,87,53,4.05,26.16
SYDNEY AIRPORT AMO,19/01/2012,5.2,0.0,7.8,24.9,21.3,92,67,5.49,27.49
SYDNEY AIRPORT AMO,20/01/2012,5.4,0.0,7.0,26.4,20.9,82,56,4.60,23.50
SYDNEY AIRPORT AMO,21/01/2012,3.2,0.0,4.8,25.5,22.2,92,62,4.03,10.40
SYDNEY AIRPORT AMO,22/01/2012,6.7,7.4,4.6,26.4,20.9,79,42,8.44,21.51
SYDNEY AIRPORT AMO,23/01/2012,6.3,0.0,9.8,25.6,19.9,81,46,7.44,24.64
SYDNEY AIRPORT AMO,24/01/2012,3.3,0.0,7.6,24.3,19.5,95,60,4.50,12.07
SYDNEY AIRPORT AMO,25/01/2012,2.2,4.2, ,26.0,21.3,95,70,3.12,6.75
SYDNEY AIRPORT AMO,26/01/2012,4.2,32.0,7.8,27.7,20.8,95,61,4.19,16.81
SYDNEY AIRPORT AMO,27/01/2012,3.9,3.0,2.8,25.9,21.1,92,62,6.64,13.22
SYDNEY AIRPORT AMO,28/01/2012,5.1,0.2,6.2,27.0,20.8,78,63,5.43,20.51
SYDNEY AIRPORT AMO,29/01/2012,6.6,0.0,6.6,28.9,20.8,87,49,7.78,25.00
SYDNEY AIRPORT AMO,30/01/2012,8.4,1.6,8.8,34.6,22.0,92,42,8.81,25.52
SYDNEY AIRPORT AMO,31/01/2012,4.9,0.0,11.2,27.4,24.8,86,52,7.15,12.51
Totals:,,178.8,103.6,231.6,,,,,, 
