'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for May 2012,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 June 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/05/2012,3.1,0.0,2.4,23.0,12.9,80,48,4.04,13.07
SYDNEY AIRPORT AMO,02/05/2012,3.4,0.0,3.6,25.5,12.4,88,42,3.93,13.52
SYDNEY AIRPORT AMO,03/05/2012,2.9,0.0,3.0,20.7,15.5,89,45,3.99,13.42
SYDNEY AIRPORT AMO,04/05/2012,3.5,0.0,5.0,21.1,11.6,74,31,4.06,13.68
SYDNEY AIRPORT AMO,05/05/2012,2.8,0.0,3.0,18.9,11.4,76,59,6.53,10.12
SYDNEY AIRPORT AMO,06/05/2012,3.6,0.0,4.2,21.8,10.1,74,28,4.05,13.68
SYDNEY AIRPORT AMO,07/05/2012,2.9,0.0,3.0,19.0,10.8,67,39,4.16,5.61
SYDNEY AIRPORT AMO,08/05/2012,3.1,0.0,1.2,22.0,10.5,74,34,3.33,12.35
SYDNEY AIRPORT AMO,09/05/2012,3.6,0.0,3.0,26.9,11.6,82,26,3.13,12.21
SYDNEY AIRPORT AMO,10/05/2012,3.6,0.0,3.8,27.5,14.3,87,32,3.53,11.84
SYDNEY AIRPORT AMO,11/05/2012,3.4,0.0,4.0,27.3,13.9,86,32,3.46,8.93
SYDNEY AIRPORT AMO,12/05/2012,4.3,0.0,2.6,20.4,14.4,65,24,5.86,10.47
SYDNEY AIRPORT AMO,13/05/2012,4.4,0.0,5.4,18.1,10.1,59,34,8.37,11.71
SYDNEY AIRPORT AMO,14/05/2012,3.5,0.0,4.6,16.5,9.2,62,43,7.13,11.56
SYDNEY AIRPORT AMO,15/05/2012,2.8,0.0,3.2,18.2,8.6,72,46,4.94,11.48
SYDNEY AIRPORT AMO,16/05/2012,2.4,0.0,3.8,18.6,10.1,81,53,4.35,10.93
SYDNEY AIRPORT AMO,17/05/2012,2.5,0.0,2.0,21.3,9.8,87,40,3.17,11.14
SYDNEY AIRPORT AMO,18/05/2012,3.0,0.0,1.8,22.8,10.4,89,28,3.36,11.14
SYDNEY AIRPORT AMO,19/05/2012,3.0,0.0,3.8,22.2,10.2,83,29,3.56,10.82
SYDNEY AIRPORT AMO,20/05/2012,1.5,0.0,3.0,16.0,9.8,94,67,4.14,6.01
SYDNEY AIRPORT AMO,21/05/2012,2.4,11.2,0.4,21.4,11.7,90,47,3.37,10.73
SYDNEY AIRPORT AMO,22/05/2012,2.9,0.0,3.0,21.4,9.4,92,29,3.88,10.76
SYDNEY AIRPORT AMO,23/05/2012,3.4,0.0,4.0,22.9,8.7,74,23,3.62,10.67
SYDNEY AIRPORT AMO,24/05/2012,1.8,0.0,4.0,17.3,8.8,96,47,3.30,3.53
SYDNEY AIRPORT AMO,25/05/2012,3.7,9.8,1.0,19.6,12.3,96,25,7.32,5.81
SYDNEY AIRPORT AMO,26/05/2012,4.4,0.0,6.0,17.8,10.2,56,30,7.86,10.19
SYDNEY AIRPORT AMO,27/05/2012,3.0,0.0,3.4,17.1,10.4,71,46,6.29,10.34
SYDNEY AIRPORT AMO,28/05/2012,2.3,0.0,2.6,16.8,9.5,95,51,6.53,10.23
SYDNEY AIRPORT AMO,29/05/2012,1.4,7.2,3.0,16.6,11.6,94,72,4.59,6.20
SYDNEY AIRPORT AMO,30/05/2012,1.9,0.6,1.0,17.3,9.7,91,53,3.89,9.33
SYDNEY AIRPORT AMO,31/05/2012,1.7,0.0,3.2,17.5,13.8,88,63,3.82,7.36
Totals:,,92.2,28.8,98,,,,,, 
