'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for August 2012,,,,,,,,,,
Issued at 22:38 GMT on Saturday 01 September 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/08/2012,2.7,0.0,2.4,14.3,6.9,79,47,7.05,12.17
SYDNEY AIRPORT AMO,02/08/2012,2.8,0.2,4.2,15.2,6.3,70,43,5.25,12.11
SYDNEY AIRPORT AMO,03/08/2012,3.1,0.0,3.6,19.2,6.5,81,26,3.80,11.87
SYDNEY AIRPORT AMO,04/08/2012,3.8,0.0,2.4,21.0,6.3,69,20,4.26,12.72
SYDNEY AIRPORT AMO,05/08/2012,4.3,0.0,1.6,22.6,6.5,73,20,4.91,11.02
SYDNEY AIRPORT AMO,06/08/2012,4.1,0.0,7.2,18.2,8.8,67,21,5.77,13.18
SYDNEY AIRPORT AMO,07/08/2012,3.7,0.0,3.2,19.0,6.5,66,21,4.49,13.29
SYDNEY AIRPORT AMO,08/08/2012,3.8,0.0,3.6,22.1,5.7,78,16,3.66,13.39
SYDNEY AIRPORT AMO,09/08/2012,4.9,0.0,3.4,20.0,10.3,63,16,6.57,11.98
SYDNEY AIRPORT AMO,10/08/2012,3.6,0.0,5.0,14.3,6.6,78,41,13.19,7.61
SYDNEY AIRPORT AMO,11/08/2012,2.9,2.8,5.9,14.6,10.0,90,52,13.32,6.99
SYDNEY AIRPORT AMO,12/08/2012,2.3,3.6,4.2,14.0,11.2,95,60,10.27,9.78
SYDNEY AIRPORT AMO,13/08/2012,2.6,0.0,3.0,17.1,9.4,83,49,4.28,13.70
SYDNEY AIRPORT AMO,14/08/2012,3.2,0.0,2.8,20.1,6.9,85,27,3.60,11.73
SYDNEY AIRPORT AMO,15/08/2012,3.7,0.0,4.6,22.1,8.1,79,24,3.87,12.32
SYDNEY AIRPORT AMO,16/08/2012,4.1,0.0,2.0,19.8,10.8,58,26,4.59,14.37
SYDNEY AIRPORT AMO,17/08/2012,6.3,0.0,5.8,22.6,8.8,65,13,8.43,11.64
SYDNEY AIRPORT AMO,18/08/2012,5.3,0.0,6.6,19.1,10.1,53,29,8.68,14.38
SYDNEY AIRPORT AMO,19/08/2012,3.4,0.0,6.0,17.9,9.1,71,36,4.56,14.74
SYDNEY AIRPORT AMO,20/08/2012,3.6,0.0,3.2,19.7,6.6,78,26,4.17,15.20
SYDNEY AIRPORT AMO,21/08/2012,4.3,0.0,2.6,22.3,8.7,83,20,4.71,15.27
SYDNEY AIRPORT AMO,22/08/2012,4.9,0.0,3.8,25.1,10.4,76,28,5.45,14.38
SYDNEY AIRPORT AMO,23/08/2012,7.6,0.0,6.4,30.0,14.9,88,16,8.75,11.99
SYDNEY AIRPORT AMO,24/08/2012,4.8,6.0,7.8,20.5,12.2,100,18,7.93,15.86
SYDNEY AIRPORT AMO,25/08/2012,4.1,0.0,6.4,20.2,9.2,66,23,4.37,16.06
SYDNEY AIRPORT AMO,26/08/2012,3.8,0.0,4.4,18.9,8.5,57,32,4.17,15.60
SYDNEY AIRPORT AMO,27/08/2012,3.7,0.0,3.8,20.3,7.8,72,35,4.47,15.66
SYDNEY AIRPORT AMO,28/08/2012,3.5,0.0,4.0,20.5,8.4,87,39,4.62,15.97
SYDNEY AIRPORT AMO,29/08/2012,4.2,0.0,4.2,23.4,9.1,100,26,5.47,11.37
SYDNEY AIRPORT AMO,30/08/2012,5.2,0.0,5.0,23.3,12.0,100,16,6.54,16.09
SYDNEY AIRPORT AMO,31/08/2012,4.9,0.0,6.2,19.3,9.2,86,19,7.75,15.23
Totals:,,125.2,12.6,135.3,,,,,, 
