'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for September 2012,,,,,,,,,,
Issued at 22:38 GMT on Monday 01 October 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/09/2012,3.8,0.6,5.0,15.7,5.1,73,40,8.23,16.09
SYDNEY AIRPORT AMO,02/09/2012,3.8,0.8,3.8,20.2,7.2,81,24,3.66,17.79
SYDNEY AIRPORT AMO,03/09/2012,3.6,0.0,3.4,19.7,7.6,82,31,3.62,17.83
SYDNEY AIRPORT AMO,04/09/2012,4.1,0.0,4.0,22.8,9.3,100,22,3.82,17.87
SYDNEY AIRPORT AMO,05/09/2012,8.2,0.0,5.2,29.0,9.5,68,7,7.40,18.21
SYDNEY AIRPORT AMO,06/09/2012,9.5,0.0,13.4,28.6,18.7,40,6,8.46,18.27
SYDNEY AIRPORT AMO,07/09/2012,7.7,0.0,10.8,22.9,16.1,32,15,8.60,13.03
SYDNEY AIRPORT AMO,08/09/2012,6.3,0.0,6.6,21.1,11.9,48,26,8.39,18.89
SYDNEY AIRPORT AMO,09/09/2012,4.4,0.0,5.2,19.7,12.1,62,33,4.86,18.84
SYDNEY AIRPORT AMO,10/09/2012,5.2,0.0,5.2,24.7,9.1,84,26,5.25,19.00
SYDNEY AIRPORT AMO,11/09/2012,3.1,0.0,5.4,19.1,12.9,88,63,5.93,17.68
SYDNEY AIRPORT AMO,12/09/2012,3.8,0.0,3.8,22.9,10.8,90,50,5.15,18.30
SYDNEY AIRPORT AMO,13/09/2012,4.7,0.0,5.6,24.2,12.5,91,30,6.72,8.85
SYDNEY AIRPORT AMO,14/09/2012,3.9,2.0,3.0,17.2,7.1,73,34,4.77,19.78
SYDNEY AIRPORT AMO,15/09/2012,3.4,0.0,5.2,17.3,9.8,79,54,5.28,19.49
SYDNEY AIRPORT AMO,16/09/2012,4.5,0.0,3.2,21.9,10.4,84,34,4.89,20.12
SYDNEY AIRPORT AMO,17/09/2012,3.0,0.0,5.4,19.7,14.5,89,69,7.06,16.25
SYDNEY AIRPORT AMO,18/09/2012,3.8,0.0,3.6,22.2,12.8,89,46,4.44,17.27
SYDNEY AIRPORT AMO,19/09/2012,4.2,2.8,3.8,23.0,10.9,91,35,4.04,18.70
SYDNEY AIRPORT AMO,20/09/2012,4.2,0.2,6.0,22.4,11.4,84,44,4.34,20.46
SYDNEY AIRPORT AMO,21/09/2012,4.0,0.0,4.4,25.8,14.2,88,37,3.90,11.72
SYDNEY AIRPORT AMO,22/09/2012,4.1,1.4,4.8,20.8,12.3,87,43,4.35,21.05
SYDNEY AIRPORT AMO,23/09/2012,5.2,0.0,4.4,25.3,10.7,84,32,4.70,21.57
SYDNEY AIRPORT AMO,24/09/2012,6.4,0.0,8.2,24.4,13.4,86,13,6.29,22.01
SYDNEY AIRPORT AMO,25/09/2012,3.9,0.4,3.2,20.0,12.8,78,40,4.99,14.60
SYDNEY AIRPORT AMO,26/09/2012,4.8,0.2,4.2,22.3,15.4,76,46,6.37,19.25
SYDNEY AIRPORT AMO,27/09/2012,4.9,0.0,6.8,25.1,14.0,78,42,5.60,17.05
SYDNEY AIRPORT AMO,28/09/2012,8.5,0.0,6.4,34.1,18.3,92,18,7.60,17.43
SYDNEY AIRPORT AMO,29/09/2012,6.5,11.6,9.2,23.6,17.3,89,18,8.95,18.82
SYDNEY AIRPORT AMO,30/09/2012,6.0,0.0,8.4,21.2,9.5,51,16,5.54,22.94
Totals:,,149.5,20,167.6,,,,,, 
