'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for October 2012,,,,,,,,,,
Issued at 22:38 GMT on Thursday 01 November 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/10/2012,4.2,0.0,6.8,20.1,9.3,69,44,4.28,20.71
SYDNEY AIRPORT AMO,02/10/2012,4.2,1.4,5.0,20.0,12.2,89,41,4.40,22.38
SYDNEY AIRPORT AMO,03/10/2012,7.1,0.0,5.8,30.9,11.3,89,13,4.55,23.69
SYDNEY AIRPORT AMO,04/10/2012,8.1,0.0,7.2,33.6,14.5,83,10,4.91,23.76
SYDNEY AIRPORT AMO,05/10/2012,10.3,0.0,10.8,35.6,18.8,81,7,7.15,23.91
SYDNEY AIRPORT AMO,06/10/2012,2.3,0.0,7.6,19.8,15.5,94,64,5.65,6.47
SYDNEY AIRPORT AMO,07/10/2012,5.2,1.6,3.2,18.4,12.3,93,28,8.90,24.43
SYDNEY AIRPORT AMO,08/10/2012,4.0,0.2,7.8,18.3,13.6,70,46,4.78,17.32
SYDNEY AIRPORT AMO,09/10/2012,3.6,4.0,3.8,18.0,11.8,93,47,4.82,19.34
SYDNEY AIRPORT AMO,10/10/2012,6.1,0.2,5.2,25.1,10.9,83,18,4.68,24.98
SYDNEY AIRPORT AMO,11/10/2012,3.0,7.0,6.8,20.0,13.4,93,46,4.42,9.93
SYDNEY AIRPORT AMO,12/10/2012,3.2,2.8,2.0,15.8,8.4,89,52,9.32,12.08
SYDNEY AIRPORT AMO,13/10/2012,4.2,3.6,4.0,18.3,8.7,83,45,4.98,23.88
SYDNEY AIRPORT AMO,14/10/2012,4.2,0.0,4.8,19.4,12.4,87,45,4.43,22.80
SYDNEY AIRPORT AMO,15/10/2012,6.8,0.0,6.4,27.4,11.5,83,16,4.70,25.84
SYDNEY AIRPORT AMO,16/10/2012,8.5,0.0,7.2,34.7,14.9,70,7,4.47,24.52
SYDNEY AIRPORT AMO,17/10/2012,6.3,0.0,11.4,21.6,19.0,72,23,5.84,25.14
SYDNEY AIRPORT AMO,18/10/2012,5.6,0.0,7.4,23.7,16.5,74,43,6.93,20.98
SYDNEY AIRPORT AMO,19/10/2012,6.3,0.0,6.6,28.8,16.5,80,27,3.79,25.91
SYDNEY AIRPORT AMO,20/10/2012,7.6,0.0,6.8,30.2,16.4,83,30,6.05,27.96
SYDNEY AIRPORT AMO,21/10/2012,7.0,0.0,5.0,28.3,14.7,84,13,5.21,22.14
SYDNEY AIRPORT AMO,22/10/2012,4.4,0.0,6.0,16.9,13.5,88,48,10.36,23.50
SYDNEY AIRPORT AMO,23/10/2012,5.4,1.6,2.0,19.2,11.5,73,36,6.36,26.86
SYDNEY AIRPORT AMO,24/10/2012,6.4,0.0,6.0,24.0,11.6,74,34,6.39,28.59
SYDNEY AIRPORT AMO,25/10/2012,6.9,0.0,8.2,28.9,14.4,84,32,4.87,28.59
SYDNEY AIRPORT AMO,26/10/2012,4.4,0.0,9.0,22.9,17.1,83,56,5.90,18.65
SYDNEY AIRPORT AMO,27/10/2012,6.0,0.0,5.4,19.4,12.9,60,36,6.54,28.56
SYDNEY AIRPORT AMO,28/10/2012,5.0,0.0,9.2,20.2,15.7,65,43,4.90,21.61
SYDNEY AIRPORT AMO,29/10/2012,5.7,0.0,3.6,23.0,12.4,80,39,5.50,27.74
SYDNEY AIRPORT AMO,30/10/2012,6.1,0.0,7.2,24.7,15.2,82,39,5.55,28.66
SYDNEY AIRPORT AMO,31/10/2012,6.8,0.0,7.0,28.9,16.4,89,29,4.11,29.66
Totals:,,174.9,22.4,195.2,,,,,, 
