'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for November 2012,,,,,,,,,,
Issued at 22:38 GMT on Saturday 01 December 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/11/2012,8.8,0.0,8.0,34.2,17.5,86,14,6.42,19.81
SYDNEY AIRPORT AMO,02/11/2012,5.9,0.0,10.8,19.1,16.0,74,42,7.89,29.71
SYDNEY AIRPORT AMO,03/11/2012,3.4,6.2,5.6,18.4,13.3,94,56,3.85,18.40
SYDNEY AIRPORT AMO,04/11/2012,4.9,0.4,2.6,23.8,14.3,94,57,5.53,26.90
SYDNEY AIRPORT AMO,05/11/2012,6.2,0.0,5.2,27.0,17.3,87,50,5.96,29.10
SYDNEY AIRPORT AMO,06/11/2012,7.1,0.0,9.0,28.2,20.2,81,47,7.94,27.80
SYDNEY AIRPORT AMO,07/11/2012,4.1,0.0,8.6,25.5,19.3,90,63,4.44,18.38
SYDNEY AIRPORT AMO,08/11/2012,5.3,0.0,3.8,25.5,19.8,93,54,4.13,26.72
SYDNEY AIRPORT AMO,09/11/2012,5.6,7.2,4.2,27.0,18.6,95,50,5.12,25.75
SYDNEY AIRPORT AMO,10/11/2012,5.4,4.6,7.4,19.9,17.1,71,52,7.94,24.40
SYDNEY AIRPORT AMO,11/11/2012,6.4,0.0,9.6,21.7,14.9,63,33,5.07,30.98
SYDNEY AIRPORT AMO,12/11/2012,7.0,0.0,6.0,25.2,12.9,78,31,6.26,30.72
SYDNEY AIRPORT AMO,13/11/2012,5.0,0.0,9.8,20.5,17.1,91,59,8.47,29.54
SYDNEY AIRPORT AMO,14/11/2012,3.9,2.4,8.0,22.0,15.5,90,64,4.51,20.66
SYDNEY AIRPORT AMO,15/11/2012,5.5,0.4,4.2,26.5,16.1,89,54,4.32,27.22
SYDNEY AIRPORT AMO,16/11/2012,2.6,1.2,5.0,17.9,16.4,94,76,6.21,14.60
SYDNEY AIRPORT AMO,17/11/2012,5.2,5.6,2.4,21.4,14.9,83,46,4.96,26.96
SYDNEY AIRPORT AMO,18/11/2012,6.5,0.0,6.0,25.1,15.5,82,45,7.77,29.09
SYDNEY AIRPORT AMO,19/11/2012,5.1,0.0,8.4,19.0,13.0,87,39,7.32,25.67
SYDNEY AIRPORT AMO,20/11/2012,5.3,2.8,7.0,22.5,15.5,90,50,7.03,26.13
SYDNEY AIRPORT AMO,21/11/2012,6.6,0.2,5.2,25.5,13.7,84,40,7.02,29.45
SYDNEY AIRPORT AMO,22/11/2012,4.5,0.0,9.0,19.9,17.2,84,58,9.24,21.17
SYDNEY AIRPORT AMO,23/11/2012,5.3,0.0,5.4,22.0,15.8,79,49,4.10,27.23
SYDNEY AIRPORT AMO,24/11/2012,6.5,0.0,5.2,26.7,17.0,84,47,5.23,31.02
SYDNEY AIRPORT AMO,25/11/2012,7.6,0.0,7.8,33.1,19.6,95,37,3.95,32.12
SYDNEY AIRPORT AMO,26/11/2012,4.7,0.0,9.4,25.0,20.1,96,70,5.10,25.18
SYDNEY AIRPORT AMO,27/11/2012,4.1,0.2,4.4,23.9,19.4,94,70,4.67,20.97
SYDNEY AIRPORT AMO,28/11/2012,3.6,8.6,3.2,23.4,18.6,93,75,3.91,18.77
SYDNEY AIRPORT AMO,29/11/2012,6.7,0.0,2.4,29.4,20.0,91,51,5.79,29.32
SYDNEY AIRPORT AMO,30/11/2012,7.0,0.0,7.0,32.8,21.8,87,52,6.37,25.82
Totals:,,165.8,39.8,190.6,,,,,, 
