'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for December 2012,,,,,,,,,,
Issued at 22:37 GMT on Tuesday 01 January 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/12/2012,7.5,0.8,7.4,36.2,23.5,91,38,3.85,26.48
SYDNEY AIRPORT AMO,02/12/2012,5.1,0.0,8.4,22.8,19.9,89,57,7.36,24.22
SYDNEY AIRPORT AMO,03/12/2012,3.4,1.0,7.4,22.9,17.7,97,76,3.94,19.09
SYDNEY AIRPORT AMO,04/12/2012,9.6,0.6,0.6,30.3,17.4,96,7,6.99,33.27
SYDNEY AIRPORT AMO,05/12/2012,8.7,0.0,11.4,26.1,15.5,77,15,7.89,32.70
SYDNEY AIRPORT AMO,06/12/2012,6.4,0.0,9.8,22.1,14.4,72,37,4.99,33.12
SYDNEY AIRPORT AMO,07/12/2012,5.3,0.0,7.8,23.9,17.2,81,46,4.31,24.03
SYDNEY AIRPORT AMO,08/12/2012,6.7,0.0,5.6,28.4,18.5,87,55,6.01,31.56
SYDNEY AIRPORT AMO,09/12/2012,5.4,0.0,6.4,24.3,20.3,90,67,10.88,28.85
SYDNEY AIRPORT AMO,10/12/2012,4.7,0.0,7.6,20.5,16.1,90,55,10.41,21.89
SYDNEY AIRPORT AMO,11/12/2012,4.1,0.0,8.0,20.5,16.4,93,67,9.66,24.30
SYDNEY AIRPORT AMO,12/12/2012,6.6,2.0,3.2,26.2,17.5,95,43,5.31,32.50
SYDNEY AIRPORT AMO,13/12/2012,8.1,0.2,8.0,28.4,17.3,81,31,6.24,33.78
SYDNEY AIRPORT AMO,14/12/2012,6.5,0.0,9.8,27.9,18.9,77,43,6.25,23.15
SYDNEY AIRPORT AMO,15/12/2012,5.3,0.0,6.4,28.2,20.1,81,45,4.16,18.90
SYDNEY AIRPORT AMO,16/12/2012,9.6,0.0,6.8,34.1,20.5,86,26,7.83,27.61
SYDNEY AIRPORT AMO,17/12/2012,5.7,0.0,10.2,23.7,19.0,77,50,6.73,23.08
SYDNEY AIRPORT AMO,18/12/2012,6.6,0.0,6.0,26.9,18.0,88,49,4.04,33.29
SYDNEY AIRPORT AMO,19/12/2012,7.7,0.0,7.6,32.9,20.6,89,51,7.43,29.41
SYDNEY AIRPORT AMO,20/12/2012,10.2,0.0,9.8,34.6,22.5,88,16,7.85,26.27
SYDNEY AIRPORT AMO,21/12/2012,6.1,0.0,9.6,24.6,19.6,81,48,5.08,27.90
SYDNEY AIRPORT AMO,22/12/2012,6.0,0.0,6.4,28.0,20.0,87,52,5.46,25.50
SYDNEY AIRPORT AMO,23/12/2012,8.0,0.2,5.8,31.6,21.6,91,46,7.48,31.77
SYDNEY AIRPORT AMO,24/12/2012,7.5,0.0,8.8,31.6,21.7,91,47,6.92,29.05
SYDNEY AIRPORT AMO,25/12/2012,3.3,4.2,10.0,20.7,19.1,95,71,8.82,16.24
SYDNEY AIRPORT AMO,26/12/2012,5.9,17.0,5.8,22.3,16.5,76,50,8.79,25.82
SYDNEY AIRPORT AMO,27/12/2012,6.6,0.0,7.4,24.7,15.3,74,42,5.02,32.35
SYDNEY AIRPORT AMO,28/12/2012,8.7,0.0,5.4,31.3,17.9,78,41,7.84,33.31
SYDNEY AIRPORT AMO,29/12/2012,6.4,0.0,11.6,24.5,18.4,74,49,5.48,30.54
SYDNEY AIRPORT AMO,30/12/2012,5.3,0.0,7.2,24.8,18.4,85,58,4.42,26.23
SYDNEY AIRPORT AMO,31/12/2012,8.0,0.0,5.7,29.3,18.5,77,45,7.04,33.86
Totals:,,205,26,231.9,,,,,, 
