'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for January 2013,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 February 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/01/2013,6.4,0.0,11.0,27.1,20.2,92,58,5.09,32.90
SYDNEY AIRPORT AMO,02/01/2013,4.0,0.0,7.4,23.4,20.2,91,58,7.46,13.64
SYDNEY AIRPORT AMO,03/01/2013,6.2,0.0,5.6,25.5,17.7,70,46,4.89,26.92
SYDNEY AIRPORT AMO,04/01/2013,7.4,0.0,9.0,28.4,19.3,79,47,6.76,31.27
SYDNEY AIRPORT AMO,05/01/2013,8.2,0.0,9.6,30.9,21.1,79,43,7.25,31.27
SYDNEY AIRPORT AMO,06/01/2013,7.3,0.0,11.6,30.3,20.6,89,42,5.09,30.59
SYDNEY AIRPORT AMO,07/01/2013,6.4,0.0,8.0,28.0,21.3,89,56,7.14,28.28
SYDNEY AIRPORT AMO,08/01/2013,12.1,0.0,9.8,42.5,20.8,79,11,6.64,22.77
SYDNEY AIRPORT AMO,09/01/2013,7.5,0.0,18.4,23.5,20.2,81,19,8.58,25.68
SYDNEY AIRPORT AMO,10/01/2013,5.0,0.0,8.4,26.1,19.7,70,47,6.04,11.50
SYDNEY AIRPORT AMO,11/01/2013,7.3,0.0,6.2,31.9,20.5,81,47,5.14,28.81
SYDNEY AIRPORT AMO,12/01/2013,6.0,0.0,9.6,31.4,22.9,83,39,5.86,13.49
SYDNEY AIRPORT AMO,13/01/2013,2.6,0.0,6.2,23.9,20.2,95,66,6.08,6.40
SYDNEY AIRPORT AMO,14/01/2013,5.5,9.2,2.0,22.1,17.3,90,52,8.98,28.48
SYDNEY AIRPORT AMO,15/01/2013,6.5,0.2,9.8,25.4,18.1,68,45,5.74,27.53
SYDNEY AIRPORT AMO,16/01/2013,6.4,0.0,6.6,28.5,18.5,90,45,4.61,28.58
SYDNEY AIRPORT AMO,17/01/2013,6.9,0.0,8.2,30.1,21.1,90,49,6.23,28.25
SYDNEY AIRPORT AMO,18/01/2013,13.7,0.0,9.0,46.4,22.7,88,12,7.12,24.71
SYDNEY AIRPORT AMO,19/01/2013,3.9,1.2,12.6,23.4,21.2,81,64,7.25,11.57
SYDNEY AIRPORT AMO,20/01/2013,3.3,0.2,5.0,24.2,19.8,96,53,4.89,9.70
SYDNEY AIRPORT AMO,21/01/2013,5.2,1.0,4.2,28.3,18.9,91,48,5.08,18.43
SYDNEY AIRPORT AMO,22/01/2013,6.4,0.0,7.4,32.2,21.5,89,46,6.19,19.89
SYDNEY AIRPORT AMO,23/01/2013,4.0,0.2,6.2,23.3,20.8,89,69,10.00,16.94
SYDNEY AIRPORT AMO,24/01/2013,5.8,0.0,7.2,27.5,20.6,88,63,6.09,28.04
SYDNEY AIRPORT AMO,25/01/2013,6.9,0.2,4.6,31.2,21.6,90,51,6.02,28.26
SYDNEY AIRPORT AMO,26/01/2013,6.4,0.0,11.4,31.1,23.8,87,57,8.05,22.47
SYDNEY AIRPORT AMO,27/01/2013,1.8,13.0,8.2,23.4,20.2,95,76,4.45,4.53
SYDNEY AIRPORT AMO,28/01/2013,1.6,15.0,2.2,24.1,20.7,95,83,7.29,3.03
SYDNEY AIRPORT AMO,29/01/2013,4.0,97.2, ,26.3,19.4,96,68,7.74,16.69
SYDNEY AIRPORT AMO,30/01/2013,5.7,0.6,5.6,26.6,20.2,82,53,5.00,24.66
SYDNEY AIRPORT AMO,31/01/2013,6.6,0.0,5.6,30.5,21.1,88,53,6.81,26.63
Totals:,,187,138,236.6,,,,,, 
