'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for July 2013,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 August 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/07/2013,1.7,6.8,0.8,18.7,8.7,93,53,3.02,11.77
SYDNEY AIRPORT AMO,02/07/2013,2.5,0.2,2.2,20.1,8.7,81,38,3.51,12.19
SYDNEY AIRPORT AMO,03/07/2013,2.5,0.0,2.2,19.7,8.1,81,42,3.79,12.66
SYDNEY AIRPORT AMO,04/07/2013,3.3,0.0,2.6,24.2,7.2,92,27,3.98,12.70
SYDNEY AIRPORT AMO,05/07/2013,4.7,0.0,4.0,20.8,12.8,68,16,6.55,11.66
SYDNEY AIRPORT AMO,06/07/2013,3.8,0.0,4.2,18.5,7.4,60,24,5.57,12.89
SYDNEY AIRPORT AMO,07/07/2013,2.8,0.0,4.0,19.1,5.2,70,32,3.89,12.54
SYDNEY AIRPORT AMO,08/07/2013,2.7,0.0,2.2,18.6,6.5,79,35,4.20,12.07
SYDNEY AIRPORT AMO,09/07/2013,1.5,2.0,3.0,13.7,9.3,89,66,5.25,6.07
SYDNEY AIRPORT AMO,10/07/2013,1.3,9.4,1.2,15.6,8.9,95,67,3.09,9.53
SYDNEY AIRPORT AMO,11/07/2013,1.6,0.0,1.2,17.3,8.0,93,58,2.89,12.04
SYDNEY AIRPORT AMO,12/07/2013,2.3,0.0,1.2,20.8,8.2,95,42,3.24,12.75
SYDNEY AIRPORT AMO,13/07/2013,1.7,0.0,3.0,17.8,7.9,88,51,2.68,10.17
SYDNEY AIRPORT AMO,14/07/2013,2.1,0.0,1.0,19.4,8.3,89,49,3.48,11.71
SYDNEY AIRPORT AMO,15/07/2013,2.2,0.4,3.6,21.5,12.3,89,47,3.13,8.42
SYDNEY AIRPORT AMO,16/07/2013,1.9,0.4,0.2,21.6,13.8,91,60,2.92,10.00
SYDNEY AIRPORT AMO,17/07/2013,2.1,1.2,1.8,22.4,12.7,94,55,3.18,10.61
SYDNEY AIRPORT AMO,18/07/2013,2.7,0.0,2.4,23.3,12.8,88,45,3.78,10.45
SYDNEY AIRPORT AMO,19/07/2013,3.2,0.0,3.2,22.3,14.7,84,47,6.45,5.22
SYDNEY AIRPORT AMO,20/07/2013,4.5,1.0,2.4,22.0,12.9,81,21,6.48,13.55
SYDNEY AIRPORT AMO,21/07/2013,4.6,0.2,6.4,17.1,8.5,47,18,6.71,14.34
SYDNEY AIRPORT AMO,22/07/2013,3.8,0.0,3.8,18.5,6.8,65,18,4.79,14.31
SYDNEY AIRPORT AMO,23/07/2013,3.6,0.0,3.2,17.5,7.1,61,33,6.02,12.37
SYDNEY AIRPORT AMO,24/07/2013,3.3,0.0,4.0,16.1,10.4,66,51,8.20,11.30
SYDNEY AIRPORT AMO,25/07/2013,3.0,0.0,3.0,19.3,7.1,78,29,3.60,14.60
SYDNEY AIRPORT AMO,26/07/2013,3.3,0.0,3.4,20.9,7.8,83,25,3.80,14.83
SYDNEY AIRPORT AMO,27/07/2013,2.8,0.0,1.8,19.8,6.9,85,40,3.87,14.76
SYDNEY AIRPORT AMO,28/07/2013,2.6,0.0,3.6,20.1,7.9,89,47,4.04,13.83
SYDNEY AIRPORT AMO,29/07/2013,3.5,0.0,2.6,23.5,10.2,82,33,4.01,14.72
SYDNEY AIRPORT AMO,30/07/2013,2.6,0.0,3.4,20.1,10.8,92,45,4.37,9.43
SYDNEY AIRPORT AMO,31/07/2013,2.1,10.8,2.6,16.0,12.6,92,67,7.66,13.88
Totals:,,86.3,32.4,84.2,,,,,, 
