'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for October 2013,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 November 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/10/2013,9.9,0.0,8.6,33.6,17.2,74,12,8.84,16.14
SYDNEY AIRPORT AMO,02/10/2013,7.9,0.0,9.8,27.8,12.3,65,13,5.61,28.50
SYDNEY AIRPORT AMO,03/10/2013,5.0,0.0,10.0,17.8,14.8,75,29,8.19,16.23
SYDNEY AIRPORT AMO,04/10/2013,5.2,1.0,3.8,18.8,9.8,66,38,5.31,28.42
SYDNEY AIRPORT AMO,05/10/2013,6.6,0.0,5.2,28.6,9.9,80,16,3.72,27.73
SYDNEY AIRPORT AMO,06/10/2013,8.0,0.0,5.6,32.7,13.8,72,8,3.76,29.11
SYDNEY AIRPORT AMO,07/10/2013,5.2,0.0,9.8,19.7,16.0,85,47,8.40,28.18
SYDNEY AIRPORT AMO,08/10/2013,4.5,1.0,5.8,20.0,14.5,81,54,4.22,26.57
SYDNEY AIRPORT AMO,09/10/2013,7.7,0.0,5.0,29.5,11.5,78,14,4.28,30.37
SYDNEY AIRPORT AMO,10/10/2013,12.0,0.0,10.0,37.8,17.1,81,3,7.52,27.26
SYDNEY AIRPORT AMO,11/10/2013,5.7,0.0,13.2,22.2,16.9,83,45,5.97,29.20
SYDNEY AIRPORT AMO,12/10/2013,6.1,0.0,5.8,26.8,14.4,93,45,4.61,30.64
SYDNEY AIRPORT AMO,13/10/2013,12.8,0.0,6.6,36.2,17.6,89,3,9.25,30.61
SYDNEY AIRPORT AMO,14/10/2013,4.7,3.2,15.2,17.7,13.2,84,34,7.17,22.33
SYDNEY AIRPORT AMO,15/10/2013,7.2,0.2,5.8,24.8,9.7,67,14,4.67,31.88
SYDNEY AIRPORT AMO,16/10/2013,8.4,0.0,6.4,28.5,12.0,77,14,5.62,32.15
SYDNEY AIRPORT AMO,17/10/2013,12.8,0.0,11.2,33.9,17.0,49,3,9.76,26.39
SYDNEY AIRPORT AMO,18/10/2013,6.7,0.0,13.4,20.9,13.2,61,22,6.03,30.32
SYDNEY AIRPORT AMO,19/10/2013,6.8,0.0,6.8,23.8,12.6,71,28,5.06,32.13
SYDNEY AIRPORT AMO,20/10/2013,6.7,0.0,7.2,28.3,15.4,83,39,4.41,30.64
SYDNEY AIRPORT AMO,21/10/2013,8.2,0.0,6.2,32.5,16.8,91,26,5.04,30.98
SYDNEY AIRPORT AMO,22/10/2013,3.8,0.0,9.4,27.6,19.1,85,58,5.88,8.39
SYDNEY AIRPORT AMO,23/10/2013,11.0,3.6,2.8,33.7,20.2,91,7,8.92,29.28
SYDNEY AIRPORT AMO,24/10/2013,8.5,0.2,12.4,23.7,16.7,59,10,7.41,30.57
SYDNEY AIRPORT AMO,25/10/2013,7.9,0.0,10.8,25.1,11.4,70,8,5.64,31.73
SYDNEY AIRPORT AMO,26/10/2013,6.3,0.0,8.8,22.1,12.8,70,31,5.81,30.17
SYDNEY AIRPORT AMO,27/10/2013,5.8,0.0,6.0,23.1,14.5,77,35,5.08,27.14
SYDNEY AIRPORT AMO,28/10/2013,4.5,1.2,3.2,23.3,16.1,91,57,4.65,22.81
SYDNEY AIRPORT AMO,29/10/2013,5.0,5.2,4.8,24.3,16.9,95,51,9.63,20.14
SYDNEY AIRPORT AMO,30/10/2013,5.5,0.4,7.4,20.9,13.0,82,46,6.25,30.16
SYDNEY AIRPORT AMO,31/10/2013,6.2,0.2,5.4,24.1,16.4,72,40,5.08,28.72
Totals:,,222.6,16.2,242.4,,,,,, 
