'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for November 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/11/2013,5.1,0.0,8.0,23.2,16.9,81,54,5.39,24.97
SYDNEY AIRPORT AMO,02/11/2013,7.0,0.0,5.6,30.8,16.3,82,22,3.83,26.68
SYDNEY AIRPORT AMO,03/11/2013,11.0,0.0,7.6,34.9,18.6,80,9,8.67,21.79
SYDNEY AIRPORT AMO,04/11/2013,6.7,0.0,11.2,18.4,14.8,62,39,10.89,32.68
SYDNEY AIRPORT AMO,05/11/2013,5.0,0.0,9.8,19.9,13.3,69,49,6.75,22.97
SYDNEY AIRPORT AMO,06/11/2013,6.7,0.0,4.6,23.7,11.9,77,34,5.26,33.70
SYDNEY AIRPORT AMO,07/11/2013,8.0,0.0,8.0,30.3,15.9,83,30,5.14,32.90
SYDNEY AIRPORT AMO,08/11/2013,9.5,0.0,9.4,34.0,19.1,83,21,6.91,27.98
SYDNEY AIRPORT AMO,09/11/2013,8.9,0.2,10.4,31.8,21.4,73,29,7.53,26.34
SYDNEY AIRPORT AMO,10/11/2013,3.4,2.2,9.6,20.0,15.5,91,55,9.72,8.31
SYDNEY AIRPORT AMO,11/11/2013,1.8,22.0,9.4,18.8,14.7,98,78,11.23,5.24
SYDNEY AIRPORT AMO,12/11/2013,3.1,7.8,1.8,22.4,15.1,96,60,3.70,13.21
SYDNEY AIRPORT AMO,13/11/2013,8.1,7.0,3.2,29.7,15.1,93,12,5.11,31.19
SYDNEY AIRPORT AMO,14/11/2013,8.4,0.0,9.6,28.6,16.9,76,16,4.86,33.84
SYDNEY AIRPORT AMO,15/11/2013,4.2,0.0,7.8,23.0,16.4,99,62,6.17,21.85
SYDNEY AIRPORT AMO,16/11/2013,3.9,76.2, ,21.2,14.5,97,62,6.91,21.44
SYDNEY AIRPORT AMO,17/11/2013,2.8,12.0,5.6,18.6,15.3,96,59,9.65,6.99
SYDNEY AIRPORT AMO,18/11/2013,3.0,14.4,4.0,19.6,14.9,98,62,10.86,10.46
SYDNEY AIRPORT AMO,19/11/2013,5.5,17.0,2.0,24.1,16.1,96,57,5.85,31.18
SYDNEY AIRPORT AMO,20/11/2013,6.6,0.0,6.8,26.7,17.0,93,50,4.73,34.17
SYDNEY AIRPORT AMO,21/11/2013,6.5,0.0,6.2,27.1,19.6,89,49,6.82,29.34
SYDNEY AIRPORT AMO,22/11/2013,4.9,2.0,9.8,25.9,20.1,92,45,8.34,11.15
SYDNEY AIRPORT AMO,23/11/2013,4.6,10.2,4.0,24.9,17.8,96,45,3.82,19.39
SYDNEY AIRPORT AMO,24/11/2013,6.0,0.4,5.0,23.1,17.3,91,50,6.30,32.53
SYDNEY AIRPORT AMO,25/11/2013,5.1,0.0,8.2,22.0,16.3,85,53,8.56,23.42
SYDNEY AIRPORT AMO,26/11/2013,6.0,0.4,7.4,21.1,15.8,67,43,7.18,26.45
SYDNEY AIRPORT AMO,27/11/2013,6.9,0.0,5.6,24.1,14.2,71,37,4.30,35.07
SYDNEY AIRPORT AMO,28/11/2013,7.6,0.0,8.0,29.3,17.3,78,41,6.01,32.05
SYDNEY AIRPORT AMO,29/11/2013,3.0,0.0,10.6,20.7,19.6,96,55,9.53,3.82
SYDNEY AIRPORT AMO,30/11/2013,5.1,8.6,3.4,21.6,14.4,96,50,7.26,26.92
Totals:,,174.4,180.4,202.6,,,,,, 
