'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for December 2013,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/12/2013,5.4,0.0,7.0,23.2,14.3,82,47,4.33,27.20
SYDNEY AIRPORT AMO,02/12/2013,7.2,0.0,5.0,25.6,17.0,77,36,4.97,33.88
SYDNEY AIRPORT AMO,03/12/2013,8.0,0.0,8.0,26.4,16.4,77,40,6.71,37.27
SYDNEY AIRPORT AMO,04/12/2013,6.9,0.0,8.8,29.1,17.4,81,40,6.63,23.95
SYDNEY AIRPORT AMO,05/12/2013,8.2,3.2,8.0,27.5,18.7,94,17,9.54,23.22
SYDNEY AIRPORT AMO,06/12/2013,7.2,0.2,10.0,21.8,13.1,65,30,6.25,34.71
SYDNEY AIRPORT AMO,07/12/2013,7.7,0.0,7.6,25.6,14.0,67,24,4.14,36.31
SYDNEY AIRPORT AMO,08/12/2013,8.3,0.0,7.2,27.6,17.3,79,28,5.63,36.03
SYDNEY AIRPORT AMO,09/12/2013,6.7,0.0,10.0,32.0,20.0,76,36,5.01,19.22
SYDNEY AIRPORT AMO,10/12/2013,10.2,0.0,8.0,34.4,24.1,85,23,6.80,33.73
SYDNEY AIRPORT AMO,11/12/2013,8.6,0.0,11.2,29.4,17.6,87,21,5.08,35.38
SYDNEY AIRPORT AMO,12/12/2013,7.0,0.0,10.4,27.0,19.7,76,50,7.61,28.88
SYDNEY AIRPORT AMO,13/12/2013,7.6,0.0,6.8,28.9,19.2,88,50,5.79,36.27
SYDNEY AIRPORT AMO,14/12/2013,5.5,0.0,8.8,24.9,20.8,93,53,7.63,23.90
SYDNEY AIRPORT AMO,15/12/2013,4.4,6.0,7.8,24.3,18.3,96,62,4.62,21.83
SYDNEY AIRPORT AMO,16/12/2013,4.8,21.8,7.0,25.1,18.4,94,57,4.76,22.94
SYDNEY AIRPORT AMO,17/12/2013,7.8,7.8,3.6,27.7,18.6,78,41,6.01,35.03
SYDNEY AIRPORT AMO,18/12/2013,7.6,0.2,10.0,26.3,20.0,77,34,5.17,34.05
SYDNEY AIRPORT AMO,19/12/2013,8.5,0.0,9.0,27.8,19.9,75,43,7.63,37.20
SYDNEY AIRPORT AMO,20/12/2013,10.4,0.0,10.0,37.8,21.1,77,21,5.04,34.02
SYDNEY AIRPORT AMO,21/12/2013,7.2,0.0,11.6,26.3,21.4,90,52,9.54,34.70
SYDNEY AIRPORT AMO,22/12/2013,7.5,0.0,8.0,31.2,21.4,81,49,6.58,28.69
SYDNEY AIRPORT AMO,23/12/2013,8.8,0.0,7.6,36.6,21.5,92,17,6.56,16.40
SYDNEY AIRPORT AMO,24/12/2013,3.4,0.0,6.6,21.5,18.8,94,59,6.93,11.55
SYDNEY AIRPORT AMO,25/12/2013,1.8,0.2,3.6,21.5,18.1,95,82,4.08,6.40
SYDNEY AIRPORT AMO,26/12/2013,6.2,15.8,1.2,25.0,18.6,95,58,6.52,34.31
SYDNEY AIRPORT AMO,27/12/2013,6.3,1.0,6.2,25.8,17.9,87,56,4.57,33.62
SYDNEY AIRPORT AMO,28/12/2013,7.4,0.0,5.6,27.6,18.7,87,48,6.44,35.12
SYDNEY AIRPORT AMO,29/12/2013,6.9,0.0,10.2,22.9,20.2,92,50,10.01,37.85
SYDNEY AIRPORT AMO,30/12/2013,7.6,0.0,11.4,25.6,18.4,71,39,5.90,34.46
SYDNEY AIRPORT AMO,31/12/2013,7.9,0.0,6.4,30.2,18.0,80,47,4.94,35.98
Totals:,,219,56.2,242.6,,,,,, 
