'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for January 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/01/2014,6.5,0.0,7.4,28.1,19.6,78,49,6.07,25.68
SYDNEY AIRPORT AMO,02/01/2014,7.8,0.0,8.0,36.8,22.3,90,17,4.89,17.05
SYDNEY AIRPORT AMO,03/01/2014,6.2,0.2,5.6,28.3,20.5,86,39,5.16,22.37
SYDNEY AIRPORT AMO,04/01/2014,6.8,0.2,7.4,26.3,20.2,89,50,7.72,32.48
SYDNEY AIRPORT AMO,05/01/2014,7.3,0.0,8.2,29.0,20.3,83,49,7.56,29.83
SYDNEY AIRPORT AMO,06/01/2014,9.6,0.0,9.4,30.6,20.2,88,9,6.30,33.84
SYDNEY AIRPORT AMO,07/01/2014,4.6,0.0,11.4,22.4,17.6,79,53,7.67,14.57
SYDNEY AIRPORT AMO,08/01/2014,3.9,0.0,7.6,22.5,16.9,89,54,5.52,14.31
SYDNEY AIRPORT AMO,09/01/2014,5.1,0.2,3.8,24.0,18.0,74,38,5.41,14.57
SYDNEY AIRPORT AMO,10/01/2014,6.1,0.6,6.6,27.8,18.7,93,44,5.66,24.99
SYDNEY AIRPORT AMO,11/01/2014,7.5,0.0,7.2,31.9,19.7,85,37,4.80,28.82
SYDNEY AIRPORT AMO,12/01/2014,5.8,0.0,10.4,27.9,21.0,91,58,5.53,26.74
SYDNEY AIRPORT AMO,13/01/2014,6.7,0.0,7.6,26.1,20.1,81,47,5.20,31.28
SYDNEY AIRPORT AMO,14/01/2014,8.3,0.0,7.2,29.7,19.8,74,37,6.60,32.00
SYDNEY AIRPORT AMO,15/01/2014,8.6,0.0,10.0,31.3,21.5,79,41,7.54,32.08
SYDNEY AIRPORT AMO,16/01/2014,7.8,0.0,10.8,30.8,21.8,77,49,6.03,32.36
SYDNEY AIRPORT AMO,17/01/2014,8.0,0.0,10.4,30.8,21.4,82,45,6.75,31.90
SYDNEY AIRPORT AMO,18/01/2014,8.2,0.0,10.6,31.8,20.4,84,41,6.34,32.25
SYDNEY AIRPORT AMO,19/01/2014,4.6,0.0,10.8,25.5,20.3,93,70,6.00,23.86
SYDNEY AIRPORT AMO,20/01/2014,3.5,0.2,4.2,26.2,21.4,95,68,5.54,13.43
SYDNEY AIRPORT AMO,21/01/2014,3.1,2.2,5.0,25.4,19.6,96,64,4.57,10.88
SYDNEY AIRPORT AMO,22/01/2014,2.7,3.6,2.8,23.5,19.5,95,61,6.72,4.38
SYDNEY AIRPORT AMO,23/01/2014,5.3,0.4,4.4,26.0,19.7,84,45,5.70,18.25
SYDNEY AIRPORT AMO,24/01/2014,4.5,0.0,7.4,28.4,20.0,91,53,5.92,12.85
SYDNEY AIRPORT AMO,25/01/2014,5.9,3.0,5.6,22.9,19.5,83,48,8.76,25.55
SYDNEY AIRPORT AMO,26/01/2014,4.2,0.6,8.6,22.8,16.6,89,42,4.72,14.29
SYDNEY AIRPORT AMO,27/01/2014,7.2,0.0,3.6,27.3,17.0,73,38,5.85,29.75
SYDNEY AIRPORT AMO,28/01/2014,8.6,0.0,9.4,28.7,19.8,72,34,8.61,30.96
SYDNEY AIRPORT AMO,29/01/2014,8.0,0.0,12.0,30.9,20.8,75,40,6.02,30.80
SYDNEY AIRPORT AMO,30/01/2014,8.8,0.0,9.6,30.4,20.7,81,31,7.91,30.69
SYDNEY AIRPORT AMO,31/01/2014,7.9,0.0,12.6,30.5,19.4,85,34,6.33,30.11
Totals:,,199.1,11.2,245.6,,,,,, 
