'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for February 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/02/2014,5.8,0.0,11.0,27.8,20.8,90,58,6.57,25.75
SYDNEY AIRPORT AMO,02/02/2014,7.6,0.0,7.2,29.7,22.1,81,43,7.38,28.51
SYDNEY AIRPORT AMO,03/02/2014,9.2,0.0,12.0,30.1,21.9,74,32,9.16,29.85
SYDNEY AIRPORT AMO,04/02/2014,3.9,0.0,12.0,25.4,20.5,95,50,8.69,5.34
SYDNEY AIRPORT AMO,05/02/2014,5.5,0.6,5.2,23.6,18.4,76,44,7.02,19.19
SYDNEY AIRPORT AMO,06/02/2014,4.3,0.2,7.2,24.3,17.3,80,43,4.15,14.04
SYDNEY AIRPORT AMO,07/02/2014,6.7,0.0,4.2,27.7,15.9,78,41,5.42,29.33
SYDNEY AIRPORT AMO,08/02/2014,7.9,0.0,9.2,29.8,19.2,80,35,6.99,28.84
SYDNEY AIRPORT AMO,09/02/2014,7.7,0.0,9.6,30.7,20.7,85,41,7.00,29.26
SYDNEY AIRPORT AMO,10/02/2014,3.3,0.0,10.4,23.5,20.1,94,67,7.98,11.38
SYDNEY AIRPORT AMO,11/02/2014,3.6,0.0,7.2,26.0,20.0,92,67,5.18,13.71
SYDNEY AIRPORT AMO,12/02/2014,4.4,0.0,6.0,28.0,20.7,92,57,5.90,14.46
SYDNEY AIRPORT AMO,13/02/2014,5.9,1.0,4.6,29.8,21.4,90,40,5.55,19.53
SYDNEY AIRPORT AMO,14/02/2014,2.6,0.0,8.8,25.7,21.6,83,71,4.35,5.60
SYDNEY AIRPORT AMO,15/02/2014,2.6,2.2,2.2,27.1,21.2,92,63,4.00,5.98
SYDNEY AIRPORT AMO,16/02/2014,1.7,4.2,2.4,24.4,22.3,96,78,6.39,3.24
SYDNEY AIRPORT AMO,17/02/2014,4.9,17.4,7.0,25.3,18.3,95,50,5.82,20.95
SYDNEY AIRPORT AMO,18/02/2014,3.4,0.0,2.4,25.1,19.1,84,63,3.41,13.35
SYDNEY AIRPORT AMO,19/02/2014,2.8,0.0,2.2,29.3,21.0,95,57,4.25,4.11
SYDNEY AIRPORT AMO,20/02/2014,6.3,23.2,4.2,27.8,20.5,93,31,4.66,26.37
SYDNEY AIRPORT AMO,21/02/2014,7.5,0.0,11.4,25.5,18.4,66,27,6.87,27.18
SYDNEY AIRPORT AMO,22/02/2014,5.1,0.0,5.8,24.3,18.9,83,55,5.55,23.24
SYDNEY AIRPORT AMO,23/02/2014,5.7,0.0,8.0,24.4,19.3,74,48,5.92,24.26
SYDNEY AIRPORT AMO,24/02/2014,5.5,0.0,6.4,27.0,19.7,77,52,4.41,24.29
SYDNEY AIRPORT AMO,25/02/2014,6.6,0.0,7.4,28.9,20.0,86,41,6.98,24.25
SYDNEY AIRPORT AMO,26/02/2014,6.5,0.0,9.8,34.9,20.6,91,24,4.07,17.87
SYDNEY AIRPORT AMO,27/02/2014,2.2,6.0,5.2,21.8,20.3,95,76,7.99,6.78
SYDNEY AIRPORT AMO,28/02/2014,2.6,0.4,3.2,21.9,19.4,93,61,7.52,3.20
Totals:,,141.8,55.2,192.2,,,,,, 
