'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for March 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/03/2014,2.3,8.4,1.6,23.8,18.6,95,63,4.13,5.40
SYDNEY AIRPORT AMO,02/03/2014,3.1,4.0,2.4,23.8,18.0,95,62,5.87,10.32
SYDNEY AIRPORT AMO,03/03/2014,3.6,0.2,3.8,24.9,19.2,91,64,4.88,15.58
SYDNEY AIRPORT AMO,04/03/2014,3.7,4.8,2.6,26.3,19.3,91,50,3.31,13.73
SYDNEY AIRPORT AMO,05/03/2014,5.3,0.0,4.0,30.7,18.4,98,37,4.26,17.95
SYDNEY AIRPORT AMO,06/03/2014,4.0,13.0,7.0,24.3,19.6,88,68,7.24,17.70
SYDNEY AIRPORT AMO,07/03/2014,4.5,0.2,5.2,28.1,19.4,87,55,4.36,17.61
SYDNEY AIRPORT AMO,08/03/2014,5.9,0.0,5.6,28.6,21.0,85,34,4.75,21.12
SYDNEY AIRPORT AMO,09/03/2014,5.1,0.0,6.4,28.2,20.0,89,43,4.36,19.96
SYDNEY AIRPORT AMO,10/03/2014,6.3,0.2,6.8,29.5,21.8,76,40,5.33,21.89
SYDNEY AIRPORT AMO,11/03/2014,5.7,0.0,8.6,28.7,19.9,85,40,5.19,21.03
SYDNEY AIRPORT AMO,12/03/2014,4.3,0.0,8.2,28.6,19.8,97,46,4.46,14.71
SYDNEY AIRPORT AMO,13/03/2014,3.6,32.0,7.0,24.7,18.3,99,67,6.78,17.27
SYDNEY AIRPORT AMO,14/03/2014,5.6,0.0,4.0,28.6,18.8,91,40,5.79,20.02
SYDNEY AIRPORT AMO,15/03/2014,4.2,0.0,7.8,28.3,20.8,97,48,4.79,13.57
SYDNEY AIRPORT AMO,16/03/2014,5.7,9.6,5.8,29.3,19.4,82,29,5.91,11.69
SYDNEY AIRPORT AMO,17/03/2014,6.9,3.8,6.2,28.0,15.3,60,22,5.38,22.70
SYDNEY AIRPORT AMO,18/03/2014,6.1,0.0,7.2,30.8,16.2,73,26,4.01,20.85
SYDNEY AIRPORT AMO,19/03/2014,4.7,0.0,6.6,25.5,18.6,89,54,6.57,20.23
SYDNEY AIRPORT AMO,20/03/2014,4.5,0.0,6.2,27.3,19.9,82,51,4.41,17.62
SYDNEY AIRPORT AMO,21/03/2014,4.2,3.8,6.0,28.2,21.2,89,47,5.13,11.60
SYDNEY AIRPORT AMO,22/03/2014,5.0,0.0,6.0,30.0,18.6,91,44,4.61,17.87
SYDNEY AIRPORT AMO,23/03/2014,4.7,1.2,5.2,29.1,20.0,88,52,4.97,16.97
SYDNEY AIRPORT AMO,24/03/2014,1.6,0.2,6.2,22.6,20.1,97,80,8.13,2.89
SYDNEY AIRPORT AMO,25/03/2014,3.3,39.8,4.2,25.4,16.8,93,62,3.52,15.80
SYDNEY AIRPORT AMO,26/03/2014,2.2,0.2,2.8,25.6,20.2,95,70,3.78,6.53
SYDNEY AIRPORT AMO,27/03/2014,1.8,22.0,2.8,23.3,20.4,95,65,3.72,3.32
SYDNEY AIRPORT AMO,28/03/2014,2.3,5.4,1.0,25.4,17.9,93,62,2.91,7.39
SYDNEY AIRPORT AMO,29/03/2014,3.4,1.0,3.6,23.5,18.8,92,68,5.86,16.58
SYDNEY AIRPORT AMO,30/03/2014,3.7,0.0,3.6,25.1,19.5,92,61,4.55,17.53
SYDNEY AIRPORT AMO,31/03/2014,3.3,2.8,5.0,24.9,17.8,90,59,3.32,16.02
Totals:,,130.6,152.6,159.4,,,,,, 
