'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for June 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/06/2014,1.8,24.2,5.0,21.7,14.9,97,60,4.13,4.68
SYDNEY AIRPORT AMO,02/06/2014,2.5,0.4,2.0,22.5,12.3,93,41,3.75,8.37
SYDNEY AIRPORT AMO,03/06/2014,3.2,0.2,1.8,20.8,10.5,82,36,5.22,10.85
SYDNEY AIRPORT AMO,04/06/2014,2.3,0.0,3.6,21.0,10.9,94,46,3.78,10.36
SYDNEY AIRPORT AMO,05/06/2014,1.0,29.4,4.0,17.6,14.9,98,85,4.08,5.37
SYDNEY AIRPORT AMO,06/06/2014,2.0,36.0,7.2,16.4,14.6,96,63,8.44,6.00
SYDNEY AIRPORT AMO,07/06/2014,2.4,1.2,2.4,17.5,10.1,78,54,5.47,10.44
SYDNEY AIRPORT AMO,08/06/2014,2.2,0.0,3.6,16.6,10.0,86,56,6.17,9.17
SYDNEY AIRPORT AMO,09/06/2014,2.3,1.4,2.6,18.5,8.0,93,56,6.72,7.65
SYDNEY AIRPORT AMO,10/06/2014,2.4,9.4,2.0,18.5,12.5,96,42,5.19,7.67
SYDNEY AIRPORT AMO,11/06/2014,1.5,2.2,2.2,18.9,10.2,94,62,3.15,6.64
SYDNEY AIRPORT AMO,12/06/2014,2.3,0.2,1.0,20.9,11.1,90,41,3.37,9.70
SYDNEY AIRPORT AMO,13/06/2014,2.3,0.0,2.4,21.3,10.5,89,41,3.47,6.58
SYDNEY AIRPORT AMO,14/06/2014,2.3,3.8,2.4,20.6,13.0,92,49,4.37,7.22
SYDNEY AIRPORT AMO,15/06/2014,3.1,0.2,2.6,17.0,10.2,70,47,7.22,4.89
SYDNEY AIRPORT AMO,16/06/2014,3.6,0.2,0.8,20.5,9.4,73,32,5.72,10.41
SYDNEY AIRPORT AMO,17/06/2014,3.1,0.2,4.4,18.3,8.9,66,41,5.82,9.75
SYDNEY AIRPORT AMO,18/06/2014,2.1,0.0,1.8,17.9,12.0,80,56,4.21,10.27
SYDNEY AIRPORT AMO,19/06/2014,2.4,0.0,1.8,21.2,9.8,87,44,3.83,10.35
SYDNEY AIRPORT AMO,20/06/2014,2.1,0.0,4.6,22.3,11.5,86,44,2.74,8.32
SYDNEY AIRPORT AMO,21/06/2014,2.5,0.0,2.4,20.3,10.2,86,36,3.67,10.26
SYDNEY AIRPORT AMO,22/06/2014,1.8,0.0,3.4,18.5,10.6,80,55,3.14,8.03
SYDNEY AIRPORT AMO,23/06/2014,2.8,0.0,0.6,18.0,9.1,89,36,5.70,4.76
SYDNEY AIRPORT AMO,24/06/2014,5.5,0.0,6.2,17.5,11.6,48,24,10.84,10.46
SYDNEY AIRPORT AMO,25/06/2014,4.6,0.0,4.0,18.7,10.2,59,27,8.40,10.53
SYDNEY AIRPORT AMO,26/06/2014,4.1,0.0,4.8,22.0,9.5,59,27,5.62,10.46
SYDNEY AIRPORT AMO,27/06/2014,3.1,0.0,4.0,21.0,8.9,69,33,4.27,9.87
SYDNEY AIRPORT AMO,28/06/2014,6.4,0.0,5.0,23.2,11.3,52,18,9.46,10.06
SYDNEY AIRPORT AMO,29/06/2014,4.8,0.0,7.0,17.4,10.5,51,26,9.04,10.27
SYDNEY AIRPORT AMO,30/06/2014,3.9,0.0,3.8,16.6,9.7,58,26,6.80,10.69
Totals:,,86.4,109,99.4,,,,,, 
