'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for July 2014,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/07/2014,3.3,0.0,3.0,18.1,8.4,64,38,6.05,10.52
SYDNEY AIRPORT AMO,02/07/2014,2.4,0.0,3.8,18.0,8.0,81,40,4.15,10.45
SYDNEY AIRPORT AMO,03/07/2014,2.3,0.0,1.2,17.9,6.9,78,43,3.72,10.78
SYDNEY AIRPORT AMO,04/07/2014,3.3,0.0,2.4,22.2,7.1,79,19,3.79,11.00
SYDNEY AIRPORT AMO,05/07/2014,3.7,0.0,3.6,18.2,8.3,64,27,5.91,10.63
SYDNEY AIRPORT AMO,06/07/2014,3.7,0.0,4.0,18.0,7.8,66,33,6.83,10.64
SYDNEY AIRPORT AMO,07/07/2014,3.5,0.0,3.0,19.1,7.5,66,35,5.80,10.74
SYDNEY AIRPORT AMO,08/07/2014,2.7,0.0,3.8,18.8,8.5,79,34,4.15,10.96
SYDNEY AIRPORT AMO,09/07/2014,4.6,0.0,2.6,21.7,5.7,77,14,6.05,10.91
SYDNEY AIRPORT AMO,10/07/2014,4.2,1.2,5.8,17.7,8.6,55,27,7.32,10.98
SYDNEY AIRPORT AMO,11/07/2014,4.2,0.2,4.0,19.1,9.5,58,28,6.63,10.95
SYDNEY AIRPORT AMO,12/07/2014,3.8,0.0,3.4,18.5,5.8,79,28,7.11,10.59
SYDNEY AIRPORT AMO,13/07/2014,2.8,0.0,3.6,14.1,6.2,63,44,6.29,11.15
SYDNEY AIRPORT AMO,14/07/2014,2.0,0.0,3.2,16.0,5.8,95,46,4.22,10.24
SYDNEY AIRPORT AMO,15/07/2014,1.3,1.2,0.4,16.9,10.9,94,68,2.81,5.03
SYDNEY AIRPORT AMO,16/07/2014,2.3,1.6,1.2,19.4,11.2,95,46,4.22,7.69
SYDNEY AIRPORT AMO,17/07/2014,4.2,0.2,2.0,20.5,9.4,71,25,6.48,11.11
SYDNEY AIRPORT AMO,18/07/2014,4.2,0.0,4.0,15.8,8.4,61,29,9.05,11.20
SYDNEY AIRPORT AMO,19/07/2014,3.3,0.0,4.6,14.3,7.7,71,44,9.88,8.29
SYDNEY AIRPORT AMO,20/07/2014,2.3,0.0,4.0,14.8,9.8,81,61,8.05,8.00
SYDNEY AIRPORT AMO,21/07/2014,2.1,0.0,2.0,17.0,8.6,89,47,3.84,10.73
SYDNEY AIRPORT AMO,22/07/2014,1.7,0.0,1.4,16.9,9.1,89,64,3.32,11.25
SYDNEY AIRPORT AMO,23/07/2014,1.7,0.0,3.2,17.2,9.1,92,55,2.98,10.72
SYDNEY AIRPORT AMO,24/07/2014,2.2,0.0,0.6,19.8,8.0,92,43,3.36,6.91
SYDNEY AIRPORT AMO,25/07/2014,2.5,0.0,2.8,20.5,9.3,87,49,4.73,4.32
SYDNEY AIRPORT AMO,26/07/2014,2.4,5.6,2.0,19.6,10.5,95,37,3.55,7.02
SYDNEY AIRPORT AMO,27/07/2014,2.5,1.2,1.8,18.4,8.9,78,42,3.72,12.15
SYDNEY AIRPORT AMO,28/07/2014,3.1,0.0,3.2,19.4,8.7,77,31,4.18,11.30
SYDNEY AIRPORT AMO,29/07/2014,5.5,0.0,4.0,23.9,12.5,58,16,6.35,10.74
SYDNEY AIRPORT AMO,30/07/2014,4.8,0.0,6.2,25.1,11.7,53,25,5.03,12.18
SYDNEY AIRPORT AMO,31/07/2014,6.6,0.0,6.6,25.8,13.4,62,14,7.72,12.95
Totals:,,99.2,11.2,97.4,,,,,, 
