'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for October 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 November 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/10/2014,6.7,0.0,12.0,19.9,14.9,57,18,8.27,21.88
SYDNEY AIRPORT AMO,02/10/2014,5.5,0.0,7.2,24.8,10.3,86,20,4.30,22.08
SYDNEY AIRPORT AMO,03/10/2014,3.3,0.0,5.8,21.1,13.1,89,55,3.79,16.21
SYDNEY AIRPORT AMO,04/10/2014,4.1,0.0,3.0,24.0,15.7,86,57,5.14,18.57
SYDNEY AIRPORT AMO,05/10/2014,8.8,0.0,4.4,34.4,14.6,93,11,6.09,22.68
SYDNEY AIRPORT AMO,06/10/2014,5.7,0.0,8.8,27.0,17.2,82,45,6.05,22.14
SYDNEY AIRPORT AMO,07/10/2014,6.1,0.0,8.0,25.0,18.4,89,22,6.43,20.42
SYDNEY AIRPORT AMO,08/10/2014,3.7,4.4,4.6,20.0,15.0,93,50,5.57,16.59
SYDNEY AIRPORT AMO,09/10/2014,4.4,0.2,4.8,22.4,14.3,81,45,4.85,18.18
SYDNEY AIRPORT AMO,10/10/2014,5.0,0.0,4.8,24.7,14.6,84,39,5.01,19.60
SYDNEY AIRPORT AMO,11/10/2014,6.3,0.0,5.4,29.0,14.5,87,28,4.57,23.72
SYDNEY AIRPORT AMO,12/10/2014,7.5,0.0,7.8,29.3,15.7,86,23,6.73,23.96
SYDNEY AIRPORT AMO,13/10/2014,4.3,0.0,8.8,25.7,17.5,93,42,5.93,10.91
SYDNEY AIRPORT AMO,14/10/2014,3.7,11.8,5.8,19.2,13.1,100,40,9.29,8.89
SYDNEY AIRPORT AMO,15/10/2014,3.2,101.0, ,16.4,9.9,97,51,11.98,10.71
SYDNEY AIRPORT AMO,16/10/2014,5.3,0.2,4.0,22.8,9.9,81,25,3.93,24.73
SYDNEY AIRPORT AMO,17/10/2014,4.3,0.0,4.0,18.1,11.7,86,50,7.31,23.81
SYDNEY AIRPORT AMO,18/10/2014,4.4,0.0,7.6,20.8,13.0,72,40,3.91,20.21
SYDNEY AIRPORT AMO,19/10/2014,6.1,0.0,2.6,25.5,13.1,77,34,5.38,25.84
SYDNEY AIRPORT AMO,20/10/2014,3.6,0.0,10.6,19.2,15.5,87,58,8.75,13.96
SYDNEY AIRPORT AMO,21/10/2014,3.7,0.0,2.6,19.8,15.1,69,44,4.90,8.30
SYDNEY AIRPORT AMO,22/10/2014,5.7,0.0,5.0,23.3,14.5,75,38,6.23,23.44
SYDNEY AIRPORT AMO,23/10/2014,5.5,0.0,6.0,27.6,15.4,95,41,3.50,26.06
SYDNEY AIRPORT AMO,24/10/2014,5.6,0.0,5.8,28.1,18.2,93,47,6.29,21.99
SYDNEY AIRPORT AMO,25/10/2014,4.8,0.2,6.0,25.4,17.9,97,59,4.86,24.36
SYDNEY AIRPORT AMO,26/10/2014,6.7,0.6,5.0,30.9,18.0,93,42,5.52,26.38
SYDNEY AIRPORT AMO,27/10/2014,8.2,0.2,6.6,33.2,19.2,82,17,7.20,13.13
SYDNEY AIRPORT AMO,28/10/2014,7.6,0.0,7.8,29.5,16.4,79,10,5.33,21.40
SYDNEY AIRPORT AMO,29/10/2014,6.0,0.0,7.2,23.9,16.0,72,38,5.44,26.09
SYDNEY AIRPORT AMO,30/10/2014,7.9,0.0,5.8,32.9,16.2,82,14,4.26,26.93
SYDNEY AIRPORT AMO,31/10/2014,7.7,0.0,9.2,31.9,16.7,87,24,5.28,25.74
Totals:,,171.4,118.6,187,,,,,, 
