'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for December 2014,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 January 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/12/2014,6.2,2.0,9.8,29.4,19.6,90,47,6.58,22.18
SYDNEY AIRPORT AMO,02/12/2014,7.4,5.4,8.6,31.2,19.1,95,46,7.63,28.74
SYDNEY AIRPORT AMO,03/12/2014,6.9,0.8,8.4,33.1,21.6,93,40,5.74,21.94
SYDNEY AIRPORT AMO,04/12/2014,4.2,9.2,8.0,29.6,20.5,94,53,4.99,11.71
SYDNEY AIRPORT AMO,05/12/2014,5.8,21.6,11.0,29.3,19.5,92,41,3.88,23.46
SYDNEY AIRPORT AMO,06/12/2014,5.8,0.6,5.6,28.5,20.7,93,43,4.71,22.58
SYDNEY AIRPORT AMO,07/12/2014,5.4,16.4,7.8,29.4,18.6,98,51,4.75,22.25
SYDNEY AIRPORT AMO,08/12/2014,7.4,25.8,8.6,32.7,18.5,91,31,6.07,21.63
SYDNEY AIRPORT AMO,09/12/2014,3.7,1.4,7.4,24.6,20.6,88,66,5.28,14.21
SYDNEY AIRPORT AMO,10/12/2014,3.5,0.0,5.0,25.8,19.4,93,60,4.91,10.94
SYDNEY AIRPORT AMO,11/12/2014,2.4,7.2,12.2,22.7,20.9,95,72,9.09,4.63
SYDNEY AIRPORT AMO,12/12/2014,5.4,9.8,6.0,22.0,17.1,85,54,10.57,24.00
SYDNEY AIRPORT AMO,13/12/2014,6.6,0.0,8.4,23.5,17.6,67,40,6.66,26.88
SYDNEY AIRPORT AMO,14/12/2014,6.5,0.0,8.0,26.0,15.6,79,41,5.07,29.26
SYDNEY AIRPORT AMO,15/12/2014,7.3,0.0,8.0,28.4,17.6,82,39,5.43,31.74
SYDNEY AIRPORT AMO,16/12/2014,5.5,0.0,11.4,26.8,20.6,87,55,8.81,18.78
SYDNEY AIRPORT AMO,17/12/2014,5.1,0.0,7.6,23.0,19.1,85,49,7.23,20.05
SYDNEY AIRPORT AMO,18/12/2014,4.8,0.0,6.8,27.5,18.5,88,55,4.11,19.59
SYDNEY AIRPORT AMO,19/12/2014,6.1,0.0,6.6,22.7,18.5,91,41,8.08,28.41
SYDNEY AIRPORT AMO,20/12/2014,6.2,0.0,8.4,23.7,17.8,70,45,4.54,28.97
SYDNEY AIRPORT AMO,21/12/2014,7.0,0.0,7.0,28.1,17.2,83,45,6.48,30.12
SYDNEY AIRPORT AMO,22/12/2014,7.1,0.0,9.2,29.3,20.6,83,49,8.02,27.19
SYDNEY AIRPORT AMO,23/12/2014,5.0,0.0,8.2,28.8,21.4,89,56,6.06,16.77
SYDNEY AIRPORT AMO,24/12/2014,3.7,2.6,5.0,24.2,20.9,93,78,6.95,19.79
SYDNEY AIRPORT AMO,25/12/2014,4.9,0.0,5.8,29.4,19.5,96,57,4.51,19.51
SYDNEY AIRPORT AMO,26/12/2014,6.7,13.0,4.0,27.4,19.9,95,35,6.50,25.91
SYDNEY AIRPORT AMO,27/12/2014,4.3,0.2,10.6,22.2,18.9,65,44,4.61,10.95
SYDNEY AIRPORT AMO,28/12/2014,4.1,0.0,4.0,26.2,18.4,81,45,4.01,11.14
SYDNEY AIRPORT AMO,29/12/2014,7.2,0.0,5.4,28.5,18.3,82,46,6.40,31.42
SYDNEY AIRPORT AMO,30/12/2014,10.1,0.0,8.0,35.2,19.2,81,11,5.21,33.15
SYDNEY AIRPORT AMO,31/12/2014,6.0,0.0,9.6,26.0,19.3,78,50,5.97,24.40
Totals:,,178.3,116,240.4,,,,,, 
