'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for January 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 February 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/01/2015,7.0,0.2,6.8,30.7,21.2,95,52,6.23,30.55
SYDNEY AIRPORT AMO,02/01/2015,4.1,0.0,9.2,27.5,21.1,95,73,5.67,18.96
SYDNEY AIRPORT AMO,03/01/2015,7.5,0.0,4.0,31.4,22.3,91,51,7.12,30.93
SYDNEY AIRPORT AMO,04/01/2015,7.2,0.0,10.2,33.8,22.9,88,48,7.29,22.11
SYDNEY AIRPORT AMO,05/01/2015,4.1,0.0,10.0,25.8,20.6,93,64,5.72,16.52
SYDNEY AIRPORT AMO,06/01/2015,6.5,0.0,4.0,28.8,21.3,95,52,4.62,30.37
SYDNEY AIRPORT AMO,07/01/2015,8.1,0.0,6.6,31.5,22.2,93,31,5.91,30.42
SYDNEY AIRPORT AMO,08/01/2015,8.6,0.0,9.2,30.8,21.4,75,43,7.93,31.71
SYDNEY AIRPORT AMO,09/01/2015,6.8,0.0,13.6,33.3,22.4,84,47,5.60,22.34
SYDNEY AIRPORT AMO,10/01/2015,4.3,0.2,7.4,28.4,21.7,95,58,5.18,15.41
SYDNEY AIRPORT AMO,11/01/2015,1.3,19.0,7.4,23.1,20.3,96,87,6.66,3.25
SYDNEY AIRPORT AMO,12/01/2015,3.5,5.8,0.0,23.2,20.3,93,72,9.37,15.84
SYDNEY AIRPORT AMO,13/01/2015,5.1,4.2,5.4,29.9,19.0,97,63,6.12,21.49
SYDNEY AIRPORT AMO,14/01/2015,9.5,0.8,6.2,36.7,21.1,94,28,6.38,29.67
SYDNEY AIRPORT AMO,15/01/2015,6.9,0.2,11.0,27.1,22.0,76,51,5.93,30.16
SYDNEY AIRPORT AMO,16/01/2015,6.3,0.0,8.2,29.1,21.1,85,52,4.57,27.25
SYDNEY AIRPORT AMO,17/01/2015,10.0,0.0,3.2,35.8,21.2,87,16,5.63,32.05
SYDNEY AIRPORT AMO,18/01/2015,6.5,0.0,10.2,27.2,21.5,87,57,6.61,30.56
SYDNEY AIRPORT AMO,19/01/2015,3.6,0.4,10.4,23.0,20.5,82,55,7.36,5.36
SYDNEY AIRPORT AMO,20/01/2015,5.1,3.8,3.4,27.1,18.4,93,49,6.24,18.78
SYDNEY AIRPORT AMO,21/01/2015,6.2,13.4,7.4,29.1,19.5,94,52,5.50,27.63
SYDNEY AIRPORT AMO,22/01/2015,6.6,0.2,8.4,29.3,22.3,87,52,5.16,28.32
SYDNEY AIRPORT AMO,23/01/2015,7.6,0.0,8.0,31.7,23.4,82,51,7.19,28.60
SYDNEY AIRPORT AMO,24/01/2015,7.6,0.4,9.2,31.6,23.2,88,42,6.78,27.74
SYDNEY AIRPORT AMO,25/01/2015,8.8,0.4,8.0,36.6,21.6,88,30,5.76,26.98
SYDNEY AIRPORT AMO,26/01/2015,1.8,0.2,10.6,21.1,19.8,96,77,7.42,3.73
SYDNEY AIRPORT AMO,27/01/2015,1.3,18.2,5.4,20.6,18.6,95,85,4.77,3.57
SYDNEY AIRPORT AMO,28/01/2015,2.3,40.2,7.2,21.5,16.9,96,68,7.11,4.50
SYDNEY AIRPORT AMO,29/01/2015,6.1,5.2,2.8,21.7,15.2,77,46,10.04,28.67
SYDNEY AIRPORT AMO,30/01/2015,6.7,0.0,8.8,25.2,14.3,75,32,6.07,27.74
SYDNEY AIRPORT AMO,31/01/2015,6.2,0.0,5.8,25.6,17.0,77,38,3.95,29.36
Totals:,,183.2,112.8,228,,,,,, 
