'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for March 2015,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 April 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/03/2015,9.2,0.0,6.0,37.9,21.5,98,27,8.46,18.27
SYDNEY AIRPORT AMO,02/03/2015,5.0,10.8,10.6,24.2,18.6,70,49,6.49,15.11
SYDNEY AIRPORT AMO,03/03/2015,5.5,0.0,5.0,28.7,17.9,84,38,4.36,19.80
SYDNEY AIRPORT AMO,04/03/2015,4.7,0.0,6.6,28.4,21.4,85,61,4.66,19.04
SYDNEY AIRPORT AMO,05/03/2015,6.7,0.0,4.8,27.5,19.6,94,24,6.86,22.65
SYDNEY AIRPORT AMO,06/03/2015,7.9,0.0,8.8,30.5,16.5,64,15,5.52,23.70
SYDNEY AIRPORT AMO,07/03/2015,4.7,0.0,8.0,27.0,18.3,91,50,5.47,17.89
SYDNEY AIRPORT AMO,08/03/2015,3.9,0.0,5.8,24.6,19.7,89,74,5.03,20.64
SYDNEY AIRPORT AMO,09/03/2015,6.4,0.0,4.0,31.3,20.0,93,29,4.41,23.66
SYDNEY AIRPORT AMO,10/03/2015,3.1,0.0,7.2,25.5,21.4,88,66,5.93,8.85
SYDNEY AIRPORT AMO,11/03/2015,5.1,0.0,1.2,30.2,21.2,91,53,4.42,20.45
SYDNEY AIRPORT AMO,12/03/2015,4.4,0.0,6.2,25.6,20.5,86,65,6.32,20.05
SYDNEY AIRPORT AMO,13/03/2015,3.1,0.0,6.2,22.6,20.2,90,56,7.85,4.00
SYDNEY AIRPORT AMO,14/03/2015,4.6,2.0,3.4,24.8,16.2,85,45,4.48,19.92
SYDNEY AIRPORT AMO,15/03/2015,4.7,0.2,5.6,22.8,17.4,93,45,9.22,15.28
SYDNEY AIRPORT AMO,16/03/2015,4.7,7.2,7.4,23.8,17.3,75,38,4.76,16.98
SYDNEY AIRPORT AMO,17/03/2015,4.5,0.0,4.8,25.3,15.6,74,39,4.68,12.23
SYDNEY AIRPORT AMO,18/03/2015,4.8,0.0,5.8,29.8,19.1,92,44,4.06,17.50
SYDNEY AIRPORT AMO,19/03/2015,4.9,0.0,3.0,28.1,19.9,87,54,4.59,21.45
SYDNEY AIRPORT AMO,20/03/2015,5.9,0.0,5.2,30.7,20.3,93,46,8.78,14.93
SYDNEY AIRPORT AMO,21/03/2015,4.1,3.2,7.6,23.4,18.1,91,46,8.04,8.72
SYDNEY AIRPORT AMO,22/03/2015,3.5,1.4,5.4,25.3,18.4,86,54,5.86,7.69
SYDNEY AIRPORT AMO,23/03/2015,4.7,3.0,3.4,28.2,18.6,91,54,6.21,17.62
SYDNEY AIRPORT AMO,24/03/2015,2.2,0.0,6.8,26.5,20.4,95,69,4.62,5.27
SYDNEY AIRPORT AMO,25/03/2015,4.1,12.8,3.4,23.2,15.2,88,50,5.48,17.84
SYDNEY AIRPORT AMO,26/03/2015,6.1,0.2,5.8,29.2,17.9,72,20,4.38,20.12
SYDNEY AIRPORT AMO,27/03/2015,7.3,0.0,7.0,27.1,14.0,40,19,5.95,21.12
SYDNEY AIRPORT AMO,28/03/2015,4.9,0.0,7.0,23.1,15.1,66,37,4.77,19.79
SYDNEY AIRPORT AMO,29/03/2015,4.3,0.0,5.0,26.4,15.3,80,46,4.01,17.03
SYDNEY AIRPORT AMO,30/03/2015,2.8,0.2,4.8,24.4,17.9,91,57,3.91,8.39
SYDNEY AIRPORT AMO,31/03/2015,2.6,10.4,3.0,23.8,16.5,92,55,3.51,7.32
Totals:,,150.4,51.4,174.8,,,,,, 
