'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for May 2015,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 June 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/05/2015,2.0,17.8,2.2,21.7,14.6,94,72,5.16,8.29
SYDNEY AIRPORT AMO,02/05/2015,2.2,10.2,2.6,23.6,16.3,98,67,5.41,7.96
SYDNEY AIRPORT AMO,03/05/2015,1.8,25.8,1.2,20.6,18.6,96,76,8.51,6.03
SYDNEY AIRPORT AMO,04/05/2015,1.7,0.4,1.8,20.9,17.9,96,73,4.10,6.69
SYDNEY AIRPORT AMO,05/05/2015,4.9,0.0,1.6,28.6,15.0,98,20,5.02,13.48
SYDNEY AIRPORT AMO,06/05/2015,5.4,0.0,6.4,21.5,13.5,46,25,6.97,13.96
SYDNEY AIRPORT AMO,07/05/2015,4.9,0.0,6.6,20.9,10.9,60,28,7.44,13.79
SYDNEY AIRPORT AMO,08/05/2015,4.4,0.0,5.2,21.4,10.8,56,27,5.40,13.54
SYDNEY AIRPORT AMO,09/05/2015,4.5,0.0,2.8,22.2,11.3,60,31,5.92,13.34
SYDNEY AIRPORT AMO,10/05/2015,5.0,0.0,4.8,22.0,11.4,60,26,6.88,11.27
SYDNEY AIRPORT AMO,11/05/2015,5.4,0.0,5.0,22.2,15.4,56,36,8.58,12.75
SYDNEY AIRPORT AMO,12/05/2015,4.8,0.0,6.6,23.5,11.8,68,28,6.40,13.10
SYDNEY AIRPORT AMO,13/05/2015,4.3,0.0,4.6,17.4,13.2,80,26,9.01,10.94
SYDNEY AIRPORT AMO,14/05/2015,4.2,2.2,4.0,18.2,7.3,63,32,7.62,12.81
SYDNEY AIRPORT AMO,15/05/2015,3.2,0.0,4.4,17.9,11.0,73,54,7.69,11.60
SYDNEY AIRPORT AMO,16/05/2015,2.5,0.4,2.8,18.3,14.1,87,60,6.70,11.95
SYDNEY AIRPORT AMO,17/05/2015,1.7,0.2,3.0,19.2,10.5,92,65,3.10,9.22
SYDNEY AIRPORT AMO,18/05/2015,1.4,0.0,2.0,19.0,11.3,91,70,2.77,6.70
SYDNEY AIRPORT AMO,19/05/2015,2.1,0.0,0.4,22.5,14.7,93,53,3.24,6.72
SYDNEY AIRPORT AMO,20/05/2015,3.1,1.8,1.4,25.4,14.8,89,42,3.97,10.76
SYDNEY AIRPORT AMO,21/05/2015,2.9,0.2,4.0,20.7,14.8,86,49,5.74,9.22
SYDNEY AIRPORT AMO,22/05/2015,2.5,9.4,3.4,17.4,12.5,97,56,10.81,4.28
SYDNEY AIRPORT AMO,23/05/2015,2.3,17.2,5.6,16.9,11.7,94,56,6.96,11.35
SYDNEY AIRPORT AMO,24/05/2015,2.2,0.0,2.8,18.6,8.2,85,45,3.19,11.57
SYDNEY AIRPORT AMO,25/05/2015,2.2,0.0,2.6,19.7,9.2,83,47,3.23,10.17
SYDNEY AIRPORT AMO,26/05/2015,2.1,0.0,2.0,18.8,8.4,84,49,3.28,11.00
SYDNEY AIRPORT AMO,27/05/2015,2.9,0.0,3.2,22.3,11.3,78,34,3.56,10.28
SYDNEY AIRPORT AMO,28/05/2015,2.8,0.0,1.4,23.1,11.6,82,40,3.51,10.34
SYDNEY AIRPORT AMO,29/05/2015,2.1,0.2,2.0,21.1,15.7,86,51,3.63,3.79
SYDNEY AIRPORT AMO,30/05/2015,2.2,0.0,2.4,19.1,11.0,78,47,3.42,6.28
SYDNEY AIRPORT AMO,31/05/2015,2.4,0.0,3.4,16.5,10.7,72,44,4.15,5.22
Totals:,,96.1,85.8,102.2,,,,,, 
