'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for November 2015,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 December 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/11/2015,6.3,0.0,7.8,28.7,17.5,89,43,6.28,23.96
SYDNEY AIRPORT AMO,02/11/2015,7.3,9.0,6.6,31.6,18.4,95,31,5.68,25.54
SYDNEY AIRPORT AMO,03/11/2015,1.8,0.2,6.8,19.6,17.9,97,81,7.04,6.94
SYDNEY AIRPORT AMO,04/11/2015,1.5,3.6,1.4,19.6,17.0,99,79,7.23,3.83
SYDNEY AIRPORT AMO,05/11/2015,2.7,11.0,0.0,23.6,16.4,95,70,8.68,7.12
SYDNEY AIRPORT AMO,06/11/2015,4.8,8.2,3.2,30.0,18.3,98,41,4.27,14.89
SYDNEY AIRPORT AMO,07/11/2015,4.0,4.6,5.6,24.1,17.8,92,62,6.52,17.02
SYDNEY AIRPORT AMO,08/11/2015,4.5,0.2,7.2,20.2,16.3,80,57,7.86,19.38
SYDNEY AIRPORT AMO,09/11/2015,5.4,0.0,6.4,23.3,13.8,85,46,4.05,28.69
SYDNEY AIRPORT AMO,10/11/2015,6.5,0.0,6.0,27.3,15.8,86,35,4.56,28.97
SYDNEY AIRPORT AMO,11/11/2015,3.2,0.0,8.6,24.4,19.1,94,58,4.84,9.74
SYDNEY AIRPORT AMO,12/11/2015,4.7,0.6, ,26.4,18.3,85,43,5.26,13.47
SYDNEY AIRPORT AMO,13/11/2015,5.0,2.0,8.4,28.4,17.7,95,42,4.31,17.96
SYDNEY AIRPORT AMO,14/11/2015,2.5,19.6,9.0,20.8,16.9,94,66,6.75,6.76
SYDNEY AIRPORT AMO,15/11/2015,3.4,16.8,2.2,19.7,15.3,96,59,8.18,14.69
SYDNEY AIRPORT AMO,16/11/2015,5.8,5.8,4.4,22.0,14.5,84,38,4.81,30.28
SYDNEY AIRPORT AMO,17/11/2015,6.8,0.0,8.0,26.2,14.3,77,37,5.49,30.60
SYDNEY AIRPORT AMO,18/11/2015,10.9,0.0,11.0,37.1,17.6,85,12,6.49,30.11
SYDNEY AIRPORT AMO,19/11/2015,7.8,0.0,10.4,35.0,18.3,84,30,3.88,28.33
SYDNEY AIRPORT AMO,20/11/2015,14.1,0.0,8.8,42.8,20.9,93,7,8.03,30.66
SYDNEY AIRPORT AMO,21/11/2015,4.4,0.0,14.6,22.1,19.9,83,51,7.13,13.60
SYDNEY AIRPORT AMO,22/11/2015,3.8,0.0,6.2,23.2,18.3,70,47,4.52,7.70
SYDNEY AIRPORT AMO,23/11/2015,5.8,0.0,3.8,23.8,17.7,78,56,5.74,29.67
SYDNEY AIRPORT AMO,24/11/2015,6.4,0.0,8.0,26.7,18.1,83,47,6.33,27.86
SYDNEY AIRPORT AMO,25/11/2015,10.0,0.0,9.0,33.8,18.3,82,15,6.26,32.06
SYDNEY AIRPORT AMO,26/11/2015,13.1,0.0,12.6,39.2,21.0,84,6,8.61,26.92
SYDNEY AIRPORT AMO,27/11/2015,5.6,0.0,14.6,24.4,16.3,87,49,5.63,26.84
SYDNEY AIRPORT AMO,28/11/2015,4.5,0.2,7.4,24.6,16.8,74,48,6.39,9.67
SYDNEY AIRPORT AMO,29/11/2015,5.0,0.8,6.4,27.8,20.0,95,57,7.32,18.94
SYDNEY AIRPORT AMO,30/11/2015,6.8,0.0,7.4,28.5,18.2,85,50,6.38,30.27
Totals:,,174.4,82.6,211.8,,,,,, 
