'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for February 2016,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 March 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/02/2016,4.3,0.4,8.0,24.8,20.6,84,47,4.30,14.36
SYDNEY AIRPORT AMO,02/02/2016,5.6,0.4,5.0,26.1,16.4,85,53,4.53,27.46
SYDNEY AIRPORT AMO,03/02/2016,7.4,0.0,7.6,31.0,19.9,83,36,5.47,27.02
SYDNEY AIRPORT AMO,04/02/2016,3.9,8.2,7.6,23.7,19.1,98,60,12.15,12.39
SYDNEY AIRPORT AMO,05/02/2016,5.7,1.6,9.6,23.9,19.8,77,54,10.44,19.46
SYDNEY AIRPORT AMO,06/02/2016,5.7,0.6,8.8,26.7,19.8,86,47,6.63,21.24
SYDNEY AIRPORT AMO,07/02/2016,5.4,0.4,7.2,26.5,20.4,85,53,4.35,24.45
SYDNEY AIRPORT AMO,08/02/2016,5.7,0.0,4.6,27.1,19.4,88,58,4.31,28.22
SYDNEY AIRPORT AMO,09/02/2016,5.8,0.2,9.8,26.7,21.5,86,53,5.31,25.60
SYDNEY AIRPORT AMO,10/02/2016,7.2,0.2,7.6,30.0,20.4,84,37,5.54,28.01
SYDNEY AIRPORT AMO,11/02/2016,5.5,0.0,10.4,27.9,20.4,85,50,4.07,23.69
SYDNEY AIRPORT AMO,12/02/2016,5.9,0.0,6.4,29.2,21.5,91,49,4.66,25.06
SYDNEY AIRPORT AMO,13/02/2016,7.1,0.0,8.8,30.6,22.4,82,47,6.06,27.89
SYDNEY AIRPORT AMO,14/02/2016,8.3,0.0,9.6,36.9,21.4,88,29,5.94,21.29
SYDNEY AIRPORT AMO,15/02/2016,4.6,0.0,8.0,27.3,22.4,91,67,5.41,20.61
SYDNEY AIRPORT AMO,16/02/2016,6.2,0.0,7.0,26.5,21.1,91,38,6.94,23.03
SYDNEY AIRPORT AMO,17/02/2016,6.1,0.0,8.8,24.0,18.9,74,38,6.67,22.86
SYDNEY AIRPORT AMO,18/02/2016,5.9,0.0,8.0,26.7,17.9,72,46,4.55,25.57
SYDNEY AIRPORT AMO,19/02/2016,6.2,0.0,8.0,31.9,21.5,90,52,4.99,25.28
SYDNEY AIRPORT AMO,20/02/2016,4.5,0.0,9.4,27.9,22.9,94,69,8.55,18.81
SYDNEY AIRPORT AMO,21/02/2016,4.1,25.8,8.2,26.7,20.6,100,67,5.60,19.57
SYDNEY AIRPORT AMO,22/02/2016,6.1,0.2,3.8,31.1,21.5,91,45,4.66,23.93
SYDNEY AIRPORT AMO,23/02/2016,7.0,0.0,9.4,31.1,22.3,80,42,5.72,25.35
SYDNEY AIRPORT AMO,24/02/2016,6.9,0.0,11.0,32.0,22.1,82,46,6.64,23.04
SYDNEY AIRPORT AMO,25/02/2016,8.5,0.0,8.4,37.8,22.5,85,28,4.91,25.81
SYDNEY AIRPORT AMO,26/02/2016,4.2,0.0,12.2,27.5,23.2,90,63,8.35,11.79
SYDNEY AIRPORT AMO,27/02/2016,5.7,0.0,6.0,28.5,22.2,80,49,5.39,20.57
SYDNEY AIRPORT AMO,28/02/2016,5.5,0.0,8.0,27.9,20.7,82,47,4.04,23.26
SYDNEY AIRPORT AMO,29/02/2016,3.8,0.0,11.2,24.9,21.0,90,68,4.61,17.87
Totals:,,168.8,38,238.4,,,,,, 
