'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for May 2016,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 June 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/05/2016,5.1,2.0,3.4,28.1,17.2,91,23,6.20,8.69
SYDNEY AIRPORT AMO,02/05/2016,3.4,0.0,4.8,23.8,14.0,81,34,3.57,12.86
SYDNEY AIRPORT AMO,03/05/2016,5.1,0.0,3.4,26.9,12.2,75,19,4.92,15.44
SYDNEY AIRPORT AMO,04/05/2016,3.8,0.0,8.0,25.8,15.4,87,29,3.77,15.26
SYDNEY AIRPORT AMO,05/05/2016,3.4,0.0,4.0,24.5,13.5,90,35,3.66,15.17
SYDNEY AIRPORT AMO,06/05/2016,3.3,0.0,3.4,25.1,13.6,89,34,3.29,15.08
SYDNEY AIRPORT AMO,07/05/2016,2.9,0.0,5.6,24.5,12.2,94,48,3.30,14.95
SYDNEY AIRPORT AMO,08/05/2016,1.4,0.0,1.4,21.8,16.2,95,69,2.14,5.50
SYDNEY AIRPORT AMO,09/05/2016,2.5,1.6,1.0,23.4,17.9,97,52,5.17,4.07
SYDNEY AIRPORT AMO,10/05/2016,5.9,0.4,4.4,25.2,17.1,66,31,8.72,14.63
SYDNEY AIRPORT AMO,11/05/2016,5.4,0.0,8.0,23.7,12.9,53,13,5.71,12.97
SYDNEY AIRPORT AMO,12/05/2016,5.1,0.0,6.0,25.0,13.1,58,30,6.08,14.16
SYDNEY AIRPORT AMO,13/05/2016,3.7,0.0,4.0,26.1,13.5,90,31,4.00,14.33
SYDNEY AIRPORT AMO,14/05/2016,3.9,0.0,7.2,26.4,11.9,76,23,3.60,14.23
SYDNEY AIRPORT AMO,15/05/2016,3.7,0.0,2.2,26.0,12.4,65,27,3.43,8.74
SYDNEY AIRPORT AMO,16/05/2016,3.1,0.0,3.2,24.5,12.0,74,50,4.11,12.05
SYDNEY AIRPORT AMO,17/05/2016,4.9,0.0,4.8,28.9,14.4,72,19,4.50,12.29
SYDNEY AIRPORT AMO,18/05/2016,3.9,0.0,6.6,22.4,12.8,53,24,4.14,9.82
SYDNEY AIRPORT AMO,19/05/2016,4.8,0.0,4.0,23.8,11.8,60,25,5.88,12.04
SYDNEY AIRPORT AMO,20/05/2016,2.8,0.0,4.0,22.6,12.0,84,40,3.58,12.02
SYDNEY AIRPORT AMO,21/05/2016,2.0,0.0,3.4,21.2,13.8,86,57,2.85,9.38
SYDNEY AIRPORT AMO,22/05/2016,2.2,0.0,2.0,23.7,13.8,88,57,3.04,11.70
SYDNEY AIRPORT AMO,23/05/2016,5.7,0.0,4.0,28.3,13.2,92,17,6.75,10.71
SYDNEY AIRPORT AMO,24/05/2016,5.3,0.0,7.6,22.3,11.4,55,20,7.03,11.61
SYDNEY AIRPORT AMO,25/05/2016,3.5,0.0,3.2,21.7,9.8,65,20,3.81,11.37
SYDNEY AIRPORT AMO,26/05/2016,3.2,0.4,4.6,21.8,12.7,78,40,5.18,7.10
SYDNEY AIRPORT AMO,27/05/2016,5.3,0.0,4.0,18.6,12.0,54,23,9.58,11.51
SYDNEY AIRPORT AMO,28/05/2016,1.9,0.0,5.6,15.2,8.9,92,48,4.55,5.35
SYDNEY AIRPORT AMO,29/05/2016,3.3,4.2,1.6,18.9,7.7,73,30,5.06,11.41
SYDNEY AIRPORT AMO,30/05/2016,2.8,0.2,2.6,18.0,7.4,71,38,4.46,11.34
SYDNEY AIRPORT AMO,31/05/2016,1.3,3.6,2.2,16.5,8.8,94,73,3.62,5.90
Totals:,,114.6,12.4,130.2,,,,,, 
