'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for September 2016,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 October 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/09/2016,4.1,0.0,4.6,23.2,12.1,82,29,3.88,16.22
SYDNEY AIRPORT AMO,02/09/2016,1.1,11.6,6.2,19.1,14.5,98,85,3.96,3.77
SYDNEY AIRPORT AMO,03/09/2016,4.4,24.0,2.2,20.9,15.1,91,36,8.71,12.75
SYDNEY AIRPORT AMO,04/09/2016,3.7,0.2,5.6,19.3,9.6,69,32,3.66,17.50
SYDNEY AIRPORT AMO,05/09/2016,4.0,0.0,3.4,21.3,9.4,79,28,3.86,18.32
SYDNEY AIRPORT AMO,06/09/2016,3.7,0.0,5.0,22.7,10.4,92,40,3.77,18.46
SYDNEY AIRPORT AMO,07/09/2016,3.5,0.0,3.2,21.7,14.1,94,45,4.50,16.39
SYDNEY AIRPORT AMO,08/09/2016,3.6,0.0,3.8,23.0,15.4,90,54,5.81,15.30
SYDNEY AIRPORT AMO,09/09/2016,5.3,0.0,5.0,24.8,15.3,80,36,6.48,18.55
SYDNEY AIRPORT AMO,10/09/2016,5.7,1.6,7.4,23.4,14.1,91,25,8.57,17.74
SYDNEY AIRPORT AMO,11/09/2016,3.4,0.0,6.2,19.5,11.9,82,46,3.62,18.68
SYDNEY AIRPORT AMO,12/09/2016,3.8,0.0,4.2,21.4,12.3,87,38,3.60,18.54
SYDNEY AIRPORT AMO,13/09/2016,2.3,0.0,5.6,19.4,16.1,91,71,4.71,10.46
SYDNEY AIRPORT AMO,14/09/2016,3.8,2.0,1.8,24.9,16.3,96,44,4.96,12.53
SYDNEY AIRPORT AMO,15/09/2016,6.0,0.2,6.6,22.8,14.8,87,19,8.28,18.50
SYDNEY AIRPORT AMO,16/09/2016,5.3,0.0,6.8,22.7,14.2,72,27,5.96,17.12
SYDNEY AIRPORT AMO,17/09/2016,4.6,0.0,5.4,22.6,11.1,70,32,4.34,18.22
SYDNEY AIRPORT AMO,18/09/2016,1.7,0.0,6.6,18.1,14.1,97,56,2.97,4.22
SYDNEY AIRPORT AMO,19/09/2016,4.8,11.0,1.0,21.7,13.0,96,32,6.67,20.62
SYDNEY AIRPORT AMO,20/09/2016,4.7,0.0,6.4,21.5,9.6,67,27,4.42,19.25
SYDNEY AIRPORT AMO,21/09/2016,3.6,0.0,4.8,22.3,14.3,85,39,3.92,12.07
SYDNEY AIRPORT AMO,22/09/2016,3.5,0.6,4.0,19.7,12.8,87,47,6.43,11.80
SYDNEY AIRPORT AMO,23/09/2016,4.3,1.0,3.0,19.3,14.4,74,53,8.26,17.96
SYDNEY AIRPORT AMO,24/09/2016,4.0,0.2,4.8,22.2,12.5,81,54,4.13,21.68
SYDNEY AIRPORT AMO,25/09/2016,3.1,4.2,5.2,20.8,14.2,90,49,4.72,10.13
SYDNEY AIRPORT AMO,26/09/2016,4.4,5.8,4.2,19.2,11.9,87,35,5.64,21.32
SYDNEY AIRPORT AMO,27/09/2016,6.8,0.0,6.2,23.3,10.6,60,16,7.36,20.20
SYDNEY AIRPORT AMO,28/09/2016,4.9,0.0,7.2,20.1,9.4,63,36,5.28,22.34
SYDNEY AIRPORT AMO,29/09/2016,5.4,2.2,5.4,23.5,12.5,84,18,6.54,10.26
SYDNEY AIRPORT AMO,30/09/2016,6.0,0.4,7.2,20.2,13.1,49,32,8.25,16.96
Totals:,,125.5,65,149,,,,,, 
