'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for November 2016,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 December 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/11/2016,6.0,0.2,10.6,23.4,11.8,66,27,4.33,27.22
SYDNEY AIRPORT AMO,02/11/2016,6.2,0.0,7.2,23.5,12.9,73,25,4.62,28.19
SYDNEY AIRPORT AMO,03/11/2016,6.4,0.0,7.4,27.3,14.3,93,26,4.20,28.23
SYDNEY AIRPORT AMO,04/11/2016,8.5,0.0,8.4,32.6,15.6,93,10,4.96,28.43
SYDNEY AIRPORT AMO,05/11/2016,10.9,0.0,13.4,25.6,21.8,32,10,9.45,28.57
SYDNEY AIRPORT AMO,06/11/2016,7.7,0.0,14.4,23.8,14.8,47,17,5.91,28.67
SYDNEY AIRPORT AMO,07/11/2016,8.5,0.0,7.6,30.8,15.0,58,18,5.25,28.78
SYDNEY AIRPORT AMO,08/11/2016,4.9,0.0,11.0,22.4,18.6,95,30,6.13,15.89
SYDNEY AIRPORT AMO,09/11/2016,2.3,2.6,5.2,20.5,17.0,95,79,5.62,10.88
SYDNEY AIRPORT AMO,10/11/2016,4.9,7.0,2.8,25.0,16.5,95,56,3.57,26.38
SYDNEY AIRPORT AMO,11/11/2016,5.3,0.2,7.0,24.1,17.7,87,54,5.55,26.48
SYDNEY AIRPORT AMO,12/11/2016,8.7,12.0,7.6,34.7,18.0,96,16,6.09,22.63
SYDNEY AIRPORT AMO,13/11/2016,10.5,0.0,8.0,30.8,18.2,61,9,7.80,29.60
SYDNEY AIRPORT AMO,14/11/2016,5.5,0.0,15.8,22.8,17.4,82,40,8.62,17.01
SYDNEY AIRPORT AMO,15/11/2016,4.9,0.4,5.8,21.5,15.2,81,43,4.99,22.03
SYDNEY AIRPORT AMO,16/11/2016,5.8,0.0,5.2,23.8,14.1,78,46,5.45,28.53
SYDNEY AIRPORT AMO,17/11/2016,5.9,0.0,7.4,25.3,16.5,81,47,5.47,27.02
SYDNEY AIRPORT AMO,18/11/2016,9.1,0.0,9.2,35.1,17.4,72,22,4.89,30.18
SYDNEY AIRPORT AMO,19/11/2016,4.6,0.2,8.6,22.9,18.7,89,54,6.97,18.88
SYDNEY AIRPORT AMO,20/11/2016,6.0,0.0,6.0,26.7,18.4,83,47,4.69,26.80
SYDNEY AIRPORT AMO,21/11/2016,5.3,0.0,7.4,30.8,20.4,85,46,4.00,17.64
SYDNEY AIRPORT AMO,22/11/2016,8.4,0.0,8.0,33.1,21.1,86,31,6.28,27.70
SYDNEY AIRPORT AMO,23/11/2016,5.4,0.6,10.4,29.2,19.7,95,50,5.72,19.64
SYDNEY AIRPORT AMO,24/11/2016,6.2,4.0,6.6,22.2,13.1,84,39,7.40,30.75
SYDNEY AIRPORT AMO,25/11/2016,6.1,0.0,8.8,23.7,15.4,100,30,5.29,30.13
SYDNEY AIRPORT AMO,26/11/2016,6.5,0.0,8.0,26.3,16.9,81,44,5.78,28.82
SYDNEY AIRPORT AMO,27/11/2016,3.6,0.0,9.8,24.4,18.8,85,61,6.95,9.07
SYDNEY AIRPORT AMO,28/11/2016,6.2,0.0,6.0,28.8,20.2,89,52,5.66,26.36
SYDNEY AIRPORT AMO,29/11/2016,4.7,0.0,7.8,23.8,19.1,91,64,6.95,23.35
SYDNEY AIRPORT AMO,30/11/2016,5.0,0.0,6.4,26.2,18.3,82,48,5.66,16.51
Totals:,,190,27.2,247.8,,,,,, 
