'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for February 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 March 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/02/2017,1.5,1.6,9.2,23.8,19.9,96,84,4.64,4.50
SYDNEY AIRPORT AMO,02/02/2017,4.5,0.0,0.0,25.2,19.9,94,59,6.30,18.92
SYDNEY AIRPORT AMO,03/02/2017,3.4,0.2,6.6,28.4,21.9,88,57,4.23,8.23
SYDNEY AIRPORT AMO,04/02/2017,4.9,0.0,4.4,32.3,22.2,98,56,3.91,18.48
SYDNEY AIRPORT AMO,05/02/2017,9.1,0.0,9.6,38.6,24.0,63,32,5.78,22.15
SYDNEY AIRPORT AMO,06/02/2017,5.6,0.0,11.8,28.9,24.3,91,75,7.50,28.14
SYDNEY AIRPORT AMO,07/02/2017,1.9,0.0,8.2,25.7,21.9,100,77,8.56,3.19
SYDNEY AIRPORT AMO,08/02/2017,4.1,52.0,3.4,28.0,20.1,97,66,8.24,14.89
SYDNEY AIRPORT AMO,09/02/2017,7.5,4.6,5.2,32.2,21.6,90,43,6.71,27.95
SYDNEY AIRPORT AMO,10/02/2017,10.5,0.2,10.0,42.9,23.1,98,22,5.47,28.01
SYDNEY AIRPORT AMO,11/02/2017,8.6,0.0,11.0,39.0,23.0,98,38,6.35,24.97
SYDNEY AIRPORT AMO,12/02/2017,4.9,0.0,10.4,28.4,23.3,91,73,6.96,23.13
SYDNEY AIRPORT AMO,13/02/2017,6.8,1.6,7.0,25.9,16.9,70,32,5.62,27.48
SYDNEY AIRPORT AMO,14/02/2017,3.3,0.6,9.0,22.8,20.1,100,52,6.60,9.70
SYDNEY AIRPORT AMO,15/02/2017,5.4,41.0,1.2,27.7,17.7,84,49,4.98,21.87
SYDNEY AIRPORT AMO,16/02/2017,7.5,0.2,8.0,33.1,20.3,81,43,5.86,27.00
SYDNEY AIRPORT AMO,17/02/2017,5.7,0.0,11.2,32.6,22.8,84,47,6.34,13.51
SYDNEY AIRPORT AMO,18/02/2017,4.8,2.0,5.4,28.4,22.0,89,65,6.62,19.29
SYDNEY AIRPORT AMO,19/02/2017,5.1,0.2,6.4,26.0,18.2,90,55,6.74,22.10
SYDNEY AIRPORT AMO,20/02/2017,8.1,7.0,8.0,29.3,17.0,75,13,5.81,26.55
SYDNEY AIRPORT AMO,21/02/2017,6.1,0.0,10.4,27.0,17.2,62,43,5.15,22.79
SYDNEY AIRPORT AMO,22/02/2017,7.4,0.0,7.0,30.1,19.5,72,45,7.60,25.96
SYDNEY AIRPORT AMO,23/02/2017,7.3,0.0,11.6,30.1,21.8,71,48,7.46,25.92
SYDNEY AIRPORT AMO,24/02/2017,4.2,0.0,10.6,26.0,20.8,90,67,6.07,18.86
SYDNEY AIRPORT AMO,25/02/2017,1.7,1.8,4.4,22.1,18.6,97,85,8.87,6.06
SYDNEY AIRPORT AMO,26/02/2017,4.1,28.2,5.8,23.8,18.1,98,60,7.89,19.09
SYDNEY AIRPORT AMO,27/02/2017,4.9,12.8,7.6,26.6,18.2,99,55,6.97,21.62
SYDNEY AIRPORT AMO,28/02/2017,4.6,1.0,5.6,27.7,19.8,92,62,5.91,19.87
Totals:,,153.5,155,209,,,,,, 
