'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for April 2017,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/04/2017,4.3,0.0, ,24.8,14.9,81,46,4.59,17.69
SYDNEY AIRPORT AMO,02/04/2017,3.0,0.4, ,21.0,18.0,97,59,8.82,8.86
SYDNEY AIRPORT AMO,03/04/2017,2.8,30.8,4.2,21.9,14.6,99,58,7.37,6.93
SYDNEY AIRPORT AMO,04/04/2017,3.8,7.0,0.4,22.5,16.0,95,51,7.06,15.11
SYDNEY AIRPORT AMO,05/04/2017,3.9,4.8,5.4,23.1,15.4,83,52,5.54,16.55
SYDNEY AIRPORT AMO,06/04/2017,3.4,0.0,6.0,23.5,13.4,86,47,3.44,15.67
SYDNEY AIRPORT AMO,07/04/2017,3.6,0.0,3.4,24.2,14.3,89,44,3.22,16.82
SYDNEY AIRPORT AMO,08/04/2017,4.2,0.0,5.0,26.0,14.8,88,46,5.01,16.36
SYDNEY AIRPORT AMO,09/04/2017,5.3,0.0,7.0,29.4,15.6,93,39,6.25,16.89
SYDNEY AIRPORT AMO,10/04/2017,4.0,8.6,7.8,19.4,12.2,71,44,7.09,10.80
SYDNEY AIRPORT AMO,11/04/2017,3.5,0.0,3.6,21.9,12.8,86,58,8.76,11.24
SYDNEY AIRPORT AMO,12/04/2017,2.2,3.4,4.2,20.7,15.4,99,75,6.26,11.94
SYDNEY AIRPORT AMO,13/04/2017,2.7,27.4,2.4,21.2,15.5,99,59,4.09,14.79
SYDNEY AIRPORT AMO,14/04/2017,3.3,0.2,4.0,23.0,13.4,87,49,3.34,16.77
SYDNEY AIRPORT AMO,15/04/2017,2.9,0.0,5.2,22.9,13.2,90,62,3.52,15.87
SYDNEY AIRPORT AMO,16/04/2017,4.1,0.8,4.4,26.7,14.7,92,38,4.14,15.57
SYDNEY AIRPORT AMO,17/04/2017,2.9,0.2,3.0,23.7,13.9,82,60,3.21,14.20
SYDNEY AIRPORT AMO,18/04/2017,3.1,0.0,4.0,24.5,16.5,86,59,3.55,15.28
SYDNEY AIRPORT AMO,19/04/2017,2.7,0.0,4.6,23.4,16.0,92,62,4.48,11.90
SYDNEY AIRPORT AMO,20/04/2017,3.0,8.2,3.8,25.1,16.3,98,54,3.82,13.78
SYDNEY AIRPORT AMO,21/04/2017,3.2,0.0,4.0,25.7,14.9,86,55,3.94,12.55
SYDNEY AIRPORT AMO,22/04/2017,2.8,0.0,4.2,25.9,18.2,82,56,2.81,11.43
SYDNEY AIRPORT AMO,23/04/2017,3.0,0.0,3.6,25.4,15.8,93,54,3.27,14.59
SYDNEY AIRPORT AMO,24/04/2017,3.0,0.0,3.0,25.2,15.7,92,58,3.67,14.97
SYDNEY AIRPORT AMO,25/04/2017,3.9,0.0,4.4,28.4,18.3,81,46,5.16,7.57
SYDNEY AIRPORT AMO,26/04/2017,4.9,0.2,4.6,25.5,16.0,89,32,7.08,13.01
SYDNEY AIRPORT AMO,27/04/2017,3.7,0.4,7.0,17.9,11.5,69,50,8.06,13.75
SYDNEY AIRPORT AMO,28/04/2017,3.2,0.0,5.0,19.2,10.3,73,52,5.43,14.64
SYDNEY AIRPORT AMO,29/04/2017,2.8,0.0,3.6,21.0,10.3,81,53,3.70,14.51
SYDNEY AIRPORT AMO,30/04/2017,2.5,0.0,3.0,20.8,14.1,84,65,3.93,13.71
Totals:,,101.7,92.4,120.8,,,,,, 
