'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for July 2017,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 August 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/07/2017,2.3,0.0,3.8,14.9,5.9,77,51,5.64,11.10
SYDNEY AIRPORT AMO,02/07/2017,2.0,0.0,2.0,18.0,4.9,85,47,3.35,11.14
SYDNEY AIRPORT AMO,03/07/2017,1.7,0.0,2.6,17.0,5.2,90,56,3.82,5.84
SYDNEY AIRPORT AMO,04/07/2017,3.2,0.0,0.6,23.5,7.6,93,26,3.87,11.19
SYDNEY AIRPORT AMO,05/07/2017,3.9,0.0,5.4,21.2,12.2,57,30,5.31,11.23
SYDNEY AIRPORT AMO,06/07/2017,2.5,0.0,4.8,19.5,8.7,73,38,3.49,11.31
SYDNEY AIRPORT AMO,07/07/2017,2.9,0.0,3.6,19.9,6.1,81,27,3.93,11.35
SYDNEY AIRPORT AMO,08/07/2017,2.7,0.0,3.2,19.1,6.2,72,38,4.19,10.53
SYDNEY AIRPORT AMO,09/07/2017,2.6,0.0,2.0,18.2,6.4,80,36,4.29,11.46
SYDNEY AIRPORT AMO,10/07/2017,2.7,0.0,3.6,18.3,5.8,73,39,4.54,11.40
SYDNEY AIRPORT AMO,11/07/2017,2.2,0.0,2.8,16.7,6.9,88,54,5.89,11.49
SYDNEY AIRPORT AMO,12/07/2017,1.2,1.2,3.4,14.1,7.5,98,73,4.41,7.13
SYDNEY AIRPORT AMO,13/07/2017,1.8,16.0,1.0,18.5,7.5,99,56,3.77,11.70
SYDNEY AIRPORT AMO,14/07/2017,2.7,0.0,4.0,21.5,7.1,90,41,4.15,10.37
SYDNEY AIRPORT AMO,15/07/2017,2.4,0.0,4.0,18.0,9.5,77,41,3.56,10.99
SYDNEY AIRPORT AMO,16/07/2017,2.7,0.0,1.8,18.8,8.0,65,34,3.62,11.70
SYDNEY AIRPORT AMO,17/07/2017,2.6,0.0,4.2,19.9,7.5,76,38,3.43,10.57
SYDNEY AIRPORT AMO,18/07/2017,4.3,0.0,1.2,24.2,7.6,83,25,5.58,12.03
SYDNEY AIRPORT AMO,19/07/2017,3.6,0.0,6.6,17.4,10.5,65,39,6.82,12.11
SYDNEY AIRPORT AMO,20/07/2017,4.0,0.0,4.4,17.6,8.9,72,29,7.95,12.20
SYDNEY AIRPORT AMO,21/07/2017,2.8,0.0,4.2,15.6,7.1,68,52,6.93,12.09
SYDNEY AIRPORT AMO,22/07/2017,3.0,0.0,3.6,19.4,5.7,77,25,3.80,12.33
SYDNEY AIRPORT AMO,23/07/2017,4.7,0.0,3.6,22.9,6.9,65,23,6.16,12.37
SYDNEY AIRPORT AMO,24/07/2017,3.7,0.0,7.2,21.4,7.8,60,27,4.49,12.51
SYDNEY AIRPORT AMO,25/07/2017,3.4,0.0,4.2,21.7,8.7,71,31,4.19,12.61
SYDNEY AIRPORT AMO,26/07/2017,5.8,0.0,2.8,22.2,12.5,55,29,9.51,12.68
SYDNEY AIRPORT AMO,27/07/2017,2.6,0.0,4.8,17.6,8.9,69,48,4.28,12.71
SYDNEY AIRPORT AMO,28/07/2017,3.9,0.0,4.2,19.4,10.7,77,28,6.44,12.23
SYDNEY AIRPORT AMO,29/07/2017,3.9,0.0,4.6,21.3,7.8,66,18,4.34,13.00
SYDNEY AIRPORT AMO,30/07/2017,5.3,0.0,6.0,27.0,11.2,58,20,5.18,10.56
SYDNEY AIRPORT AMO,31/07/2017,2.0,0.0,4.4,16.4,14.6,94,46,4.39,4.21
Totals:,,95.1,17.2,114.6,,,,,, 
