'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for September 2017,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 October 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/09/2017,2.9,0.2,3.4,16.6,7.7,77,57,5.01,17.06
SYDNEY AIRPORT AMO,02/09/2017,3.6,0.0,4.8,21.0,7.4,85,31,3.64,17.24
SYDNEY AIRPORT AMO,03/09/2017,6.4,0.0,5.0,28.9,10.0,80,14,5.54,13.91
SYDNEY AIRPORT AMO,04/09/2017,6.9,0.0,7.6,23.7,12.8,48,20,7.92,17.95
SYDNEY AIRPORT AMO,05/09/2017,5.3,0.2,10.4,19.8,10.6,54,23,6.59,18.06
SYDNEY AIRPORT AMO,06/09/2017,6.4,0.0,8.0,20.6,12.2,48,24,8.99,18.25
SYDNEY AIRPORT AMO,07/09/2017,5.7,0.0,7.0,21.8,10.5,60,24,6.87,18.45
SYDNEY AIRPORT AMO,08/09/2017,6.0,0.0,5.6,21.1,10.8,57,24,8.09,18.32
SYDNEY AIRPORT AMO,09/09/2017,4.2,0.0,8.0,17.3,8.5,66,39,6.79,18.73
SYDNEY AIRPORT AMO,10/09/2017,3.2,0.0,5.0,18.6,7.5,77,49,3.66,18.80
SYDNEY AIRPORT AMO,11/09/2017,4.6,0.0,3.8,25.0,9.1,81,22,3.40,19.07
SYDNEY AIRPORT AMO,12/09/2017,4.7,0.0,5.8,28.0,12.1,83,26,3.95,12.19
SYDNEY AIRPORT AMO,13/09/2017,11.3,0.0,6.2,35.3,16.1,44,8,8.53,18.43
SYDNEY AIRPORT AMO,14/09/2017,5.6,0.0,13.0,18.2,11.6,70,26,10.09,19.26
SYDNEY AIRPORT AMO,15/09/2017,6.3,0.2,7.8,23.2,11.7,53,28,7.36,19.74
SYDNEY AIRPORT AMO,16/09/2017,6.2,0.0,7.0,24.8,13.1,73,24,7.90,13.59
SYDNEY AIRPORT AMO,17/09/2017,3.7,0.0,4.6,17.4,7.2,74,39,4.12,20.21
SYDNEY AIRPORT AMO,18/09/2017,4.7,0.0,5.6,23.9,7.8,73,41,4.93,20.36
SYDNEY AIRPORT AMO,19/09/2017,5.9,0.0,6.4,24.5,12.1,91,18,6.38,20.42
SYDNEY AIRPORT AMO,20/09/2017,3.6,0.0,9.2,20.0,10.0,76,47,3.89,18.04
SYDNEY AIRPORT AMO,21/09/2017,4.5,0.0,3.8,24.5,10.4,86,40,4.14,20.96
SYDNEY AIRPORT AMO,22/09/2017,6.9,0.0,7.2,30.6,12.7,79,10,4.52,21.00
SYDNEY AIRPORT AMO,23/09/2017,8.5,0.0,8.6,33.9,15.4,57,15,6.00,16.97
SYDNEY AIRPORT AMO,24/09/2017,9.6,0.0,12.0,30.8,21.8,32,15,7.68,15.24
SYDNEY AIRPORT AMO,25/09/2017,8.2,0.0,10.8,28.8,16.0,39,16,6.48,21.03
SYDNEY AIRPORT AMO,26/09/2017,5.1,0.0,9.6,20.6,12.4,61,31,5.17,21.76
SYDNEY AIRPORT AMO,27/09/2017,4.5,0.0,6.6,24.5,14.9,80,54,6.44,17.38
SYDNEY AIRPORT AMO,28/09/2017,5.6,0.0,6.2,26.6,18.1,84,24,6.20,11.82
SYDNEY AIRPORT AMO,29/09/2017,6.3,0.0,6.8,27.6,13.1,88,17,4.93,22.23
SYDNEY AIRPORT AMO,30/09/2017,6.5,0.2,9.2,24.7,15.6,76,15,7.54,13.43
Totals:,,172.9,0.8,215,,,,,, 
