'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for February 2018,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 March 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/02/2018,4.9,0.0,6.4,22.1,16.9,91,53,8.07,23.43
SYDNEY AIRPORT AMO,02/02/2018,3.8,6.6,7.4,22.8,15.5,90,59,5.96,15.43
SYDNEY AIRPORT AMO,03/02/2018,5.1,17.6,6.4,24.5,16.4,95,51,6.79,23.14
SYDNEY AIRPORT AMO,04/02/2018,5.6,5.4,8.2,25.8,17.2,90,53,5.43,27.59
SYDNEY AIRPORT AMO,05/02/2018,6.0,0.2,5.6,26.7,17.0,82,46,4.46,28.32
SYDNEY AIRPORT AMO,06/02/2018,6.2,0.0,8.6,27.9,19.4,82,43,4.66,26.38
SYDNEY AIRPORT AMO,07/02/2018,7.1,0.0,8.0,29.1,21.2,71,43,5.24,27.76
SYDNEY AIRPORT AMO,08/02/2018,8.4,0.0,11.4,30.5,20.3,72,33,7.14,28.36
SYDNEY AIRPORT AMO,09/02/2018,5.0,0.0,9.8,28.1,21.3,93,59,5.14,21.39
SYDNEY AIRPORT AMO,10/02/2018,5.7,0.6,5.8,29.6,21.6,94,56,5.07,25.19
SYDNEY AIRPORT AMO,11/02/2018,5.1,1.6,8.6,28.1,22.1,87,57,6.24,18.71
SYDNEY AIRPORT AMO,12/02/2018,6.2,0.0,7.6,29.0,21.1,74,52,4.96,24.68
SYDNEY AIRPORT AMO,13/02/2018,5.6,0.0,7.2,28.8,22.3,89,57,5.81,23.20
SYDNEY AIRPORT AMO,14/02/2018,10.6,0.0,7.0,40.0,22.9,84,8,5.71,25.28
SYDNEY AIRPORT AMO,15/02/2018,6.8,0.0,12.0,29.7,21.0,81,45,6.18,25.38
SYDNEY AIRPORT AMO,16/02/2018,6.7,0.0,8.2,28.7,19.9,89,28,5.60,23.57
SYDNEY AIRPORT AMO,17/02/2018,7.1,0.0,9.4,29.2,21.4,78,42,6.77,25.87
SYDNEY AIRPORT AMO,18/02/2018,6.3,0.0,9.6,30.1,22.6,80,55,6.32,24.14
SYDNEY AIRPORT AMO,19/02/2018,4.7,0.0,8.8,28.8,22.7,97,59,6.48,17.91
SYDNEY AIRPORT AMO,20/02/2018,4.8,9.8,8.8,23.1,20.0,85,51,9.28,14.47
SYDNEY AIRPORT AMO,21/02/2018,4.4,0.2,7.0,25.6,17.9,72,45,4.09,13.90
SYDNEY AIRPORT AMO,22/02/2018,5.3,0.0,6.2,27.9,19.2,71,42,4.36,17.40
SYDNEY AIRPORT AMO,23/02/2018,6.2,0.0,6.2,29.8,19.2,84,51,7.57,22.14
SYDNEY AIRPORT AMO,24/02/2018,6.6,0.0,11.6,33.3,21.2,83,46,6.24,20.18
SYDNEY AIRPORT AMO,25/02/2018,1.6,0.0,6.6,21.8,20.9,98,77,8.80,1.66
SYDNEY AIRPORT AMO,26/02/2018,3.0,44.0,6.8,22.2,17.0,97,67,9.47,10.00
SYDNEY AIRPORT AMO,27/02/2018,4.9,2.0,4.6,24.8,17.4,88,50,5.24,22.26
SYDNEY AIRPORT AMO,28/02/2018,6.5,0.4,6.2,30.5,17.0,80,42,5.26,25.01
Totals:,,160.2,88.4,220,,,,,, 
