'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for March 2018,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 April 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/03/2018,5.6,0.2,7.2,25.3,21.0,80,55,8.14,22.34
SYDNEY AIRPORT AMO,02/03/2018,4.2,0.0,9.4,25.0,18.6,89,65,5.54,19.80
SYDNEY AIRPORT AMO,03/03/2018,5.7,0.0,4.4,29.5,20.3,81,53,4.99,23.48
SYDNEY AIRPORT AMO,04/03/2018,3.3,0.0,7.0,23.9,22.0,89,77,7.58,14.09
SYDNEY AIRPORT AMO,05/03/2018,2.1,0.0,5.4,23.5,20.7,96,78,6.87,6.92
SYDNEY AIRPORT AMO,06/03/2018,4.2,5.0, ,23.5,18.6,93,61,9.47,17.57
SYDNEY AIRPORT AMO,07/03/2018,5.4,3.6,7.8,25.6,18.7,85,41,6.15,19.31
SYDNEY AIRPORT AMO,08/03/2018,5.2,0.6,7.8,25.4,18.3,75,45,5.22,20.17
SYDNEY AIRPORT AMO,09/03/2018,4.9,0.2,6.0,25.7,19.7,82,52,5.47,19.95
SYDNEY AIRPORT AMO,10/03/2018,4.4,1.4,5.6,26.1,18.5,88,46,4.48,16.32
SYDNEY AIRPORT AMO,11/03/2018,5.9,0.0,7.0,28.9,18.4,75,37,4.32,23.00
SYDNEY AIRPORT AMO,12/03/2018,4.5,0.0,7.8,27.3,17.8,98,52,4.45,20.10
SYDNEY AIRPORT AMO,13/03/2018,1.9,56.2,5.4,22.6,19.1,99,68,5.67,3.24
SYDNEY AIRPORT AMO,14/03/2018,4.3,4.4,2.2,28.2,18.4,96,56,5.04,17.40
SYDNEY AIRPORT AMO,15/03/2018,7.1,0.0,7.0,34.8,20.5,89,32,5.48,21.01
SYDNEY AIRPORT AMO,16/03/2018,4.3,0.0,7.6,26.1,20.9,81,57,4.72,17.02
SYDNEY AIRPORT AMO,17/03/2018,6.1,0.0,6.4,32.1,20.9,80,28,3.72,21.00
SYDNEY AIRPORT AMO,18/03/2018,10.0,0.0,7.4,40.5,20.7,87,14,6.21,21.43
SYDNEY AIRPORT AMO,19/03/2018,5.8,0.0,13.0,31.4,21.0,86,45,4.81,21.26
SYDNEY AIRPORT AMO,20/03/2018,5.8,0.0,8.0,26.3,20.1,89,39,9.19,16.94
SYDNEY AIRPORT AMO,21/03/2018,2.4,23.0,9.4,21.9,18.0,98,66,11.04,2.59
SYDNEY AIRPORT AMO,22/03/2018,4.2,8.0,4.4,23.6,17.9,88,54,8.81,12.37
SYDNEY AIRPORT AMO,23/03/2018,3.8,3.0,7.0,24.8,17.2,79,49,5.17,8.74
SYDNEY AIRPORT AMO,24/03/2018,3.7,0.2,4.4,27.3,17.4,88,60,4.36,14.76
SYDNEY AIRPORT AMO,25/03/2018,6.6,0.0,4.0,33.8,19.9,86,30,5.52,16.40
SYDNEY AIRPORT AMO,26/03/2018,7.1,1.8,9.2,27.8,19.0,88,13,6.98,20.13
SYDNEY AIRPORT AMO,27/03/2018,4.6,0.0,7.0,24.1,14.0,71,33,3.96,18.31
SYDNEY AIRPORT AMO,28/03/2018,4.9,0.0,5.0,28.4,16.9,82,46,4.40,19.53
SYDNEY AIRPORT AMO,29/03/2018,4.9,0.0,6.6,29.5,19.4,88,45,4.30,19.34
SYDNEY AIRPORT AMO,30/03/2018,4.9,0.0,7.4,29.6,20.3,90,53,5.44,19.34
SYDNEY AIRPORT AMO,31/03/2018,3.6,0.0,7.2,25.3,20.3,88,63,4.86,15.35
Totals:,,151.4,107.6,204,,,,,, 
