'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for April 2018,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 May 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/04/2018,4.7,0.0,2.8,30.6,19.1,91,55,4.86,19.04
SYDNEY AIRPORT AMO,02/04/2018,5.1,0.0,7.0,32.6,20.3,95,40,4.72,14.74
SYDNEY AIRPORT AMO,03/04/2018,3.8,3.4,6.4,24.4,20.2,83,58,5.50,13.68
SYDNEY AIRPORT AMO,04/04/2018,3.6,0.2,5.8,25.4,20.5,87,56,4.06,15.03
SYDNEY AIRPORT AMO,05/04/2018,4.4,0.0,3.6,28.8,18.8,90,51,4.56,18.09
SYDNEY AIRPORT AMO,06/04/2018,3.4,0.0,7.4,25.2,19.1,93,67,4.64,17.05
SYDNEY AIRPORT AMO,07/04/2018,4.3,0.0,4.0,29.2,19.5,90,50,4.04,17.23
SYDNEY AIRPORT AMO,08/04/2018,3.6,0.0,6.6,26.9,19.8,91,64,3.97,17.59
SYDNEY AIRPORT AMO,09/04/2018,8.0,0.0,4.4,36.8,19.5,89,13,5.78,16.28
SYDNEY AIRPORT AMO,10/04/2018,3.5,0.0,7.4,24.5,19.2,79,56,4.47,12.37
SYDNEY AIRPORT AMO,11/04/2018,5.0,0.0,6.2,28.9,20.1,77,47,5.26,17.22
SYDNEY AIRPORT AMO,12/04/2018,6.3,0.0,5.2,35.5,19.6,85,24,4.44,17.07
SYDNEY AIRPORT AMO,13/04/2018,8.3,0.0,11.2,34.9,23.0,42,20,5.95,15.67
SYDNEY AIRPORT AMO,14/04/2018,9.7,0.0,12.4,31.9,23.1,49,18,9.24,15.74
SYDNEY AIRPORT AMO,15/04/2018,7.3,0.0,14.8,25.4,18.2,50,27,9.08,15.80
SYDNEY AIRPORT AMO,16/04/2018,6.3,0.0,8.0,30.8,18.1,54,27,5.14,16.42
SYDNEY AIRPORT AMO,17/04/2018,3.4,0.0,7.2,21.4,18.0,85,50,5.58,11.53
SYDNEY AIRPORT AMO,18/04/2018,3.4,0.0,4.4,22.9,17.8,70,41,3.68,8.81
SYDNEY AIRPORT AMO,19/04/2018,3.7,0.0,4.8,26.9,15.5,74,43,3.63,11.27
SYDNEY AIRPORT AMO,20/04/2018,2.9,0.0,3.6,23.2,16.6,91,66,4.69,15.45
SYDNEY AIRPORT AMO,21/04/2018,2.7,0.0,2.8,22.8,16.8,92,67,5.03,13.72
SYDNEY AIRPORT AMO,22/04/2018,2.9,0.0,4.6,23.1,15.3,85,63,3.92,15.04
SYDNEY AIRPORT AMO,23/04/2018,3.0,0.0,3.8,24.7,15.2,86,54,3.21,14.98
SYDNEY AIRPORT AMO,24/04/2018,3.0,0.0,3.8,23.3,15.9,89,53,3.37,15.04
SYDNEY AIRPORT AMO,25/04/2018,2.3,0.0,4.0,23.2,14.6,91,74,4.17,12.36
SYDNEY AIRPORT AMO,26/04/2018,3.0,0.0,2.2,22.8,16.8,90,65,6.38,13.17
SYDNEY AIRPORT AMO,27/04/2018,3.1,0.6,7.2,20.1,17.1,92,60,9.60,11.05
SYDNEY AIRPORT AMO,28/04/2018,2.1,6.2,4.4,19.3,14.7,95,73,7.35,10.73
SYDNEY AIRPORT AMO,29/04/2018,2.9,0.8,1.4,20.2,15.2,91,60,7.02,13.38
SYDNEY AIRPORT AMO,30/04/2018,2.3,11.0,5.0,19.8,11.9,93,68,5.62,12.71
Totals:,,128,22.2,172.4,,,,,, 
