'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for June 2018,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 July 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/06/2018,3.1,0.0,5.0,15.9,12.3,78,55,11.20,7.11
SYDNEY AIRPORT AMO,02/06/2018,2.6,0.4,3.8,16.0,11.2,88,58,11.70,6.51
SYDNEY AIRPORT AMO,03/06/2018,2.0,0.0,0.8,17.0,13.6,87,71,8.40,10.02
SYDNEY AIRPORT AMO,04/06/2018,1.8,0.2,3.0,17.0,10.8,91,69,6.35,9.65
SYDNEY AIRPORT AMO,05/06/2018,1.2,2.0,2.0,14.8,10.6,97,76,5.88,5.42
SYDNEY AIRPORT AMO,06/06/2018,0.9,49.8, ,16.7,11.3,96,84,3.12,5.79
SYDNEY AIRPORT AMO,07/06/2018,2.2,19.6,1.2,21.0,9.3,98,45,3.53,9.47
SYDNEY AIRPORT AMO,08/06/2018,1.8,0.0,2.8,19.0,10.9,92,56,3.73,4.86
SYDNEY AIRPORT AMO,09/06/2018,1.1,7.4,0.4,16.4,12.4,93,78,3.80,5.71
SYDNEY AIRPORT AMO,10/06/2018,1.4,2.6,0.4,16.2,10.3,96,77,7.42,8.84
SYDNEY AIRPORT AMO,11/06/2018,1.6,5.0,2.8,17.2,10.2,94,69,5.28,10.06
SYDNEY AIRPORT AMO,12/06/2018,1.9,0.2,2.6,18.9,8.1,88,57,3.81,6.99
SYDNEY AIRPORT AMO,13/06/2018,2.7,0.0,0.8,20.9,9.6,89,38,4.21,10.61
SYDNEY AIRPORT AMO,14/06/2018,3.1,0.0,2.8,20.4,9.2,77,30,4.41,10.94
SYDNEY AIRPORT AMO,15/06/2018,4.6,0.0,4.6,21.2,10.7,62,30,7.53,10.66
SYDNEY AIRPORT AMO,16/06/2018,3.7,0.0,6.0,19.2,9.2,61,24,5.23,10.93
SYDNEY AIRPORT AMO,17/06/2018,3.5,0.0,4.4,16.1,7.2,64,33,6.92,10.91
SYDNEY AIRPORT AMO,18/06/2018,2.5,0.6,4.4,16.1,9.3,91,54,9.87,7.54
SYDNEY AIRPORT AMO,19/06/2018,2.0,12.6,3.2,15.5,9.7,95,63,10.46,5.71
SYDNEY AIRPORT AMO,20/06/2018,1.8,26.0,4.4,17.0,10.4,94,68,7.04,8.88
SYDNEY AIRPORT AMO,21/06/2018,1.2,0.2,2.2,16.4,11.3,88,72,2.80,8.36
SYDNEY AIRPORT AMO,22/06/2018,2.0,0.2,0.2,19.9,8.1,94,43,3.10,10.93
SYDNEY AIRPORT AMO,23/06/2018,2.7,0.0,3.0,20.3,7.0,90,27,3.64,10.94
SYDNEY AIRPORT AMO,24/06/2018,2.3,0.0,4.0,16.1,6.4,73,51,5.22,10.87
SYDNEY AIRPORT AMO,25/06/2018,2.0,0.0,1.6,16.5,6.5,78,47,3.73,10.96
SYDNEY AIRPORT AMO,26/06/2018,1.6,0.0,2.6,16.7,6.6,86,59,3.51,9.04
SYDNEY AIRPORT AMO,27/06/2018,1.2,0.2,1.4,16.9,9.5,93,76,2.95,8.84
SYDNEY AIRPORT AMO,28/06/2018,2.0,18.6,2.8,20.7,12.3,97,51,3.77,9.36
SYDNEY AIRPORT AMO,29/06/2018,1.9,6.2,1.2,16.7,6.2,98,48,4.36,10.89
SYDNEY AIRPORT AMO,30/06/2018,3.3,0.2,2.6,20.4,6.9,84,28,4.97,11.04
Totals:,,65.7,152,77,,,,,, 
