'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for July 2018,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 August 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/07/2018,2.1,0.2,4.0,16.7,7.6,83,47,4.02,11.11
SYDNEY AIRPORT AMO,02/07/2018,2.0,0.0,3.6,19.0,10.9,94,50,4.11,7.59
SYDNEY AIRPORT AMO,03/07/2018,1.5,14.0,1.0,18.7,8.9,96,60,2.89,9.96
SYDNEY AIRPORT AMO,04/07/2018,1.9,0.2,1.8,20.5,8.9,93,62,4.10,10.15
SYDNEY AIRPORT AMO,05/07/2018,2.9,0.0,2.6,25.9,9.7,96,41,3.84,11.26
SYDNEY AIRPORT AMO,06/07/2018,5.5,0.0,3.8,26.4,13.8,75,28,7.94,9.97
SYDNEY AIRPORT AMO,07/07/2018,4.1,0.0,7.0,19.0,8.6,66,32,7.63,10.26
SYDNEY AIRPORT AMO,08/07/2018,4.2,0.0,4.4,17.7,9.1,59,34,8.45,11.40
SYDNEY AIRPORT AMO,09/07/2018,2.6,0.0,4.6,16.2,10.0,68,48,5.27,10.63
SYDNEY AIRPORT AMO,10/07/2018,2.3,0.0,3.4,16.7,7.2,76,41,3.69,11.50
SYDNEY AIRPORT AMO,11/07/2018,2.0,0.0,4.0,18.3,6.2,85,49,3.48,11.28
SYDNEY AIRPORT AMO,12/07/2018,2.8,0.0,1.2,20.3,7.4,93,26,3.73,11.16
SYDNEY AIRPORT AMO,13/07/2018,3.3,0.6,3.0,18.3,5.7,72,34,5.89,11.66
SYDNEY AIRPORT AMO,14/07/2018,2.8,0.0,3.4,16.3,7.7,71,38,5.18,11.75
SYDNEY AIRPORT AMO,15/07/2018,3.1,0.0,2.6,18.8,4.5,72,18,3.76,11.82
SYDNEY AIRPORT AMO,16/07/2018,3.5,0.0,3.4,19.0,4.2,59,21,4.43,11.64
SYDNEY AIRPORT AMO,17/07/2018,5.3,0.0,3.0,23.5,8.5,46,13,5.84,11.96
SYDNEY AIRPORT AMO,18/07/2018,3.0,0.0,6.8,21.5,11.0,71,18,2.98,12.02
SYDNEY AIRPORT AMO,19/07/2018,3.1,0.0,3.8,21.7,6.2,67,27,3.43,9.82
SYDNEY AIRPORT AMO,20/07/2018,6.0,0.0,4.0,21.3,11.0,44,22,9.05,11.10
SYDNEY AIRPORT AMO,21/07/2018,3.4,0.0,6.2,17.5,9.0,66,28,5.12,12.25
SYDNEY AIRPORT AMO,22/07/2018,2.6,0.0,3.6,17.6,4.8,69,35,3.72,12.33
SYDNEY AIRPORT AMO,23/07/2018,3.5,0.0,3.8,20.5,4.8,78,20,4.26,12.41
SYDNEY AIRPORT AMO,24/07/2018,4.7,0.0,2.6,25.0,8.9,59,11,4.40,12.50
SYDNEY AIRPORT AMO,25/07/2018,3.2,0.0,6.8,23.4,9.0,83,24,3.35,12.55
SYDNEY AIRPORT AMO,26/07/2018,2.6,0.0,2.0,18.8,8.8,74,36,3.24,12.65
SYDNEY AIRPORT AMO,27/07/2018,3.0,0.0,3.6,21.9,7.3,76,26,3.14,12.80
SYDNEY AIRPORT AMO,28/07/2018,3.6,0.0,3.6,22.2,7.9,67,28,4.09,10.29
SYDNEY AIRPORT AMO,29/07/2018,5.9,0.0,5.4,26.3,12.8,81,22,7.93,12.80
SYDNEY AIRPORT AMO,30/07/2018,4.8,0.0,8.0,20.2,10.5,50,21,6.20,13.11
SYDNEY AIRPORT AMO,31/07/2018,3.4,0.0,2.8,21.9,6.8,62,26,3.59,12.46
Totals:,,104.7,15,119.8,,,,,, 
